epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,2,1,1,1,0.8,0.3,5,2,100,50,1.0,2.3180880676269533,0.09815,2.3194636840820313,0.097796875,0.003203257380529255,0.09151849053416267,0.10407525946583734,63.85545968055725,0.0,0.0,0.0,0.0,0.0
2,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.7892115775108337,0.297309375,1.5562436592578888,0.3534375,0.003491786204054081,0.346593599040054,0.36028140095994604,17.58499353899956,0.0,0.0,0.0,0.0,0.0
3,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.4982224727630615,0.350759375,1.4598278970718384,0.345359375,0.0036791954358197884,0.33814815194579323,0.3525705980542068,21.778675544548033,0.0,0.0,0.0,0.0,0.0
4,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.452713632774353,0.342546875,1.488679892539978,0.314734375,0.0036199322168283627,0.3076393078550164,0.3218294421449836,23.769119755649566,0.0,0.0,0.0,0.0,0.0
5,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.4240835136413574,0.340521875,1.4228664779663085,0.33309375,0.0038305632778328426,0.32558584597544765,0.3406016540245524,24.16905482378006,0.0,0.0,0.0,0.0,0.0
6,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.413665082168579,0.334,1.40851708984375,0.317671875,0.003861264525966452,0.31010379652910575,0.32523995347089424,24.31124110393524,0.0,0.0,0.0,0.0,0.0
7,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.4020281713485718,0.337015625,1.3849682493209838,0.334640625,0.0038404222488490005,0.327113397392256,0.34216785260774407,24.44958068523407,0.0,0.0,0.0,0.0,0.0
8,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.4009299436569214,0.3353,1.3938493843078614,0.338296875,0.0036711003288597906,0.33110151835543483,0.34549223164456516,24.649519874954223,0.0,0.0,0.0,0.0,0.0
9,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.395832778263092,0.3414625,1.3550549907684326,0.353453125,0.0037599195647392302,0.34608368265311107,0.3608225673468889,25.23927120552063,0.0,0.0,0.0,0.0,0.0
10,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.3596426941096782,0.33708125,1.3125688225030898,0.33403125,0.004010347204927621,0.32617096947834184,0.34189153052165816,24.80142012863159,0.0,0.0,0.0,0.0,0.0
11,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.294278273910284,0.342296875,1.2340950784683227,0.34603125,0.004069863057969403,0.33805431840638,0.35400818159362,24.337307505989074,0.0,0.0,0.0,0.0,0.0
12,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.267183819130063,0.353790625,1.2534437673836947,0.363859375,0.004146252764867908,0.3557327195808589,0.3719860304191411,24.479693696403505,0.0,0.0,0.0,0.0,0.0
13,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.2425773769170045,0.376459375,1.1803831535279752,0.400703125,0.004324380308150168,0.3922273395960257,0.4091789104039743,24.477878153705596,0.0,0.0,0.0,0.0,0.0
14,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.2180229915168137,0.39650625,1.1755441141780465,0.41696875,0.004295098588526383,0.40855035676648827,0.42538714323351173,24.538759004783632,0.0,0.0,0.0,0.0,0.0
15,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.2058528469979763,0.41115625,1.3369681505337359,0.3971875,0.004477397021587371,0.38841180183768875,0.4059631981623113,25.334530905342103,0.0,0.0,0.0,0.0,0.0
16,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.1895431996747852,0.42285625,1.220880216985941,0.418578125,0.004265510586864193,0.41021772424974623,0.4269385257502538,26.399766103744508,0.0,0.0,0.0,0.0,0.0
17,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.1837703968763351,0.42868125,1.0729190327376128,0.469296875,0.004166104783731046,0.46113130962388715,0.47746244037611285,26.58859643917084,0.0,0.0,0.0,0.0,0.0
18,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.1652123357087374,0.440465625,1.1363334388434887,0.448859375,0.004343676263652875,0.4403457695232404,0.4573729804767596,26.68067099876404,0.0,0.0,0.0,0.0,0.0
19,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.1642132757246495,0.4472125,1.24917433417961,0.43634375,0.004522598194365998,0.4274794575390426,0.44520804246095735,26.929355891036987,0.0,0.0,0.0,0.0,0.0
20,2,1,1,1,0.8,0.3,5,2,100,50,1.0,1.148369558674097,0.45155625,1.092135852456093,0.456,0.00415414697167555,0.44785787193551596,0.46414212806448407,27.489660345077514,0.0,0.0,0.0,0.0,0.0
