epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.099215625,nan,0.10209375,0.003228700161494586,0.0957654976834706,0.10842200231652939,nan,0.0,0.0,0.0,0.0,0.0
2,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.1007625,nan,0.098796875,0.0031844195938690446,0.09255541259601668,0.10503833740398333,nan,0.0,0.0,0.0,0.0,0.0
3,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.099259375,nan,0.104140625,0.0032027398757603753,0.09786325484350966,0.11041799515649034,nan,0.0,0.0,0.0,0.0,0.0
4,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.100890625,nan,0.099625,0.0031211406884500653,0.09350756425063787,0.10574243574936214,nan,0.0,0.0,0.0,0.0,0.0
5,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.100090625,nan,0.092890625,0.0030361737830780053,0.08693972438516712,0.09884152561483289,nan,0.0,0.0,0.0,0.0,0.0
6,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.102284375,nan,0.099890625,0.00307153868042751,0.09387040918636208,0.10591084081363791,nan,0.0,0.0,0.0,0.0,0.0
7,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.102828125,nan,0.097078125,0.0031922905978306053,0.09082123542825202,0.10333501457174799,nan,0.0,0.0,0.0,0.0,0.0
8,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.099953125,nan,0.103890625,0.0032603564552111794,0.09750032634778609,0.11028092365221391,nan,0.0,0.0,0.0,0.0,0.0
9,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.0985625,nan,0.09428125,0.0031267746805486657,0.08815277162612462,0.10040972837387538,nan,0.0,0.0,0.0,0.0,0.0
10,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.10055625,nan,0.101046875,0.003139036272903435,0.09489436390510926,0.10719938609489073,nan,0.0,0.0,0.0,0.0,0.0
11,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.10070625,nan,0.10259375,0.003249453331553744,0.09622482147015465,0.10896267852984534,nan,0.0,0.0,0.0,0.0,0.0
12,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.0964875,nan,0.098421875,0.0031413054593371877,0.09226491629969912,0.1045788337003009,nan,0.0,0.0,0.0,0.0,0.0
13,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.0986,nan,0.09840625,0.0031860592329611068,0.09216157390339623,0.10465092609660377,nan,0.0,0.0,0.0,0.0,0.0
14,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.102940625,nan,0.101734375,0.00321683925067558,0.09542937006867587,0.10803937993132413,nan,0.0,0.0,0.0,0.0,0.0
15,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.100834375,nan,0.102796875,0.0032278662566822217,0.09647025713690284,0.10912349286309715,nan,0.0,0.0,0.0,0.0,0.0
16,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.101465625,nan,0.104546875,0.0032198682920115134,0.09823593314765743,0.11085781685234257,nan,0.0,0.0,0.0,0.0,0.0
17,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.097109375,nan,0.09228125,0.003051024671113071,0.08630124164461837,0.09826125835538162,nan,0.0,0.0,0.0,0.0,0.0
18,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.0982,nan,0.10334375,0.003268030464519457,0.09693841028954187,0.10974908971045813,nan,0.0,0.0,0.0,0.0,0.0
19,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.09979375,nan,0.101390625,0.003348361331828441,0.09482783678961626,0.10795341321038374,nan,0.0,0.0,0.0,0.0,0.0
20,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.100521875,nan,0.099796875,0.0031734040291630594,0.0935770031028404,0.10601674689715959,nan,0.0,0.0,0.0,0.0,0.0
21,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.1037,nan,0.103171875,0.0032633816308702754,0.09677564700349425,0.10956810299650574,nan,0.0,0.0,0.0,0.0,0.0
22,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.099240625,nan,0.099328125,0.003188575858140864,0.09307851631804391,0.1055777336819561,nan,0.0,0.0,0.0,0.0,0.0
23,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.09966875,nan,0.101875,0.0031952154193086724,0.095612377778155,0.10813762222184499,nan,0.0,0.0,0.0,0.0,0.0
24,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.09925625,nan,0.101484375,0.0031602288106041265,0.09529032653121591,0.10767842346878409,nan,0.0,0.0,0.0,0.0,0.0
25,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.100375,nan,0.099296875,0.00313194838995646,0.09315825615568535,0.10543549384431466,nan,0.0,0.0,0.0,0.0,0.0
26,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.09745,nan,0.100703125,0.003167543832010228,0.09449473908925995,0.10691151091074005,nan,0.0,0.0,0.0,0.0,0.0
27,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.098671875,nan,0.0985625,0.003155203898355081,0.09237830035922404,0.10474669964077596,nan,0.0,0.0,0.0,0.0,0.0
28,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.101184375,nan,0.09778125,0.0031333024247606955,0.09163997724746904,0.10392252275253096,nan,0.0,0.0,0.0,0.0,0.0
29,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.099825,nan,0.106828125,0.003345269599107453,0.10027139658574939,0.1133848534142506,nan,0.0,0.0,0.0,0.0,0.0
30,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.09806875,nan,0.09790625,0.003215631032073793,0.09160361317713536,0.10420888682286464,nan,0.0,0.0,0.0,0.0,0.0
31,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.097875,nan,0.099890625,0.003238005515404287,0.09354413418980759,0.1062371158101924,nan,0.0,0.0,0.0,0.0,0.0
32,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.10161875,nan,0.101375,0.0031868001247360193,0.0951288717555174,0.10762112824448261,nan,0.0,0.0,0.0,0.0,0.0
33,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.100109375,nan,0.098609375,0.0031698815360208478,0.09239640718939914,0.10482234281060086,nan,0.0,0.0,0.0,0.0,0.0
34,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.09803125,nan,0.103625,0.0032512744259284468,0.09725250212518025,0.10999749787481974,nan,0.0,0.0,0.0,0.0,0.0
35,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.10150625,nan,0.10196875,0.0032269687431246215,0.09564389126347574,0.10829360873652426,nan,0.0,0.0,0.0,0.0,0.0
36,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.098690625,nan,0.098828125,0.003140445645253645,0.09267285153530286,0.10498339846469715,nan,0.0,0.0,0.0,0.0,0.0
37,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.100921875,nan,0.10253125,0.0032540451044030553,0.09615332159537002,0.10890917840462999,nan,0.0,0.0,0.0,0.0,0.0
38,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.09986875,nan,0.09265625,0.0030296527756393504,0.08671813055974686,0.09859436944025313,nan,0.0,0.0,0.0,0.0,0.0
39,0,1,0,1,0.95,0.3,5,2,100,50,1.0,nan,0.10086875,nan,0.09975,0.0031383481805164755,0.09359883756618771,0.1059011624338123,nan,0.0,0.0,0.0,0.0,0.0
