epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,1,1,1,0.8,0.7,5,2,100,50,1.0,2.070449803352356,0.1916125,1.5242909607887267,0.348703125,0.003579079771463251,0.341688128647932,0.355718121352068,140.60628263092042,0.0,0.0,0.0,0.22215843633264304,0.17106382962812977
2,0,1,1,1,0.8,0.7,5,2,100,50,1.0,1.4969004776000976,0.3446125,1.4506875586509704,0.346,0.0034835861369696083,0.3391721711715395,0.3528278288284604,76.55603969230651,0.0,0.0,0.0,0.17452024633487062,0.1794384111315012
3,0,1,1,1,0.8,0.7,5,2,100,50,1.0,1.4538227262973786,0.349390625,1.4638370790481567,0.34525,0.003703470505403303,0.3379911978094095,0.3525088021905905,74.7974158115387,0.0,0.0,0.0,0.18515239861955246,0.19146165457367895
4,0,1,1,1,0.8,0.7,5,2,100,50,1.0,1.4321792532920838,0.345890625,1.4518911650180817,0.34009375,0.003460334123909611,0.33331149511713715,0.3468760048828628,70.77599751167297,0.0,0.0,0.0,0.19574400703807668,0.19692255236705145
5,0,1,1,1,0.8,0.7,5,2,100,50,1.0,1.4125177505731583,0.349440625,1.4459212856292725,0.3465,0.0035013815566362623,0.3396372921489929,0.35336270785100704,65.5344334159851,0.0,0.0,0.0,0.20837313015957676,0.21921244361251593
6,0,1,1,1,0.8,0.7,5,2,100,50,1.0,1.410831469154358,0.350225,1.4358253281116486,0.3453125,0.003710968868347715,0.3380390010180385,0.3525859989819615,63.22025228424072,0.0,0.0,0.0,0.21494433027903243,0.20076636102547246
7,0,1,1,1,0.8,0.7,5,2,100,50,1.0,1.3339665025264025,0.424965625,1.1790009625554085,0.477015625,0.003645225521570132,0.46987098297772256,0.48416026702227744,60.0202119720459,0.0,0.0,0.0,0.19213292030890783,0.166022174552083
8,0,1,1,1,0.8,0.7,5,2,100,50,1.0,1.0497013954088092,0.52298125,0.9279597541205585,0.556015625,0.0037771189195232916,0.5486124719177343,0.5634187780822657,56.04011125984192,0.0,0.0,0.0,0.1493329015692075,0.13636481690655153
9,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.9196663812413811,0.555559375,0.8950408394020051,0.56778125,0.003950525343953049,0.560038220325852,0.575524279674148,52.19863297309875,0.0,0.0,0.0,0.12766353917370238,0.12406917828321457
10,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.8383611544970423,0.602309375,0.8487108811326325,0.623671875,0.004068964062496513,0.6156967054375069,0.6316470445624931,48.38491852340698,0.0,0.0,0.0,0.11708780416697263,0.10686573808143535
11,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.6862937332294882,0.685990625,0.5841219239328057,0.720375,0.003911306819404195,0.7127088386339677,0.7280411613660323,35.49374829044342,0.0,0.0,0.0,0.09243655640482902,0.07488705327361822
12,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.5583162882514298,0.722440625,0.5044149767942726,0.73421875,0.0039611172925793975,0.7264549601065444,0.7419825398934556,26.533771574687957,0.0,0.0,0.0,0.06943075111955403,0.06426168403029442
13,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.5226774181474,0.730978125,0.514428077461198,0.7401875,0.0039006825632323058,0.7325421621760647,0.7478328378239353,24.166563962554932,0.0,0.0,0.0,0.058438907144467034,0.05656300597389539
14,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.5007595788225532,0.746115625,0.5106768468525261,0.7825,0.0038590048737411277,0.7749363504474673,0.7900636495525326,22.513072010231017,0.0,0.0,0.0,0.05053940117855867,0.046427216125031305
15,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.4582091022610664,0.786090625,0.42138552582636474,0.800421875,0.0037843338819840344,0.7930045805913113,0.8078391694086886,22.059257226181032,0.0,0.0,0.0,0.043523652010659386,0.04045783660560846
16,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.40443130968399343,0.81268125,0.3605051050912589,0.835375,0.003696173960289526,0.8281304990378325,0.8426195009621674,20.802923051834107,0.0,0.0,0.0,0.03736440439273914,0.03554326494038105
17,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.33566108350604773,0.862871875,0.3040178304668516,0.883921875,0.00323219941880272,0.8775867641391466,0.8902569858608533,19.630730948448182,0.0,0.0,0.0,0.031644733527302744,0.029429662326971688
18,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.2683323256365955,0.89734375,0.2366206995546818,0.91296875,0.0028623332189311656,0.9073585768908949,0.918578923109105,18.857541498851777,0.0,0.0,0.0,0.027288066859543325,0.024027542104323705
19,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.24249383469149471,0.91153125,0.23264503804966807,0.91090625,0.0029890709106967224,0.9050476710150345,0.9167648289849656,18.470223246479033,0.0,0.0,0.0,0.02343769721140464,0.022261935097475847
20,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.22298046192340554,0.916646875,0.21217887141555547,0.923171875,0.002801917321755973,0.9176801170493583,0.9286636329506417,18.593474769687653,0.0,0.0,0.0,0.02087454924881458,0.019585424507657684
21,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.21202487119548022,0.920109375,0.19668151167221368,0.92459375,0.002841834936422537,0.9190237535246119,0.9301637464753881,18.98023094730377,0.0,0.0,0.0,0.018757286026577155,0.01743187215179205
22,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.20560746116042136,0.929353125,0.20995947918109595,0.9298125,0.002707591234062184,0.9245056211812381,0.935119378818762,19.327188642406465,0.0,0.0,0.0,0.01703048373957475,0.016279177861909074
23,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.19697033504731953,0.935503125,0.18854714759625493,0.93771875,0.00262676805303037,0.9325702846160605,0.9428672153839396,18.842320584583284,0.0,0.0,0.0,0.015000542144974071,0.013999626576900482
24,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.19855465412177145,0.934196875,0.18863909661956133,0.9341875,0.0026296317881113166,0.9290334216953018,0.9393415783046981,18.359052226066588,0.0,0.0,0.0,0.013726845565934977,0.013584744232396286
25,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.19702101872786879,0.93708125,0.18133871800825,0.93940625,0.002483499727635849,0.9345385905338337,0.9442739094661663,18.376594220924378,0.0,0.0,0.0,0.012817267803351084,0.011955656801660856
26,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1881147568434477,0.937140625,0.1996644900497049,0.936609375,0.0024933557975640596,0.9317223976367744,0.9414963523632255,18.402389282131196,0.0,0.0,0.0,0.011902992202341556,0.012034516590336958
27,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.18326740236319602,0.940175,0.19124032605066896,0.935125,0.0026813689415950345,0.9298695168744737,0.9403804831255262,18.24614362668991,0.0,0.0,0.0,0.011132797055939834,0.01095770919074615
28,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.19032010711058975,0.937921875,0.20596613675542175,0.93375,0.002592383086811128,0.9286689291498501,0.9388310708501498,18.216317899227143,0.0,0.0,0.0,0.010543439309298993,0.010640147929390272
29,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.18159246653430164,0.940859375,0.18904184458591045,0.93865625,0.0026119108942934126,0.9335369046471849,0.9437755953528151,18.02460444765091,0.0,0.0,0.0,0.010082367954154809,0.009949373702208202
30,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.18811026261299849,0.9398875,0.18127184090204537,0.941734375,0.0024775777160816366,0.93687832267648,0.9465904273235201,17.940795167064667,0.0,0.0,0.0,0.00964815736413002,0.008985651733974614
31,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.17556523899808527,0.940109375,0.1993945617955178,0.93796875,0.0025393752873775514,0.93299157443674,0.9429459255632601,18.07727179040909,0.0,0.0,0.0,0.009284275277455649,0.009236203427116075
32,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.17658422128781676,0.941640625,0.1791753262076527,0.93984375,0.0025457734874284074,0.9348540339646403,0.9448334660353597,18.246642746925353,0.0,0.0,0.0,0.008842219130694868,0.008914731621742248
33,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.17455007152818144,0.940359375,0.16465923275612296,0.944875,0.0023918156839800734,0.9401870412593991,0.9495629587406009,18.685316425037385,0.0,0.0,0.0,0.008539460469285647,0.00857127642383178
34,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.16773948290646076,0.9448,0.1531541241854429,0.947890625,0.002316132806213343,0.9433510046998218,0.9524302453001782,18.91942016401291,0.0,0.0,0.0,0.008298240752021471,0.008165820007522901
35,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1631412692949176,0.945540625,0.17067499494366348,0.942765625,0.002447020606467981,0.9379694646113228,0.9475617853886773,19.356605780315398,0.0,0.0,0.0,0.008133171209692954,0.007689801360170046
36,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.16283095762468874,0.94493125,0.15844029523432254,0.944375,0.0024375685429236086,0.9395973656558697,0.9491526343441302,19.736324638938903,0.0,0.0,0.0,0.007804478875299294,0.007607257356246313
37,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1587080529090017,0.94691875,0.1372841209024191,0.95209375,0.0022259988313378127,0.9477307922905779,0.956456707709422,19.97953028650284,0.0,0.0,0.0,0.007665137681365013,0.0076805531581242885
38,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15682928624078632,0.945878125,0.18150926414877178,0.94503125,0.0023996271894385795,0.9403279807087004,0.9497345192912996,20.15048411359787,0.0,0.0,0.0,0.007514326521257559,0.00714062836766243
39,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15798265557922422,0.945890625,0.17542614887468516,0.944109375,0.0024306612456747854,0.9393452789584774,0.9488734710415226,20.142615101242065,0.0,0.0,0.0,0.007249059976637363,0.007005524232983589
40,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1589575864329934,0.9466625,0.15156847338192164,0.947609375,0.002328114298315849,0.9430462709753009,0.952172479024699,20.450450458717345,0.0,0.0,0.0,0.007159070020914078,0.0071823451568682984
41,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15622500515319407,0.944625,0.15320496486127377,0.948046875,0.002376271857019187,0.9433893821602424,0.9527043678397575,20.467858380317686,0.0,0.0,0.0,0.0069674668843547494,0.0067285251145561545
42,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1502397722620517,0.946428125,0.1533822401035577,0.945859375,0.002443008127244889,0.9410710790706,0.9506476709294,20.42643889503479,0.0,0.0,0.0,0.006806476494173209,0.006809529242416223
43,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15199586124271156,0.9465125,0.15423458175547422,0.945453125,0.0023984879433091356,0.9407520886311141,0.9501541613688859,20.731557217407225,0.0,0.0,0.0,0.006623546080291271,0.006613014380137125
44,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14961330155469477,0.947859375,0.15238912611827254,0.946625,0.0023595754487087447,0.9420002321205309,0.9512497678794692,20.69184019088745,0.0,0.0,0.0,0.006442204991479714,0.0064274070709943775
45,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15469919719472527,0.946153125,0.1407421919349581,0.9485,0.0023951622063541696,0.9438054820755458,0.9531945179244542,20.725849353027343,0.0,0.0,0.0,0.006315515208741029,0.006209461110333601
46,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15132843898795545,0.947490625,0.1408153707962483,0.948125,0.0023798469865917416,0.9434604999062802,0.9527895000937198,20.474281831741333,0.0,0.0,0.0,0.0061263976429899525,0.005841265072425207
47,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15566446576938034,0.945890625,0.15078376260772347,0.9458125,0.002435628153398177,0.9410386688193395,0.9505863311806604,20.327859583950044,0.0,0.0,0.0,0.005991072861353557,0.005840695736308893
48,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15032692166008055,0.94781875,0.18589258075878023,0.941484375,0.0024900772851455203,0.9366038235211148,0.9463649264788853,20.477592093753813,0.0,0.0,0.0,0.005930043003459772,0.005709367950757344
49,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14915831831246615,0.9479,0.12628357508592308,0.9520625,0.0022471786790067873,0.9476580297891467,0.9564669702108534,20.581007250785827,0.0,0.0,0.0,0.0058256162727872525,0.005739393353462219
50,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1497963760435581,0.947453125,0.14419614010117948,0.948890625,0.0023501262638223586,0.9442843775229082,0.9534968724770918,20.509563605880736,0.0,0.0,0.0,0.005720328146219254,0.005761557807524999
51,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.15324378489553928,0.946403125,0.154946162186563,0.94725,0.002297466019891541,0.9427469666010126,0.9517530333989874,20.434908423519136,0.0,0.0,0.0,0.005560726149876912,0.005718842377265294
52,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14638690550290048,0.94895625,0.14833509333990513,0.946578125,0.0023558845400613836,0.9419605913014797,0.9511956586985204,20.724530228233338,0.0,0.0,0.0,0.005531726781030495,0.005482754165927569
53,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1475187069620937,0.94869375,0.15341333533264698,0.946484375,0.002417569627230194,0.9417459385306288,0.9512228114693713,20.742794125175475,0.0,0.0,0.0,0.005475842158993085,0.00531391862531503
54,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14284961243532598,0.948746875,0.1321748098284006,0.951140625,0.002286949580690838,0.946658203821846,0.955623046178154,20.907169576644897,0.0,0.0,0.0,0.0052806684037049615,0.005166992075741291
55,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14521440271139144,0.94708125,0.15908994375355542,0.947328125,0.002395620442864504,0.9426327089319856,0.9520235410680143,20.801275570678712,0.0,0.0,0.0,0.005265371931095918,0.00518133469671011
56,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14931868945322932,0.947928125,0.1470272301994264,0.94878125,0.002292892224155891,0.9442871812406545,0.9532753187593456,21.270663127326966,0.0,0.0,0.0,0.005239898043870926,0.0053174289887150126
57,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.138654428101331,0.95355,0.1340391827225685,0.953359375,0.0022540270302519086,0.9489414820207063,0.9577772679792937,20.49710376319885,0.0,0.0,0.0,0.005145623840888342,0.005057872700194518
58,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14486225763373076,0.953621875,0.13641349281743168,0.9544375,0.0022337023870251604,0.9500594433214308,0.9588155566785693,20.60749674692154,0.0,0.0,0.0,0.00504264802634716,0.004930894476672013
59,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1435550511866808,0.951175,0.11949999635852873,0.9546875,0.0022218898643181165,0.9503325958659365,0.9590424041340635,21.009724476242067,0.0,0.0,0.0,0.004975530235469342,0.004727589060862859
60,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.13848839078247546,0.9533125,0.13228907920047642,0.953046875,0.002257389326252192,0.9486223919205456,0.9574713580794543,20.94739667816162,0.0,0.0,0.0,0.004844778989752134,0.004727969917158285
61,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1433783875372261,0.952365625,0.1725822296347469,0.94853125,0.002397842316147019,0.9438314790603519,0.9532310209396482,21.239109513282777,0.0,0.0,0.0,0.004850922058025996,0.004734883459905782
62,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.13369066423103212,0.954084375,0.12915851829014718,0.9533125,0.0022671037322520987,0.9488689766847859,0.9577560233152141,21.23204215145111,0.0,0.0,0.0,0.004791072341799736,0.0048364695832133296
63,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14305785177648067,0.953353125,0.12746134831383824,0.953578125,0.0022568261526996138,0.9491547457407088,0.9580015042592913,21.168662066268922,0.0,0.0,0.0,0.004780624869962533,0.00461339771002531
64,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.14179488641396165,0.953046875,0.13333651822619141,0.955203125,0.0022608043170677604,0.9507719485385472,0.9596343014614529,21.231343338775634,0.0,0.0,0.0,0.004705358012020588,0.004800905751685302
65,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1391679833959788,0.95309375,0.13383556899242102,0.95546875,0.002317443453204015,0.9509265608317201,0.9600109391682798,21.539527524757386,0.0,0.0,0.0,0.004617417695621649,0.004491844311356545
66,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.142613823004812,0.95145,0.13092665358632802,0.95009375,0.002338973580531418,0.9455093617821584,0.9546781382178415,21.318551625728606,0.0,0.0,0.0,0.004614198910693327,0.0047001431609193485
67,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1379122472729534,0.954275,0.14476243639923633,0.952515625,0.002262428907354904,0.9480812643415844,0.9569499856584156,21.182865142250062,0.0,0.0,0.0,0.00457540644009908,0.004479476496577263
68,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.13942183424942195,0.95351875,0.14253770925849676,0.9539375,0.002275960081816465,0.9494766182396397,0.9583983817603603,21.330938735961915,0.0,0.0,0.0,0.00453005867600441,0.004342336349189281
69,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1385319337170571,0.953246875,0.12289651191979646,0.954296875,0.00226975584458752,0.9498481535446085,0.9587455964553916,21.397566284751893,0.0,0.0,0.0,0.004501498761276404,0.004314657665789127
70,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.13561701314076782,0.954715625,0.12086205678619444,0.958140625,0.0021487605136571676,0.953929054393232,0.962352195606768,21.278803933906556,0.0,0.0,0.0,0.004388524808983008,0.004430744084219137
71,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.13413929667621852,0.95301875,0.12525671706348657,0.95434375,0.0021868722523487273,0.9500574803853965,0.9586300196146036,21.65518858642578,0.0,0.0,0.0,0.004343809287746747,0.004428777349491914
72,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1366881834167987,0.951415625,0.14146549589373172,0.950453125,0.0023039458883772584,0.9459373910587806,0.9549688589412194,21.966214226341247,0.0,0.0,0.0,0.004334038429458936,0.004405848883092403
73,0,1,1,1,0.8,0.7,5,2,100,50,1.0,0.1394572970252484,0.952028125,0.1292093672249466,0.952546875,0.0022754592309791252,0.9480869749072809,0.9570067750927191,21.64475285701752,0.0,0.0,0.0,0.00434388489027818,0.004246011567612489
