epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,1,1,1,0.95,0.3,10,2,100,50,1.0,2.3134214263916015,0.10156875,2.306691223144531,0.09875,0.0023721366457548493,0.0941006121743205,0.1033993878256795,181.83284127082825,0.0,0.0,0.0,0.0,0.0
2,0,1,1,1,0.95,0.3,10,2,100,50,1.0,2.1361536170959474,0.198296875,1.9591288566589355,0.2725,0.002578968678749896,0.2674452213896502,0.27755477861034983,27.092129648160935,0.0,0.0,0.0,0.0,0.0
3,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.9474957611083985,0.2711125,1.934748867034912,0.2705,0.002610417252637293,0.26538358218483094,0.2756164178151691,17.880198961162566,0.0,0.0,0.0,0.0,0.0
4,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.9196678234100342,0.27046875,1.9179710540771484,0.26509375,0.0026507208955493223,0.25989833704472337,0.27028916295527666,20.232270816802977,0.0,0.0,0.0,0.0,0.0
5,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8989873676300049,0.270640625,1.8787900409698486,0.274703125,0.002559384291869613,0.26968673178793556,0.2797195182120644,21.661637947654725,0.0,0.0,0.0,0.0,0.0
6,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8875761768341064,0.268671875,1.872252061843872,0.271046875,0.0025214323451716535,0.2661048676034636,0.27598888239653646,23.2449200050354,0.0,0.0,0.0,0.0,0.0
7,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8750218021392822,0.266765625,1.8873561515808106,0.263625,0.0025481259175315096,0.25863067320163824,0.26861932679836176,25.26397637386322,0.0,0.0,0.0,0.0,0.0
8,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.86537301902771,0.265715625,1.8437457485198974,0.266484375,0.0026508621340200775,0.2612886852173206,0.27168006478267936,27.41683388710022,0.0,0.0,0.0,0.0,0.0
9,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8570708099365234,0.26476875,1.8550342025756836,0.26334375,0.0024771371057814243,0.2584885612726684,0.2681989387273316,29.661199736976624,0.0,0.0,0.0,0.0,0.0
10,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8519765758514404,0.264140625,1.8602866039276122,0.2526875,0.002527789597800888,0.24773303238831026,0.2576419676116897,31.51385817718506,0.0,0.0,0.0,0.0,0.0
11,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8476251682281495,0.263628125,1.8471847267150878,0.258625,0.0024091670005560602,0.2539030326789101,0.26334696732108986,32.959336421966555,0.0,0.0,0.0,0.0,0.0
12,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8463196258544923,0.2613875,1.8238736457824707,0.2665,0.002625397490093737,0.2613542209194163,0.27164577908058374,34.84403347015381,0.0,0.0,0.0,0.0,0.0
13,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.840716622543335,0.263728125,1.8319724407196045,0.261734375,0.0025521101615512275,0.2567322390833596,0.2667365109166404,36.40167100353241,0.0,0.0,0.0,0.0,0.0
14,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8410797897338866,0.260653125,1.8686726684570312,0.252515625,0.0025402643851335388,0.24753670680513828,0.25749454319486176,37.754380872917174,0.0,0.0,0.0,0.0,0.0
15,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8362251609802247,0.262109375,1.882323091506958,0.255625,0.0024710088979477325,0.25078182256002246,0.2604681774399775,39.28451126537323,0.0,0.0,0.0,0.0,0.0
16,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8330207118988038,0.262746875,1.8344100570678712,0.259140625,0.002504621454380793,0.2542315669494137,0.26404968305058635,40.97990041999817,0.0,0.0,0.0,0.0,0.0
17,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.830033472442627,0.26098125,1.8383056373596192,0.2574375,0.0025070985545458924,0.25252358683309006,0.2623514131669099,41.70936053695679,0.0,0.0,0.0,0.0,0.0
18,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8271371658325195,0.2640375,1.822478744506836,0.259515625,0.0023951299544187504,0.25482117028933926,0.2642100797106608,43.00995463886261,0.0,0.0,0.0,0.0,0.0
19,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8250122310638428,0.26233125,1.8218864288330079,0.267125,0.002549926677971646,0.26212714371117557,0.27212285628882443,43.961095745658874,0.0,0.0,0.0,0.0,0.0
20,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.826441550064087,0.26525,1.8287831840515136,0.264109375,0.0026276695976067423,0.25895914258869074,0.2692596074113092,44.80591185646057,0.0,0.0,0.0,0.0,0.0
21,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8238728168487548,0.263515625,1.8270036201477051,0.266609375,0.0025534026864792296,0.2616047057345007,0.2716140442654993,45.06877229042053,0.0,0.0,0.0,0.0,0.0
22,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8205830379486083,0.26556875,1.8125325374603272,0.265453125,0.002591192750342379,0.26037438720932893,0.2705318627906711,46.57283690376282,0.0,0.0,0.0,0.0,0.0
23,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8239110694885254,0.26571875,1.818592472076416,0.2636875,0.0024834876300334706,0.2588198642451344,0.2685551357548656,46.81918215446472,0.0,0.0,0.0,0.0,0.0
24,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8239068088531494,0.264378125,1.799110595703125,0.269984375,0.00262914647017535,0.2648312479184563,0.2751375020815437,47.87374497413635,0.0,0.0,0.0,0.0,0.0
25,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.819451308441162,0.266240625,1.8150063514709474,0.264734375,0.00258318828183398,0.25967132596760545,0.2697974240323946,48.88396077270508,0.0,0.0,0.0,0.0,0.0
26,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.818553957748413,0.266959375,1.806764533996582,0.27221875,0.00255545583658476,0.2672100565602939,0.2772274434397061,49.25538060874939,0.0,0.0,0.0,0.0,0.0
27,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.8207654426574706,0.264728125,1.8110482997894286,0.268578125,0.002542864086320371,0.26359411139081207,0.27356213860918793,50.0760761592865,0.0,0.0,0.0,0.0,0.0
28,0,1,1,1,0.95,0.3,10,2,100,50,1.0,1.814711825942993,0.267909375,1.8142495384216308,0.264234375,0.002547945287363602,0.25924040223676736,0.2692283477632327,50.39407766609192,0.0,0.0,0.0,0.0,0.0
