epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,2,1,1,1,0.95,0.3,5,15,100,50,1.0,2.3158882263183593,0.100309375,2.3157867889404296,0.119953125,0.003477593010951266,0.11313704269853551,0.1267692073014645,219.0250496700287,0.0,0.0,0.0,0.0,0.0
2,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.7576432561874389,0.323478125,1.6341497478485107,0.3410625,0.003424949803457432,0.33434959838522343,0.34777540161477655,50.4301209815979,0.0,0.0,0.0,0.0,0.0
3,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.5475173003196716,0.3398125,1.4852117996215821,0.335640625,0.0036197818745871252,0.32854585252580926,0.3427353974741908,55.18512743606567,0.0,0.0,0.0,0.0,0.0
4,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.4714498765945434,0.3295,1.440369089126587,0.30834375,0.0034803237629157592,0.30152231542468516,0.3151651845753149,61.66348437461853,0.0,0.0,0.0,0.0,0.0
5,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.4341594627380372,0.313890625,1.4143082847595214,0.298515625,0.0035784563457535597,0.29150185056232303,0.305529399437677,66.15482304153443,0.0,0.0,0.0,0.0,0.0
6,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.4188518604278564,0.31501875,1.4387924766540527,0.31921875,0.003621037813133249,0.3121215158862588,0.3263159841137412,68.19947800178528,0.0,0.0,0.0,0.0,0.0
7,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.4118956001281737,0.321234375,1.4037702140808106,0.3153125,0.00369556090222662,0.30806920063163584,0.32255579936836415,67.73182630500793,0.0,0.0,0.0,0.0,0.0
8,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.4209231241226197,0.320496875,1.4001698112487793,0.323984375,0.0037898373128979826,0.31655629386671996,0.33141245613328,68.30434304008485,0.0,0.0,0.0,0.0,0.0
9,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.4118516345977783,0.3306875,1.4322002902030946,0.326171875,0.004056723400417008,0.31822069713518264,0.33412305286481736,67.71991933784484,0.0,0.0,0.0,0.0,0.0
10,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.3805783051133156,0.343271875,1.3426031713485718,0.340140625,0.004078166327925922,0.3321474189972652,0.34813383100273476,66.4355867603302,0.0,0.0,0.0,0.0,0.0
11,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.3343737821489572,0.3563125,1.3955203881263734,0.349078125,0.003968045768382363,0.3413007552939706,0.35685549470602945,67.31994396247863,0.0,0.0,0.0,0.0,0.0
12,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.2821635136127472,0.3907875,1.2192215358018874,0.406953125,0.004152938917088321,0.3988133647225069,0.41509288527749316,65.75579087715148,0.0,0.0,0.0,0.0,0.0
13,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.2187043989777564,0.423028125,1.1639729663729668,0.4300625,0.0041163324452143995,0.4219944884073798,0.43813051159262023,63.471982357788086,0.0,0.0,0.0,0.0,0.0
14,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.1617364931225778,0.446815625,1.1104002245664597,0.460625,0.004025067327355515,0.45273586803838317,0.46851413196161684,64.59843426513672,0.0,0.0,0.0,0.0,0.0
15,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.1196637289494276,0.460503125,1.0944366777837276,0.468890625,0.004045169516829873,0.46096209274701344,0.47681915725298657,68.02459108009339,0.0,0.0,0.0,0.0,0.0
16,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.0784956885159016,0.469578125,1.1138811579197645,0.459546875,0.003893058312529439,0.45191648070744234,0.4671772692925577,73.01724324569702,0.0,0.0,0.0,0.0,0.0
17,2,1,1,1,0.95,0.3,5,15,100,50,1.0,1.0347987659707665,0.482384375,1.0008860217928885,0.49059375,0.003985242695418867,0.482782674316979,0.49840482568302097,79.34052945594787,0.0,0.0,0.0,0.0,0.0
18,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.952786906722188,0.516078125,0.8883546437993646,0.52625,0.003989163504136094,0.5184312395318933,0.5340687604681067,78.9294950017929,0.0,0.0,0.0,0.0,0.0
19,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.8949146745551377,0.53679375,0.873727775812149,0.5390625,0.004262854414679837,0.5307073053472275,0.5474176946527725,79.5026680404663,0.0,0.0,0.0,0.0,0.0
20,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.8732794378384948,0.5493,0.8745829111486674,0.549640625,0.00425469092007191,0.541301430796659,0.5579798192033409,83.31372546348572,0.0,0.0,0.0,0.0,0.0
21,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.8612112189285457,0.55800625,0.8205141942091286,0.5610625,0.00425794576767427,0.5527169262953584,0.5694080737046416,84.31949962272644,0.0,0.0,0.0,0.0,0.0
22,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.8380053747311235,0.57060625,0.9022321085855365,0.5568125,0.004401188990391071,0.5481861695788336,0.5654388304211665,87.22077335624695,0.0,0.0,0.0,0.0,0.0
23,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.8295322069231421,0.57615,0.8273679472282529,0.563875,0.004336849490903895,0.5553747749978284,0.5723752250021716,87.3291646680832,0.0,0.0,0.0,0.0,0.0
24,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.8249751260098069,0.5786625,0.8049888455979526,0.582484375,0.004365114460776776,0.5739287506568775,0.5910399993431226,85.84294514541627,0.0,0.0,0.0,0.0,0.0
25,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.8093952678963542,0.5906875,0.8197850282043219,0.59990625,0.004343216427077399,0.5913935458029282,0.6084189541970717,82.57989823875427,0.0,0.0,0.0,0.0,0.0
26,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.7773984317917376,0.607046875,0.7904950792379677,0.617609375,0.00433050877132687,0.6091215778081993,0.6260971721918007,75.80593113098145,0.0,0.0,0.0,0.0,0.0
27,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.7297122166290879,0.627265625,0.6652583922892809,0.63921875,0.00427883844383414,0.630832226650085,0.6476052733499149,63.422466740226746,0.0,0.0,0.0,0.0,0.0
28,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.691602998323366,0.638078125,0.6616794000882655,0.646578125,0.004326905355602935,0.6380973905030183,0.6550588594969817,53.99209361171722,0.0,0.0,0.0,0.0,0.0
29,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6704666700564325,0.645765625,0.653025805266574,0.649484375,0.004393898771081321,0.6408723334086807,0.6580964165913193,48.79733971652985,0.0,0.0,0.0,0.0,0.0
30,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6522664813615382,0.652578125,0.6597299989331513,0.644984375,0.0044339043027548175,0.6362939225666007,0.6536748274333994,46.06418608264923,0.0,0.0,0.0,0.0,0.0
31,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6498644737027586,0.652228125,0.651226072119549,0.65165625,0.004413631819107261,0.6430055316345498,0.6603069683654503,45.338433130264285,0.0,0.0,0.0,0.0,0.0
32,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6488294176481664,0.65404375,0.6419491701349616,0.6566875,0.0044495367966202095,0.6479664078786244,0.6654085921213756,45.07862437286377,0.0,0.0,0.0,0.0,0.0
33,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6419067185949534,0.656190625,0.6412868329361081,0.6611875,0.0041344316753653245,0.653084013916284,0.6692909860837161,45.669293523406985,0.0,0.0,0.0,0.0,0.0
34,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6395404407843948,0.654090625,0.6029523236118257,0.669546875,0.004315811851692772,0.6610878837706822,0.6780058662293178,44.56527997303009,0.0,0.0,0.0,0.0,0.0
35,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6411433537788689,0.65643125,0.6421713512409478,0.65825,0.004283284806444297,0.6498547617793692,0.6666452382206308,44.20429164390564,0.0,0.0,0.0,0.0,0.0
36,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6298461337987333,0.66124375,0.612125687962398,0.662859375,0.004447558102708515,0.6541421611186914,0.6715765888813087,44.173927948379514,0.0,0.0,0.0,0.0,0.0
37,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.633204480163008,0.6608625,0.6142401691004634,0.6663125,0.0043991594693069715,0.6576901474401583,0.6749348525598416,43.28630874195099,0.0,0.0,0.0,0.0,0.0
38,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.6317732252039016,0.66995,0.6215836412701756,0.664671875,0.004473520313982825,0.6559037751845936,0.6734399748154064,44.06564954128265,0.0,0.0,0.0,0.0,0.0
39,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.622813409153372,0.678815625,0.5511359967701137,0.6944375,0.004556984063501046,0.685505811235538,0.7033691887644621,45.58579878425598,0.0,0.0,0.0,0.0,0.0
40,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.5506138506293297,0.699,0.5446236093360931,0.70140625,0.0043326182170283604,0.6929143182946245,0.7098981817053756,52.4585787984848,0.0,0.0,0.0,0.0,0.0
41,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.5469309581965208,0.704428125,0.5485377336833626,0.71359375,0.004404844818141122,0.7049602541564435,0.7222272458435566,57.309892805480956,0.0,0.0,0.0,0.0,0.0
42,2,1,1,1,0.95,0.3,5,15,100,50,1.0,0.5360304212391377,0.717328125,0.5503680218718946,0.716609375,0.004335483099930685,0.7081118281241359,0.7251069218758641,56.512217767715455,0.0,0.0,0.0,0.0,0.0
