epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,8,1,1,1,0.95,0.3,4,2,100,50,1.0,2.216629324913025,0.146128125,1.5262105474472045,0.374453125,0.004233974296380812,0.3661545353790936,0.3827517146209064,107.17762294988633,0.0,0.0,0.0,0.0,0.0
2,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.4170794257164,0.380884375,1.3559705766439438,0.376953125,0.004060785665311823,0.36899398509598885,0.38491226490401115,22.69917492160797,0.0,0.0,0.0,0.0,0.0
3,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.324468788290024,0.371825,1.2948209545612335,0.3721875,0.004043624619002696,0.3642619957467547,0.3801130042532453,28.345118342399598,0.0,0.0,0.0,0.0,0.0
4,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2793473109245301,0.368315625,1.293666915178299,0.36084375,0.003934438437805221,0.3531322506619018,0.36855524933809825,32.68331508979797,0.0,0.0,0.0,0.0,0.0
5,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2686908946394921,0.364403125,1.2726346740722656,0.371859375,0.004060593536555247,0.3639006116683517,0.3798181383316483,34.816830383110045,0.0,0.0,0.0,0.0,0.0
6,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2598290311813354,0.36845,1.2378390879631043,0.368984375,0.0039802163397056846,0.36118315097417686,0.3767855990258231,35.97516341896057,0.0,0.0,0.0,0.0,0.0
7,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2561008378744125,0.363709375,1.310018303155899,0.36003125,0.003934734439644436,0.3523191704982969,0.36774332950170313,36.36337030696869,0.0,0.0,0.0,0.0,0.0
8,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2513921701431274,0.3640125,1.2902958821058272,0.358078125,0.004047752998242924,0.3501445291234439,0.36601172087655615,35.50143380393982,0.0,0.0,0.0,0.0,0.0
9,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2479337643384933,0.35955625,1.2180519472956657,0.364609375,0.00416345088713371,0.3564490112612179,0.3727697387387821,34.45801911945343,0.0,0.0,0.0,0.0,0.0
10,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2504788764238357,0.361834375,1.2107089046239854,0.37090625,0.004292452630666062,0.3624930428438945,0.3793194571561055,33.3902630399704,0.0,0.0,0.0,0.0,0.0
11,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2459982679840178,0.363215625,1.2182425955533982,0.3659375,0.004541853085371603,0.35703546795267166,0.3748395320473284,31.115758951187132,0.0,0.0,0.0,0.0,0.0
12,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.1578471994645894,0.39064375,1.1187991969957947,0.41884375,0.0047209438818987,0.40959069999147857,0.42809680000852146,30.90406249961853,0.0,0.0,0.0,0.0,0.0
13,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.091840698291734,0.418190625,1.0687178474422545,0.428671875,0.0047185685497242065,0.41942348064254054,0.4379202693574594,33.46228712368011,0.0,0.0,0.0,0.0,0.0
14,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.0660165394250303,0.43906875,0.961596432287246,0.48334375,0.004806996284022493,0.47392203728331594,0.4927654627166841,35.37284517898559,0.0,0.0,0.0,0.0,0.0
15,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.0430662500962615,0.466721875,0.9954531536735595,0.482625,0.004851604870159778,0.47311585445448684,0.4921341455455132,36.60956924266815,0.0,0.0,0.0,0.0,0.0
16,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.025924242123589,0.48889375,0.9719302275255323,0.487859375,0.0048987872094520945,0.47825775206947385,0.4974609979305261,37.875543255615234,0.0,0.0,0.0,0.0,0.0
17,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.028907987923175,0.49414375,1.0033299260251225,0.50375,0.0048347464591395155,0.49427389694008655,0.5132261030599135,38.88036396255493,0.0,0.0,0.0,0.0,0.0
18,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.0069031829487531,0.501046875,0.9700310134198517,0.518609375,0.0047368163918601255,0.5093252148719541,0.5278935351280459,39.76353520450592,0.0,0.0,0.0,0.0,0.0
19,8,1,1,1,0.95,0.3,4,2,100,50,1.0,1.0011191460821778,0.507265625,0.9278029396422207,0.52221875,0.004942071125952735,0.5125322905931325,0.5319052094068674,40.334378960418704,0.0,0.0,0.0,0.0,0.0
20,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9884966199524701,0.509971875,1.0897009680289775,0.497421875,0.004908357625128314,0.48780149405474854,0.5070422559452515,40.323773504066466,0.0,0.0,0.0,0.0,0.0
21,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9971476781837643,0.51225625,0.9042635483704508,0.537453125,0.004916582008882515,0.5278166242625902,0.5470896257374097,40.998910896873475,0.0,0.0,0.0,0.0,0.0
22,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9865461362618952,0.52015625,1.0329183445926755,0.5103125,0.004748673287969276,0.5010051003555802,0.5196198996444197,41.24114947776794,0.0,0.0,0.0,0.0,0.0
23,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9789355141840875,0.518125,0.9190931938122958,0.520421875,0.0048555591951562095,0.5109049789774939,0.5299387710225062,41.34058318462372,0.0,0.0,0.0,0.0,0.0
24,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9800399404529482,0.523290625,1.0475434583574534,0.516078125,0.004777478180902733,0.5067142677654307,0.5254419822345694,41.921621281433104,0.0,0.0,0.0,0.0,0.0
25,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.974296043061465,0.5252375,0.9437432026080788,0.524328125,0.004699466640717944,0.5151171703841929,0.5335390796158072,41.67051922206878,0.0,0.0,0.0,0.0,0.0
26,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9563388287149369,0.531,1.0936916947625577,0.505765625,0.004987383041947775,0.49599035423778237,0.5155408957622176,41.54523522701263,0.0,0.0,0.0,0.0,0.0
27,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9565502809878439,0.5349,0.8889077580571174,0.54675,0.0049988070738007625,0.5369523381353505,0.5565476618646494,41.83000316066742,0.0,0.0,0.0,0.0,0.0
28,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9559414661902934,0.535559375,0.899471800884232,0.53990625,0.004911570238765187,0.5302795723320203,0.5495329276679798,41.47941875305176,0.0,0.0,0.0,0.0,0.0
29,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9416343241412193,0.538775,0.9526397978682071,0.535796875,0.004965485245180197,0.5260645239194468,0.5455292260805531,41.83161397094727,0.0,0.0,0.0,0.0,0.0
30,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9449069228015841,0.53769375,0.935077575005591,0.523078125,0.004830122349493098,0.5136110851949934,0.5325451648050065,41.72035174674988,0.0,0.0,0.0,0.0,0.0
31,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9359779782146216,0.544853125,0.8619439498353749,0.567484375,0.004855791702965231,0.5579670232621882,0.5770017267378119,41.54974187889099,0.0,0.0,0.0,0.0,0.0
32,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9360150885105133,0.545525,0.9243971800617874,0.546015625,0.004917036374118753,0.5363782337067272,0.5556530162932728,42.006311259651184,0.0,0.0,0.0,0.0,0.0
33,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9276523231077939,0.549271875,1.0561741089820862,0.52628125,0.005111810234756061,0.5162621019398782,0.5363003980601219,42.14597245521546,0.0,0.0,0.0,0.0,0.0
34,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9324442957624793,0.54665625,0.9141757827457041,0.54575,0.004823522723796736,0.5362958954613584,0.5552041045386416,41.83989165802002,0.0,0.0,0.0,0.0,0.0
35,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9230152593679726,0.54705,0.8488671893365681,0.566328125,0.004785942791192501,0.5569476771292626,0.5757085728707373,41.602756521606445,0.0,0.0,0.0,0.0,0.0
36,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.922989679242298,0.54860625,0.8574802525229752,0.560953125,0.004628851344353828,0.5518805763650666,0.5700256736349335,41.69150167922974,0.0,0.0,0.0,0.0,0.0
37,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9214854635953903,0.549015625,0.8332395600732416,0.572765625,0.004892851045963252,0.563175636949912,0.5823556130500879,41.54101323738098,0.0,0.0,0.0,0.0,0.0
38,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9091779707651585,0.55199375,1.0067341411802917,0.52034375,0.004862685377958486,0.5108128866592013,0.5298746133407987,41.628095645904544,0.0,0.0,0.0,0.0,0.0
39,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9113189960103482,0.55270625,0.95398760182783,0.547515625,0.005037824146977802,0.5376414896719235,0.5573897603280764,41.865459170341495,0.0,0.0,0.0,0.0,0.0
40,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9054206193491816,0.553546875,1.0032022204604,0.545734375,0.0050049447429012075,0.5359246833039136,0.5555440666960864,41.24213173885345,0.0,0.0,0.0,0.0,0.0
41,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9033696951128543,0.557290625,0.8231012540869415,0.577953125,0.004741356740703392,0.5686600657882213,0.5872461842117787,41.21750416984558,0.0,0.0,0.0,0.0,0.0
42,8,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9016201276190579,0.559946875,0.9630649022907019,0.56271875,0.004804151890491411,0.5533026122946368,0.5721348877053632,41.02240121173859,0.0,0.0,0.0,0.0,0.0
