epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,3,1,1,1,0.95,0.3,8,2,100,50,1.0,2.193765540313721,0.158378125,1.8402397499084473,0.291953125,0.002842072391712085,0.2863826631122443,0.29752358688775565,116.51075143241883,0.0,0.0,0.0,0.2915309257815281,0.1733946715493997
2,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.9536374009534717,0.616696875,0.3142193403504789,0.866234375,0.0027689043574083455,0.8608073224594797,0.8716614275405203,24.943079809093476,0.0,0.0,0.0,0.08078601765831311,0.04481641483141316
3,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.22637080465815962,0.914921875,0.16737921055220067,0.944078125,0.0019603148678357047,0.940235907859042,0.947920342140958,23.754477326488495,0.0,0.0,0.0,0.03892147067156103,0.0332502769910627
4,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.14153822447992861,0.95464375,0.12519164431095123,0.959796875,0.0016725732174036436,0.9565186314938888,0.9630751185061112,22.82778496837616,0.0,0.0,0.0,0.02942354158924685,0.024108393531706598
5,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.12318757743574679,0.963025,0.12109803718328475,0.964640625,0.0015900380560507133,0.9615241504101406,0.9677570995898594,23.622713934516906,0.0,0.0,0.0,0.024228691628906462,0.02189639305902852
6,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.11607074976153672,0.965184375,0.10512522477470339,0.969359375,0.0015078647941040126,0.9664039600035561,0.9723147899964439,25.6206737156868,0.0,0.0,0.0,0.02150050591793325,0.02208063694006867
7,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.11241023082509637,0.970528125,0.08874343688040971,0.974421875,0.0013613411567236489,0.9717536463328217,0.9770901036671783,27.463854265975954,0.0,0.0,0.0,0.019707858738303184,0.018389186253150305
8,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.1024307774424553,0.973,0.0907400381769985,0.975328125,0.0012810346970573124,0.9728172969937676,0.9778389530062324,28.76893225784302,0.0,0.0,0.0,0.018029944626821413,0.017494543689820504
9,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.0986625989947468,0.97451875,0.08391851997375488,0.9780625,0.0012608559669961333,0.9755912223046875,0.9805337776953124,30.582463531684876,0.0,0.0,0.0,0.017150700286361904,0.016740418000353707
10,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.0986318023480475,0.974878125,0.10029630335979163,0.975421875,0.001329085427240717,0.9728168675626082,0.9780268824373918,31.5602640542984,0.0,0.0,0.0,0.016134596760405434,0.015278501442737048
11,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.09550883080214262,0.974665625,0.09831810584664345,0.973890625,0.0013532215084401885,0.9712383108434572,0.9765429391565428,33.143397699928286,0.0,0.0,0.0,0.015642370966739122,0.016417636988891496
12,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.09558310893923044,0.97545625,0.10476859484054148,0.974140625,0.0014030796954362784,0.9713905887969448,0.9768906612030551,33.97469709968567,0.0,0.0,0.0,0.015028757028778395,0.015398450824949476
13,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.09100477631576359,0.9766375,0.09166938443854451,0.9766875,0.0013379812872710676,0.9740650566769488,0.9793099433230513,35.36833150901794,0.0,0.0,0.0,0.014604018865691291,0.015046153191063139
14,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.0796998973250389,0.98019375,0.06018175904452801,0.982453125,0.0011326845866915696,0.9802330632100845,0.9846731867899156,36.21205725898743,0.0,0.0,0.0,0.01423883629441261,0.014152684435248374
15,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.07430694034993648,0.98056875,0.06996270151436329,0.980734375,0.0012052366224989987,0.978372111219902,0.9830966387800981,36.86905428619385,0.0,0.0,0.0,0.013879585610164537,0.01347826599743631
16,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.07515360120609403,0.98140625,0.08168250843696297,0.97925,0.001268948736828383,0.9767628604758163,0.9817371395241836,38.822371452903745,0.0,0.0,0.0,0.013487198190556632,0.01412483323779371
17,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.06602374849691987,0.98295,0.06948865760862827,0.98240625,0.001154643351257457,0.9801431490315354,0.9846693509684646,39.74479289970398,0.0,0.0,0.0,0.01358586006661256,0.013932243913412095
18,3,1,1,1,0.95,0.3,8,2,100,50,1.0,0.06975121702291072,0.982059375,0.05272498079016805,0.98475,0.001050247713699042,0.9826915144811499,0.9868084855188501,41.00966692237854,0.0,0.0,0.0,0.013304416557484202,0.013323420960042211
