epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,1,1,1,0.95,0.3,3,2,100,50,1.0,2.350725555419922,0.10990625,2.305791727701823,0.13010416666666666,0.012008250163435302,0.10656799634633347,0.15364033698699986,94.11778015518189,0.0,0.0,0.0,0.308295800127089,0.32363303686181705
2,0,1,1,1,0.95,0.3,3,2,100,50,1.0,2.3071122436523437,0.1265,2.245353088378906,0.18385416666666668,0.011943669839926464,0.16044457378041083,0.20726375955292253,99.18718701171875,0.0,0.0,0.0,0.30953616021573543,0.2944113741318385
3,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.8920295181274414,0.31928125,1.430375493367513,0.42625,0.011503590818869652,0.4037029619950155,0.44879703800498455,43.81336007881165,0.0,0.0,0.0,0.1919418133571744,0.11155650002261003
4,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.290575123310089,0.43046875,1.18910560131073,0.4483333333333333,0.010964191763277625,0.42684351747730914,0.46982314918935747,36.34158169746399,0.0,0.0,0.0,0.1184571311622858,0.11748826784392198
5,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.1947395370006562,0.43184375,1.1805797592798868,0.4191666666666667,0.011705124541949533,0.3962246225644456,0.44210871076888775,41.35508527755737,0.0,0.0,0.0,0.11649189116805791,0.11982009872794151
6,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.1531823644638062,0.431625,1.1311428423722585,0.43416666666666665,0.011920709178597496,0.41080207667661556,0.45753125665671773,45.1246068572998,0.0,0.0,0.0,0.11756193393468857,0.12009001682202021
7,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.1300314285755158,0.4336875,1.1678319342931112,0.4084375,0.01104806553769208,0.3867832915461235,0.4300917084538765,49.11174940109253,0.0,0.0,0.0,0.1200118439346552,0.11664904127518336
8,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.1339785655736923,0.4158125,1.13339090158542,0.4153125,0.011144335509231032,0.39346960240190715,0.4371553975980928,51.01177202606201,0.0,0.0,0.0,0.12143553461879492,0.11722160769005617
9,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.1173174730837345,0.435625,1.1339603745937348,0.4271875,0.01054942402049317,0.40651062891983336,0.44786437108016663,52.61763148498535,0.0,0.0,0.0,0.12044404131174087,0.11669400170445442
10,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.1194202920198442,0.42646875,1.0552369594573974,0.4395833333333333,0.011352857755959646,0.4173317321316524,0.46183493453501423,54.14176332092285,0.0,0.0,0.0,0.12076977819949389,0.12121255695819855
11,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0933092185854911,0.4361875,1.0895424969991048,0.4479166666666667,0.011111510293368241,0.42613810649166495,0.4696952268416684,55.71305479049683,0.0,0.0,0.0,0.12265511185675859,0.13005316659808158
12,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0975932565629483,0.4359375,1.1147531942526498,0.42614583333333333,0.010954978204517138,0.40467407605247974,0.44761759061418693,55.990956413269046,0.0,0.0,0.0,0.11907270129770041,0.11663096735874812
13,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0832330271601678,0.4418125,1.1430630683898926,0.4040625,0.010168552545791996,0.3841321370102477,0.4239928629897523,57.300346240997314,0.0,0.0,0.0,0.12069055663794279,0.11637678588430087
14,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0884908936321736,0.43275,1.108237123688062,0.4365625,0.011275910217506947,0.4144617159736864,0.4586632840263136,58.075070476531984,0.0,0.0,0.0,0.11997590663284063,0.11425334100921948
15,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0952383643984795,0.422375,1.0713658099373182,0.43916666666666665,0.011166477914010651,0.4172803699552058,0.4610529633781275,58.71115559005737,0.0,0.0,0.0,0.11977025280892849,0.12373727140327295
16,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0887929754555226,0.42234375,1.0742044251660505,0.43145833333333333,0.010316962917836426,0.4112370860143739,0.45167958065229274,59.44907306289673,0.0,0.0,0.0,0.12037854660302401,0.12626842585702738
17,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0798523395210504,0.4270625,1.068249788582325,0.4403125,0.01093765925986934,0.41887468785065607,0.4617503121493439,60.02034543609619,0.0,0.0,0.0,0.12151994401216507,0.12680956756075223
18,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0854277573227882,0.422375,1.0890073472261428,0.42791666666666667,0.010845305750370819,0.40665986739593984,0.4491734659373935,60.900287406921386,0.0,0.0,0.0,0.12298980382084847,0.12054349844654401
19,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0828155986368657,0.42446875,1.0615999391674995,0.4351041666666667,0.011518778380397752,0.4125273610410871,0.45768097229224625,60.92056611251831,0.0,0.0,0.0,0.12506821464002132,0.12302025099595387
20,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0741286739110947,0.43,1.0820898013313611,0.4259375,0.010948284617766733,0.4044788621491772,0.44739613785082283,60.91970367431641,0.0,0.0,0.0,0.12386388199031353,0.128908964941899
21,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.092132729768753,0.4145625,1.083599901199341,0.42552083333333335,0.01082477278130623,0.40430427868197316,0.44673738798469353,60.97840365219116,0.0,0.0,0.0,0.12277795093506574,0.12761738965908687
22,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0730855832248927,0.43059375,1.0564116491874058,0.44072916666666667,0.011510533713469367,0.4181685205882667,0.46328981274506664,61.63106896972656,0.0,0.0,0.0,0.12550937882065774,0.12427503106494744
23,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.0839894293099641,0.4193125,1.055758619705836,0.4091666666666667,0.011516013482018115,0.3865952802419112,0.43173805309142216,62.33654457473755,0.0,0.0,0.0,0.12707104770094158,0.12392059999207655
24,0,1,1,1,0.95,0.3,3,2,100,50,1.0,1.078442841619253,0.42321875,1.0684107085069021,0.4294791666666667,0.010773519257600415,0.4083630689217699,0.4505952644115635,62.7785591430664,0.0,0.0,0.0,0.12808016122877597,0.1319836300611496
