epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,1,1,1,0.95,0.3,5,2,100,50,1.0,2.3156526382446287,0.101996875,2.242058319091797,0.151953125,0.003639461813151345,0.14481977984622335,0.15908647015377664,133.2460951423645,0.0,0.0,0.0,0.0,0.0
2,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.6762694935560227,0.3416125,1.5583188552856446,0.35565625,0.0034445941707579074,0.3489048454253145,0.3624076545746855,20.05593644490242,0.0,0.0,0.0,0.0,0.0
3,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.5206477934360505,0.3511375,1.4654254875183106,0.347703125,0.0036351574598800047,0.34057821637863517,0.35482803362136484,24.931537184333802,0.0,0.0,0.0,0.0,0.0
4,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4736179347991942,0.341509375,1.4577034940719604,0.339125,0.0035544064460668982,0.33215836336570886,0.34609163663429116,29.078232142448424,0.0,0.0,0.0,0.0,0.0
5,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4526024282455445,0.3381625,1.4169900360107421,0.3454375,0.0035753041273332907,0.33842990391042677,0.35244509608957325,33.00698265399933,0.0,0.0,0.0,0.0,0.0
6,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.44516240234375,0.33579375,1.4370803184509278,0.33315625,0.0035910508982393468,0.32611779023945087,0.3401947097605491,35.11710634593964,0.0,0.0,0.0,0.0,0.0
7,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4328501861572265,0.334375,1.4128509635925293,0.338296875,0.0036236861841946176,0.3311944500789785,0.3453992999210215,36.786098588371274,0.0,0.0,0.0,0.0,0.0
8,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4297922057151795,0.33141875,1.4144694957733155,0.340203125,0.00351081193934949,0.333321933598875,0.34708431640112497,38.17298899517059,0.0,0.0,0.0,0.0,0.0
9,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4247889012336732,0.32803125,1.4106630382537841,0.333203125,0.0035772513670643507,0.3261917123205539,0.3402145376794461,39.275230307579044,0.0,0.0,0.0,0.0,0.0
10,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4209403352737426,0.326359375,1.4690024480819701,0.320171875,0.0034871192662075043,0.31333712123823326,0.3270066287617667,39.83510930404663,0.0,0.0,0.0,0.0,0.0
11,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4141690138816834,0.3275125,1.4747292056083678,0.317390625,0.0035074282955327597,0.3105160655407558,0.3242651844592442,40.59998202915192,0.0,0.0,0.0,0.0,0.0
12,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4127820656776429,0.332390625,1.4377483701705933,0.33975,0.003636643381958667,0.332622178971361,0.346877821028639,41.19272473831177,0.0,0.0,0.0,0.0,0.0
13,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.415643836259842,0.331703125,1.4002441635131837,0.324625,0.0034957402569015133,0.31777334909647303,0.33147665090352696,41.70801061859131,0.0,0.0,0.0,0.0,0.0
14,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4100917950630187,0.3315,1.4045720520019531,0.33675,0.00367793222718063,0.32954125283472596,0.343958747165274,42.07723347206116,0.0,0.0,0.0,0.0,0.0
15,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4045941108703612,0.336315625,1.3954486738443375,0.3358125,0.0036123057583863295,0.3287323807135628,0.3428926192864372,42.65573606204987,0.0,0.0,0.0,0.0,0.0
16,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4094044011175633,0.33335625,1.4208091435432435,0.32665625,0.0035161771250900105,0.3197645428348236,0.3335479571651764,42.682868643951416,0.0,0.0,0.0,0.0,0.0
17,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4110779898643493,0.333709375,1.460909963607788,0.32590625,0.003532199462196199,0.3189831390540955,0.33282936094590454,42.80855198974609,0.0,0.0,0.0,0.0,0.0
18,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4126248508691788,0.330671875,1.399209864139557,0.329609375,0.0037226827102521494,0.32231291688790575,0.3369058331120942,43.50903936233521,0.0,0.0,0.0,0.0,0.0
19,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4059804843902588,0.33349375,1.3809404897689819,0.344734375,0.0035899235472837522,0.3376981248473238,0.35177062515267615,43.886921071243286,0.0,0.0,0.0,0.0,0.0
20,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4069674914836883,0.3391625,1.3872422308921815,0.3424375,0.003578592332666115,0.33542345902797444,0.3494515409720256,43.632055558395386,0.0,0.0,0.0,0.0,0.0
21,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4118112935066223,0.3338875,1.3919823503494262,0.3414375,0.003537421161115899,0.33450415452421284,0.34837084547578717,44.82284739189148,0.0,0.0,0.0,0.0,0.0
22,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4036980189323425,0.339,1.406318636894226,0.343015625,0.00358498307724552,0.33598905816859875,0.35004219183140123,45.546187792778014,0.0,0.0,0.0,0.0,0.0
23,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4044651050329209,0.335021875,1.3909853802323342,0.3286875,0.003627433859331816,0.3215777296357097,0.33579727036429036,45.54229494552612,0.0,0.0,0.0,0.0,0.0
24,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.4020893441200257,0.337103125,1.4007433552742004,0.332953125,0.0037146944718915898,0.3256723238350925,0.34023392616490755,45.75389104919434,0.0,0.0,0.0,0.0,0.0
25,0,1,1,1,0.95,0.3,5,2,100,50,1.0,1.403412044286728,0.33629375,1.3814624842405319,0.345203125,0.003580646388052068,0.33818505807941796,0.35222119192058204,46.23229496536255,0.0,0.0,0.0,0.0,0.0
