epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,3,1,1,1,0.95,0.3,4,2,100,50,1.0,2.209150203704834,0.149196875,1.540438723564148,0.376390625,0.004001825676463441,0.36854704667413163,0.38423420332586833,105.03559992742538,0.0,0.0,0.0,0.0,0.0
2,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.4147564453601837,0.379009375,1.3101930046081542,0.3699375,0.004094938219941488,0.36191142108891466,0.3779635789110853,24.930005608081817,0.0,0.0,0.0,0.0,0.0
3,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2958974182844163,0.36565625,1.2411204290390014,0.3605625,0.004266981246162508,0.35219921675752147,0.36892578324247854,28.750171872138978,0.0,0.0,0.0,0.0,0.0
4,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.2501004838466645,0.363509375,1.2682050347328186,0.36296875,0.004319337844383756,0.35450284782500785,0.37143465217499216,29.14987109336853,0.0,0.0,0.0,0.0,0.0
5,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.244335316067934,0.36445,1.2732350313663483,0.371578125,0.004234280971314871,0.3632789342962228,0.37987731570377714,28.491951769447326,0.0,0.0,0.0,0.0,0.0
6,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.227117215666175,0.373434375,1.1626119104251265,0.388375,0.0046421705623571185,0.37927634569778007,0.39747365430222,25.460401083946227,0.0,0.0,0.0,0.0,0.0
7,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.1143633004181086,0.41061875,0.9958321560397744,0.444640625,0.004657744254862169,0.43551144626047017,0.45376980373952985,21.031722642421723,0.0,0.0,0.0,0.0,0.0
8,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.0757182644870131,0.44595,1.1283035441488027,0.44521875,0.004913694335246023,0.4355879091029178,0.4548495908970822,19.060745564460753,0.0,0.0,0.0,0.0,0.0
9,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.0407579920567571,0.482565625,1.0184743238463998,0.486203125,0.005215822320064154,0.47598011325267425,0.4964261367473258,18.803170311927797,0.0,0.0,0.0,0.0,0.0
10,3,1,1,1,0.95,0.3,4,2,100,50,1.0,1.018327150190249,0.512759375,0.9810593382716178,0.5120625,0.005038717381640989,0.5021866139319836,0.5219383860680163,18.840990804576872,0.0,0.0,0.0,0.0,0.0
11,3,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9969978743053973,0.526865625,1.0113964605815708,0.534265625,0.0049020082254241214,0.5246576888781687,0.5438735611218313,18.55485413017273,0.0,0.0,0.0,0.0,0.0
12,3,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9803132634833455,0.544103125,1.0070998846925796,0.565046875,0.005006857017564947,0.5552334352455727,0.5748603147544272,18.42204397726059,0.0,0.0,0.0,0.0,0.0
13,3,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9539308343250305,0.556790625,1.0653051348738372,0.54996875,0.004886337393900698,0.5403915287079546,0.5595459712920454,18.751719187736512,0.0,0.0,0.0,0.0,0.0
14,3,1,1,1,0.95,0.3,4,2,100,50,1.0,0.9304743580579757,0.5706875,1.0642568174991758,0.560546875,0.005074299531695076,0.5506012479178777,0.5704925020821223,18.79166311187744,0.0,0.0,0.0,0.0,0.0
