epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,3,1,1,1,0.95,0.3,5,0,100,50,1.0,2.318524249267578,0.0984375,2.3043836822509767,0.10421875,0.003194020720761072,0.0979584693873083,0.1104790306126917,115.06111349487304,0.0,0.0,0.0,0.0,0.0
2,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.773849831199646,0.31589375,1.5789672164916992,0.346046875,0.0036221387223509486,0.3389474831041921,0.35314626689580786,16.756190480232238,0.0,0.0,0.0,0.0,0.0
3,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.513855292224884,0.348065625,1.4318887062072754,0.34721875,0.0037422458574360795,0.3398839481194253,0.35455355188057475,18.547032532405854,0.0,0.0,0.0,0.0,0.0
4,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.4249249388694762,0.340621875,1.4151750869750976,0.3235,0.003840839987184259,0.3159719536251189,0.33102804637488115,19.457545419025422,0.0,0.0,0.0,0.0,0.0
5,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.4045625843763352,0.341684375,1.382484395980835,0.345265625,0.0038765455598436423,0.3376675957027065,0.35286365429729355,20.89012961397171,0.0,0.0,0.0,0.0,0.0
6,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.385014500206709,0.3408375,1.3524777845144271,0.3369375,0.003920238273170932,0.329253832984585,0.344621167015415,22.738197859954834,0.0,0.0,0.0,0.0,0.0
7,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.2929826286248862,0.346234375,1.240973189815879,0.359484375,0.004178737840966629,0.35129404883170545,0.3676747011682946,24.644066613388063,0.0,0.0,0.0,0.0,0.0
8,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.2430880342714488,0.3650125,1.3343335335701705,0.34784375,0.004510765894357143,0.33900264884706,0.35668485115294,25.587032412147522,0.0,0.0,0.0,0.0,0.0
9,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.2104913672357798,0.386603125,1.1935578946992755,0.4025625,0.0044204163364064,0.3938984839806434,0.41122651601935656,27.020822093009947,0.0,0.0,0.0,0.0,0.0
10,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.1861910733401775,0.404084375,1.1809282416552305,0.41175,0.004214071978362426,0.40349041892240967,0.42000958107759034,28.55330874195099,0.0,0.0,0.0,0.0,0.0
11,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.1639710615750403,0.42091875,1.2518322151005268,0.40271875,0.004387479020353918,0.39411929112010635,0.4113182088798937,29.84543477458954,0.0,0.0,0.0,0.0,0.0
12,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.1574163900732994,0.427553125,1.1512954228520393,0.437015625,0.004365210707350158,0.42845981201359373,0.4455714379864063,30.638024761390685,0.0,0.0,0.0,0.0,0.0
13,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.14063109395653,0.44259375,1.0870115064680577,0.4573125,0.004317486477728411,0.4488502265036523,0.4657747734963477,31.469434720039366,0.0,0.0,0.0,0.0,0.0
14,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.1268475892074405,0.44990625,1.080986873326823,0.4540625,0.004491189012806005,0.4452597695349002,0.46286523046509975,32.55593777008057,0.0,0.0,0.0,0.0,0.0
15,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.1118542382709682,0.45846875,1.0922165605425835,0.46228125,0.004404810215206183,0.45364782197819586,0.4709146780218041,33.33837215499878,0.0,0.0,0.0,0.0,0.0
16,3,1,1,1,0.95,0.3,5,0,100,50,1.0,1.1043548541072756,0.464475,1.0932004361897707,0.470421875,0.0044469467939262765,0.4617058592839045,0.47913789071609547,34.44290579662323,0.0,0.0,0.0,0.0,0.0
