epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,0,1,1,0.1,0.0,5,4,100,50,1.0,2.2195101692199706,0.158809375,2.082617172241211,0.22990625,0.003584274624873491,0.22288107173524796,0.23693142826475205,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,1,1,0.1,0.0,5,4,100,50,1.0,2.058479168701172,0.2385,2.0450992813110354,0.229484375,0.003469090014696898,0.22268495857119408,0.2362837914288059,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,1,1,0.1,0.0,5,4,100,50,1.0,2.0100540828704836,0.249028125,1.9518567924499513,0.25728125,0.0034327935030869783,0.25055297473394955,0.2640095252660505,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.9441366676330567,0.25509375,1.916415397644043,0.2551875,0.0033381125394132375,0.24864479942275006,0.26173020057724994,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.9149625526428222,0.257859375,1.9000689697265625,0.255,0.003603024265902235,0.24793807243883162,0.26206192756116836,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.8944923049926758,0.262475,1.8967851486206055,0.2568125,0.003579495936749419,0.24979668796397114,0.26382831203602886,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.880077911376953,0.266321875,1.8445143508911133,0.262,0.0033363632245355145,0.2554607280799104,0.26853927192008964,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.8651056312561036,0.267225,1.850420440673828,0.266703125,0.0035520494754409286,0.25974110802813577,0.2736651419718642,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.8576958457946777,0.267403125,1.8111751480102538,0.273734375,0.0035381900131407915,0.266799522574244,0.28066922742575595,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.8510973480224608,0.267140625,1.836413963317871,0.264578125,0.0033614781551887397,0.25798962781583007,0.2711666221841699,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.8415281639099121,0.26934375,1.8140872650146485,0.265296875,0.0035428972134151165,0.25835279646170634,0.27224095353829364,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.8327370910644531,0.274240625,1.8138145065307618,0.269515625,0.0036046577096038386,0.26245049588917646,0.2765807541108235,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.8273839485168457,0.2728375,1.812659034729004,0.263078125,0.003444347299820109,0.25632720429235256,0.26982904570764743,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.818395263671875,0.27218125,1.8155909042358398,0.27475,0.0036271685394128916,0.26764074966275075,0.28185925033724923,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.8088886520385743,0.2783,1.8136243209838867,0.28009375,0.0035769124832983174,0.2730830015327353,0.28710449846726466,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.7990622657775879,0.274759375,1.8148563919067382,0.274578125,0.003673286604814242,0.2673784832545641,0.2817777667454359,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.7932037185668945,0.273784375,1.77500537109375,0.27571875,0.003603449375830169,0.26865598922337286,0.28278151077662717,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.791683910369873,0.274165625,1.8276419830322266,0.266875,0.003532713993388021,0.25995088057295945,0.2737991194270405,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.773281241607666,0.281865625,1.7528180160522462,0.285296875,0.003618132963465113,0.2782053343916084,0.2923884156083916,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.7647428199768067,0.28360625,1.7773633842468262,0.27565625,0.0035644847462462034,0.2686698598973574,0.28264264010264256,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.7609927383422852,0.280046875,1.708259349822998,0.2855,0.0037307943659226784,0.27818764304279153,0.2928123569572084,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.744799326324463,0.28595,1.7325186843872071,0.28278125,0.003671536068223882,0.2755850393062812,0.28997746069371877,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.7316794540405274,0.284590625,1.7531989250183106,0.284828125,0.003549475292390811,0.277871153426914,0.291785096573086,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.7238343559265137,0.2890125,1.715759033203125,0.288328125,0.0037527736526016347,0.2809726886409008,0.2956835613590992,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.7111785041809082,0.291178125,1.7132243766784667,0.2904375,0.0036863398095157494,0.28321227397334914,0.2976627260266509,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.7107181270599365,0.29010625,1.6879482994079589,0.287359375,0.003679954331050726,0.28014666451114056,0.2945720854888594,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.698647201538086,0.2943125,1.6616254539489745,0.293625,0.003670044523013372,0.2864317127348938,0.30081828726510623,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0,1,1,0.1,0.0,5,4,100,50,1.0,1.6867328456878663,0.294075,1.6678429718017578,0.287046875,0.003561134317995825,0.2800670517367282,0.29402669826327177,0.0,0.0,0.0,0.0,0.0,0.0
