epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,1,0,1,1,0.1,0.0,5,2,100,50,1.0,2.0934794059753417,0.209415625,1.947847972869873,0.269234375,0.0038182326613739608,0.26175063898370704,0.276718111016293,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.854573667907715,0.28269375,1.844483585357666,0.283875,0.003637337017522506,0.27674581944565585,0.2910041805543441,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.7566725414276123,0.293765625,1.6772524757385254,0.3095625,0.003791430248737344,0.30213129671247485,0.3169937032875252,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.6358453216552735,0.308675,1.6031185836791992,0.296390625,0.0035924573244150806,0.2893494086441465,0.30343184135585355,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.5574052131652831,0.3104125,1.520399684906006,0.305234375,0.003725352271877047,0.29793268454712096,0.31253606545287904,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.532581676864624,0.306371875,1.508119348526001,0.309921875,0.0036845589137047964,0.3027001395291386,0.3171436104708614,0.0,0.0,0.0,0.0,0.0,0.0
7,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.5112731206893921,0.31258125,1.4719783363342285,0.309,0.0036948705283961986,0.30175805376434345,0.31624194623565655,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.5082415441513062,0.31299375,1.4853322410583496,0.32,0.0037752402200866213,0.31260052916863024,0.3273994708313698,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.4889399099349976,0.314690625,1.5387579917907714,0.311984375,0.0037785274078654878,0.30457846128058363,0.3193902887194163,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0,1,1,0.1,0.0,5,2,100,50,1.0,1.481290085220337,0.316478125,1.4920257835388184,0.311375,0.0037631413686214496,0.30399924291750197,0.31875075708249806,0.0,0.0,0.0,0.0,0.0,0.0
