epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.8040716260910035,0.293884375,1.5409633235931397,0.331359375,0.003729667012407597,0.3240492276556811,0.3386695223443189,0.15041926619037985,0.0,0.0,0.0,0.3866963871269063,0.45048760422296596
2,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.4732096319198609,0.318971875,1.411294340133667,0.308640625,0.0037225845493478326,0.30134435928327824,0.31593689071672176,0.14654830650836229,0.0,0.0,0.0,0.4495345403175462,0.42393955326667343
3,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.422482253265381,0.316575,1.3882050457000732,0.317953125,0.0038620830208091067,0.31038344227921416,0.32552280772078585,0.1455985852688551,0.0,0.0,0.0,0.4198792751317675,0.4092827775947975
4,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.4137301824092865,0.3234375,1.4107089364528655,0.32584375,0.003721693584685324,0.31854923057401674,0.33313826942598324,0.14507048068493605,0.0,0.0,0.0,0.3971837643342036,0.37986323008347644
5,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.4115495080947875,0.334478125,1.4491982703208923,0.334390625,0.0037481235762847035,0.32704430279048197,0.341736947209518,0.14596738117039204,0.0,0.0,0.0,0.38467711717423164,0.3815919790827867
6,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.4184736586570739,0.336384375,1.418876950740814,0.331359375,0.0036615891011010965,0.32418266036184185,0.3385360896381582,0.14880867116972804,0.0,0.0,0.0,0.39033782837476694,0.3820571408824939
7,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.4074648280858995,0.33555,1.3695205578804015,0.34375,0.0038394345088077373,0.3362247083627368,0.3512752916372632,0.14850608559697867,0.0,0.0,0.0,0.3893826966008454,0.3913848820166155
8,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.3926125432491303,0.338175,1.3781227003335952,0.34875,0.004198938099756032,0.3405200813244782,0.3569799186755218,0.15006332334131003,0.0,0.0,0.0,0.3933534542518132,0.3873747760816054
9,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.336881335234642,0.381696875,1.2658385354280473,0.41146875,0.004407690644501672,0.40282967633677674,0.42010782366322325,0.15113137375041844,0.0,0.0,0.0,0.3924635408789371,0.39611431871986746
10,0,1,1,3,0.5,0.1,5,0,100,50,1.0,1.2431308602929114,0.43471875,1.198572125338018,0.467171875,0.004504757121752534,0.45834255104136506,0.47600119895863496,0.15354923852086066,0.0,0.0,0.0,0.3965616890496377,0.39913004357864457
