epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.9650432406738401,0.52499375,0.7237398519963026,0.5608125,0.0059404277160908245,0.5491692616764621,0.572455738323538,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.7127202600762248,0.549896875,0.6631767217814922,0.559703125,0.0062013682054488555,0.5475484433173202,0.5718578066826797,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.661121323825419,0.546575,0.6736514310277999,0.55103125,0.00548533743607561,0.5402799886252918,0.5617825113747081,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.6398914037462324,0.554528125,0.6366257133241743,0.551515625,0.005276090905436135,0.5411744868253451,0.5618567631746548,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.6402637249462306,0.5662375,0.6203538577593863,0.6089375,0.006760358201928667,0.5956871979242199,0.6221878020757802,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.5902654160089791,0.6853875,0.5428064103741199,0.727625,0.006910039918089098,0.7140813217605453,0.7411686782394546,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.4626135589051992,0.79450625,0.4845461215171963,0.81128125,0.006224288934636604,0.7990816436881122,0.8234808563118877,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.3786387984570116,0.844315625,0.3397295296806842,0.867234375,0.005613574170685694,0.856231769625456,0.878236980374544,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.3340311281006783,0.873440625,0.28812230975180864,0.879640625,0.005314906345497575,0.8692234085628248,0.8900578414371751,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.3116263511694968,0.884003125,0.28523488030210137,0.898140625,0.004840429901749075,0.8886533823925719,0.9076278676074282,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.28317835615724324,0.895965625,0.2773998782262206,0.899109375,0.0048929858345255935,0.8895191227643299,0.9086996272356701,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.26869925392121075,0.9026125,0.2541921324282885,0.910421875,0.004678746712450548,0.9012515314435969,0.9195922185564032,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.25566329668052495,0.911134375,0.251986274022609,0.903953125,0.0048251628615324825,0.8944958057913963,0.9134104442086037,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.23203159504272045,0.918078125,0.2992904920205474,0.90240625,0.0048202891425647605,0.892958483280573,0.9118540167194269,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.2379672137886286,0.921134375,0.22538616427220404,0.93021875,0.0041340579766611825,0.922115996365744,0.9383215036342559,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.22116307051032782,0.926075,0.17498239320702852,0.93184375,0.004241182162709755,0.9235310329610888,0.9401564670389111,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.21097308377474547,0.92813125,0.1809059044662863,0.934984375,0.004180726664561625,0.9267901507374592,0.9431785992625408,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.2123175759766251,0.929353125,0.22734500438161195,0.927046875,0.004355146485618799,0.9185107878881872,0.9355829621118129,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,1,1,0.05,0.0,2,0,100,50,1.0,0.19156032634451986,0.934178125,0.25850705419294534,0.92225,0.004352467344621094,0.9137191640045427,0.9307808359954574,0.0,0.0,0.0,0.0,0.0,0.0
