epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.8789628013134003,0.295284375,1.721230921268463,0.319921875,0.0037467739368467518,0.3125781980837804,0.32726555191621964,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.651004027748108,0.326584375,1.5675814113616944,0.331234375,0.00376667050216642,0.3238517008157538,0.33861704918424623,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.575470604133606,0.327590625,1.5160101280212401,0.338609375,0.00374783942717209,0.3312636097227427,0.34595514027725727,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.5383700008392334,0.321346875,1.537734948039055,0.31265625,0.0036067222156050526,0.3055870744574141,0.31972542554258593,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.5319039196491242,0.31614375,1.5118346333503723,0.311640625,0.003747598535271684,0.3042953318708675,0.3189859181291325,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.5219770885944366,0.309590625,1.4840828170776368,0.30659375,0.003878506656873552,0.2989918769525278,0.3141956230474722,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.539502704334259,0.302196875,1.6189447441101075,0.294953125,0.003882782983903714,0.2873428703515487,0.30256337964845126,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.5808119176864623,0.305615625,1.5443074131011962,0.30571875,0.0038079993850284348,0.2982550712053442,0.31318242879465574,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.5808952880859375,0.299790625,1.616399808883667,0.313625,0.0038750680777960246,0.3060298665675198,0.3212201334324802,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.5650684997558593,0.299996875,1.5569668102264405,0.298015625,0.0037942319410937566,0.29057893039545624,0.3054523196045438,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,0,1,0.0,0.0,5,0,100,50,1.0,1.5554667971372604,0.302596875,1.732220687866211,0.301046875,0.003873963162871561,0.29345390720077175,0.30863984279922824,0.0,0.0,0.0,0.0,0.0,0.0
