epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,0,1,1,0.85,0.3,5,2,100,50,1.0,2.087993228149414,0.216125,2.0043376274108886,0.24925,0.003926336487790836,0.24155438048392996,0.25694561951607003,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.8762265937805176,0.268628125,1.8207287254333495,0.28384375,0.0036110631693207973,0.27676606618813127,0.29092143381186875,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.772526723098755,0.280059375,1.7175539493560792,0.285546875,0.003631802635184441,0.27842854183503846,0.2926652081649615,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.6671579803466796,0.29391875,1.583327187538147,0.295859375,0.0037029591697027835,0.28860157502738254,0.3031171749726174,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.58697727394104,0.294815625,1.58113902759552,0.29009375,0.0037114566418619196,0.28281929498195063,0.29736820501804934,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.5287322202682496,0.298465625,1.4841448221206666,0.303671875,0.003697925978455796,0.2964239400822266,0.31091980991777335,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.4966409434318542,0.301928125,1.4817367210388184,0.305,0.0037301982607540135,0.2976888114089221,0.31231118859107787,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.4742029775619507,0.30660625,1.440969731092453,0.304578125,0.003741825402465815,0.297244147211167,0.31191210278883297,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.4598407217025757,0.3100625,1.4620167903900148,0.308890625,0.00373946952375457,0.301561264733441,0.3162199852665589,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.448693358707428,0.314346875,1.4264052486419678,0.316765625,0.004033885434280842,0.3088592095488095,0.32467204045119047,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.4397857398748397,0.3211375,1.412356658935547,0.321296875,0.0039763982023086975,0.31350313452347495,0.329090615476525,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.4283635945081712,0.32301875,1.4068879337310791,0.3365,0.003967599220944452,0.3287235055269489,0.34427649447305114,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.4193620289325715,0.326234375,1.4357468814849854,0.32365625,0.0041461433791451265,0.31552980897687555,0.3317826910231244,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.415309083557129,0.3286375,1.3784429264068603,0.334734375,0.004093894914239874,0.3267103409680898,0.3427584090319101,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.4075368636727332,0.33631875,1.3739190783500672,0.333390625,0.004295340663572304,0.32497175729939826,0.34180949270060174,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.395736749625206,0.34135,1.4079577011466027,0.351171875,0.004376880767909429,0.3425931886948975,0.3597505613051025,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.392612988334894,0.34078125,1.3595132251158357,0.356875,0.004364670146212955,0.3483202465134226,0.3654297534865774,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,1,1,0.85,0.3,5,2,100,50,1.0,1.3872210385084152,0.35149375,1.4127743431329727,0.3493125,0.004381020967678039,0.3407256989033511,0.35789930109664897,0.0,0.0,0.0,0.0,0.0,0.0
