t,cos_raw,cos_pos
0,0.0,0.0
1,0.07009143302239942,0.07009143302239942
2,0.1715892160081652,0.1715892160081652
3,0.23507729338489586,0.23507729338489586
4,0.4563753628435303,0.4563753628435303
5,0.18476310495771653,0.18476310495771653
6,0.46796245257984187,0.46796245257984187
7,0.5447013434566673,0.5447013434566673
8,0.6484358475541345,0.6484358475541345
9,0.3694583542378805,0.3694583542378805
10,0.3202724785551432,0.3202724785551432
11,0.6645879081092447,0.6645879081092447
12,0.7885926899596848,0.7885926899596848
