step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,0.0,0.0,4.2468743324279785,0.0
1,value,9,0.0,0.0,4.052272796630859,0.0
2,key,4,0.0,0.0,4.395361423492432,0.0
3,value,4,0.0,0.0,4.963991641998291,0.0
4,key,0,0.0,0.0,4.757758617401123,0.0
5,value,0,0.0,0.0,4.697606086730957,0.0
6,key,1,0.0,0.0,5.285216331481934,0.0
7,value,1,0.0,0.0,4.652039051055908,0.0
8,key,9,0.0,0.0,6.194252014160156,0.0
9,value,9,0.0,0.0,4.736628532409668,0.0
10,wait,-1,0.0,0.0,5.557495594024658,0.0
11,wait,-1,0.0,0.0,5.13571834564209,0.0
12,query,1,0.0,0.0,5.093980312347412,0.0
