step,kind,class_id,froA,specA,h_norm,Ah_norm
0,key,9,0.29999998211860657,0.29999998211860657,5.940145015716553,1.782043695449829
1,value,9,0.4179855287075043,0.3014753460884094,4.33664083480835,1.3013238906860352
2,key,4,0.5084794759750366,0.3382914662361145,5.1114935874938965,1.5848301649093628
3,value,4,0.584083080291748,0.35556355118751526,4.831950664520264,1.5401262044906616
4,key,0,0.735000491142273,0.5555206537246704,7.961918354034424,4.236948013305664
5,value,0,0.7840908765792847,0.5478439331054688,4.960648536682129,1.6921560764312744
6,key,1,0.848543643951416,0.6101502180099487,7.528901100158691,3.2461118698120117
7,value,1,0.8787386417388916,0.5947562456130981,5.399313449859619,1.6907238960266113
8,key,9,0.903958261013031,0.5770626664161682,22.003278732299805,6.636193752288818
9,value,9,0.9933633208274841,0.6612162590026855,3.757359743118286,2.0822341442108154
10,query,1,0.9933633208274841,0.6612162590026855,2.7266643047332764,1.196010947227478
