step,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49]
0,key,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28970327973365784,0.0,0.7548832893371582,0.5279244184494019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722135543823242,0.0,0.0,0.0,0.2967361807823181,0.6115323305130005,0.0,0.0,0.270489901304245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4779348373413086,0.0,0.0,0.4764394164085388,0.0,0.0,0.0,0.0,0.43066468834877014,0.0
1,value,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7379019260406494,0.9969426393508911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7914775609970093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27650800347328186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,key,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8302167057991028,0.0,0.21830099821090698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922873616218567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5489858388900757,0.0,0.0,0.0,0.0,0.0,0.0
3,value,4,0.0,0.0,0.0,1.023539662361145,1.9415194988250732,0.0,0.0,0.0,0.0,0.5174657702445984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028749438002705574,0.0,0.0,0.0,0.0,0.0,0.4734170138835907,0.0,0.062394969165325165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2031017541885376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,key,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896095335483551,0.0,0.0,0.7587425708770752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1146271228790283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3515088558197021,0.0,0.0,0.0,0.0,0.0,0.5643681287765503,0.0,0.0,0.2092684507369995,0.0,0.6992574334144592,0.0
5,value,0,0.0,0.0,0.0,0.0,0.0,0.0,1.615196943283081,0.0,0.0,0.6625096201896667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44966447353363037,0.0,0.0,0.0,1.00128173828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12116870284080505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7691493034362793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,key,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5167720317840576,0.0,0.4030527174472809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2046608924865723,0.0,0.0,0.0,0.0,1.043760895729065,0.0,0.0,0.0,0.0,0.0,0.0,0.5769319534301758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,value,1,1.460712194442749,0.0,0.0,1.7516894340515137,0.0,1.1868849992752075,0.0,0.0,0.0,0.5156412124633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,wait,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8429999351501465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6423773169517517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,wait,-1,0.22498559951782227,0.0,0.0,0.0,0.2835591733455658,0.0,0.37878528237342834,0.0,0.18067625164985657,5.784236431121826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3638699948787689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,query,1,1.0666786432266235,0.0,0.0,6.7809600830078125,2.6375536918640137,0.5125042796134949,0.4549912214279175,0.8051559925079346,0.0,1.9168140888214111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.244868040084839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7873456478118896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.635433673858643,0.19019770622253418,0.0,0.0,0.1262340545654297,0.0,0.0,0.0
