step,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49]
0,key,9,0.0,0.0,0.0,0.545324444770813,0.29083746671676636,2.3205466270446777,0.7429199814796448,0.3039911091327667,0.0,0.478522926568985,0.0,0.0,0.0,0.0,0.6619204878807068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5221707820892334,0.6099191308021545,0.17145457863807678,1.0946439504623413,1.210256814956665,0.0,0.23404158651828766,0.0,0.13927769660949707,0.0,0.4678557217121124,0.44208645820617676,0.0,0.0,0.0,0.0,0.0,0.0,1.297872543334961,0.9403481483459473,0.0,0.0,0.34361502528190613,0.0,0.0,0.0,0.2719400227069855,0.48441001772880554
1,value,9,0.0,0.0,0.0,0.0,0.1302253007888794,0.0,0.0,0.9326008558273315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3256258964538574,0.0,0.06760340183973312,0.0,0.09820835292339325,0.9023391008377075,2.0760979652404785,0.0,0.8460680246353149,0.0,0.0,0.0,0.9267914891242981,1.0924618244171143,0.0,0.0,0.0,0.013654799200594425,0.0,0.0,0.0,0.9045136570930481,0.0,0.0,0.10297159105539322,0.0,0.0,0.0,0.2024577260017395,1.9731559753417969
2,key,4,0.0,1.0512133836746216,0.0,0.0,0.07030460983514786,0.0,0.7554762959480286,0.2298748642206192,0.0,0.7160859107971191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20558321475982666,0.0,1.8138422966003418,0.8103511929512024,0.2733488380908966,1.2808281183242798,1.4841581583023071,0.0,0.7615405917167664,0.0,0.8581394553184509,0.0,0.25083696842193604,1.1929048299789429,0.0,0.0,0.0,0.8390641212463379,0.0,0.0,1.4572350978851318,0.9846644997596741,0.0,0.0,0.9604260325431824,0.0,0.0,0.0,1.0204153060913086,0.19919073581695557
3,value,4,0.0,0.12128561735153198,0.0,0.0,0.0,0.0,0.0,1.3946977853775024,0.0,0.8828662037849426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30455559492111206,0.0,0.11800776422023773,0.4434055685997009,0.21960292756557465,0.755580484867096,1.3796322345733643,0.2464572787284851,0.0,2.3161447048187256,0.0,0.0,1.4756860733032227,1.578563928604126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5020644664764404,0.0,0.0,0.6760265827178955,0.0,0.0,0.0,0.34422767162323,1.9855573177337646
4,key,0,0.0,1.154937982559204,0.0,0.04648562893271446,1.620721697807312,0.0,0.344191312789917,0.21138645708560944,0.0,0.2653549313545227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285885691642761,0.0,1.7391979694366455,0.2512436807155609,0.447465717792511,0.4777206778526306,0.9060049057006836,0.04501057043671608,0.30935072898864746,0.0,0.8242253065109253,0.0,0.37478673458099365,1.2558202743530273,0.0,0.0,0.0,0.8614366054534912,0.0,0.0,1.3590971231460571,0.4269980788230896,0.0,0.0,1.0029733180999756,0.0,0.0,0.0,1.048887014389038,0.08662696927785873
5,value,0,0.0,0.0,0.0,0.0,2.955456256866455,0.0,0.0,1.919589877128601,0.0,1.3344402313232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4877084493637085,0.0,0.12390316277742386,0.39760977029800415,0.0,0.5545041561126709,0.6522927284240723,0.26528632640838623,0.942341148853302,0.0,0.0,0.0,0.0,1.7123161554336548,0.0,0.0,0.0,0.0,0.0,0.0,0.006049960386008024,2.219228982925415,0.0,0.0,1.879266381263733,0.0,0.0,0.0,0.31015729904174805,2.057821273803711
6,key,1,0.0,0.9741415977478027,0.17777922749519348,0.0,2.7985310554504395,0.0,1.0200165510177612,0.34597641229629517,0.0,0.5246371030807495,0.0,0.0,0.0,0.0,0.0,1.4349322319030762,0.0,0.0,0.0,0.0,0.08292877674102783,0.0,1.4410312175750732,0.5825839638710022,0.14828801155090332,1.5487812757492065,1.2889271974563599,0.0,0.0,0.0,0.7299352884292603,0.0,2.112213611602783,0.9127476811408997,0.0,0.0,0.0,0.8295612335205078,0.0,0.0,1.1002765893936157,1.0848305225372314,0.0,0.0,0.0,0.0,0.0,0.0,0.828942596912384,0.08759063482284546
7,value,1,0.0,0.0,0.0,0.0,2.8455967903137207,0.0,0.0,1.0558093786239624,0.0,0.5290361046791077,0.0,0.0,1.554185152053833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3924095928668976,0.0,0.14177243411540985,0.4828678369522095,0.0,0.4783428907394409,1.0455979108810425,0.5091418623924255,0.1623178869485855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2245328426361084,0.0,0.0,2.2242202758789062,0.0,0.9074974656105042,0.0,0.33518606424331665,1.780096411705017
8,key,9,0.0,0.5666188597679138,0.8227277398109436,2.072465419769287,3.616602659225464,0.0,0.656187891960144,0.0,0.0,0.5203819870948792,0.0,0.0,0.0,0.0,0.06512252986431122,2.3626134395599365,0.0,0.0,0.0,0.0,0.0,0.0,0.6199749112129211,0.39697375893592834,0.0,2.3547327518463135,0.9318387508392334,0.0,0.0,0.0,0.39180701971054077,0.0,2.3682634830474854,0.3916611075401306,0.0,0.0,0.0,0.3444378077983856,0.0,0.0,0.49654293060302734,1.8546431064605713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15070809423923492
9,value,9,0.0,0.0,0.0,0.07358096539974213,2.9767544269561768,0.0,0.0,0.934247612953186,0.0,0.0,0.0,0.0,2.427692174911499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734320878982544,0.0,0.24417239427566528,0.2734885811805725,1.418743371963501,0.6760566234588623,1.2739684581756592,0.6249383687973022,0.0,0.0,0.0564400739967823,0.0,0.0,0.30871379375457764,0.0,0.0,0.0,0.2537783682346344,0.0,0.0,0.0,0.930466890335083,0.0,0.0,1.466410756111145,0.0,0.0,0.0,0.16101671755313873,1.9811632633209229
