step,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49]
0,key,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8837007880210876,0.0,0.0,0.0,0.0,0.0,0.0,3.406914710998535,0.0,4.165454387664795,0.0,0.9889378547668457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03978719189763069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.013273239135742,0.0,0.0
1,value,9,0.0,0.0,0.0,0.0,0.0,0.05058632045984268,0.0,0.0,1.7418440580368042,0.40950441360473633,0.0,0.0,0.0,1.0612775087356567,0.0,0.0,6.991354942321777,0.24846850335597992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026750845834612846,0.0,2.365936279296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19553934037685394,0.0,1.9201297760009766,0.0,0.0,0.0,0.0
2,key,4,0.0,0.0,0.0,0.0,0.0,0.19296084344387054,0.232156440615654,0.0,1.7462738752365112,0.5229345560073853,0.0,0.0,0.0,0.0,0.0,0.0,7.0466203689575195,0.0,0.0,0.0,0.7904781103134155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088541030883789,0.0,1.9268299341201782,0.0,0.0,0.31048107147216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039820846170186996,0.0,1.7561261653900146,0.0,0.0,0.0,0.0
3,value,4,0.0,0.0,0.0,0.0,0.0,3.0849010944366455,1.2323678731918335,0.05429908260703087,2.1934008598327637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.463200569152832,0.026588372886180878,0.0,0.0,1.3391109704971313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098787784576416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1510095596313477,0.0,0.0,0.0,0.0
4,key,0,0.0,0.0,0.0,0.0,0.0,1.0752817392349243,0.4545891284942627,0.0,1.7536453008651733,0.01861623488366604,0.0,0.0,0.0,0.0,0.0,0.0,7.162089824676514,0.18014036118984222,0.0,0.0,0.5168692469596863,0.0,0.0,0.0,0.11928762495517731,0.0,0.0,0.09341704100370407,0.0,0.10284911841154099,0.0,1.7906732559204102,0.0,0.0,0.06263794004917145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8239396810531616,0.0,0.0,0.0,0.0
5,value,0,0.0,0.0,0.0,0.0,0.0,1.0830026865005493,0.6185987591743469,0.0,1.9772849082946777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739047050476074,0.12893591821193695,0.0,0.0,1.0572426319122314,0.0,0.0,0.0,0.06482310593128204,0.0,0.0,1.555073857307434,0.0,0.3316752314567566,0.0,1.752558708190918,0.0,0.0,0.3043421804904938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9401379823684692,0.0,0.0,0.0,0.0
6,key,1,0.0,0.0,0.0,0.0,0.0,1.0881270170211792,0.47189459204673767,0.0,1.7327821254730225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.218700408935547,0.23254576325416565,0.0,0.0,0.4284936487674713,0.0,0.0,0.0,0.15332035720348358,0.0,0.0,0.4629622995853424,0.0,0.1357082575559616,0.0,1.7785824537277222,0.0,0.0,0.06013135239481926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7952868938446045,0.0,0.0,0.0,0.0
7,value,1,0.0,0.0,0.0,0.0,0.0,1.1120599508285522,0.431854784488678,0.0,1.7678420543670654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.156985282897949,0.22984424233436584,0.0,0.0,0.6490502953529358,0.0,0.0,0.0,0.5793183445930481,0.0,0.0,0.4537637531757355,0.0,0.10500349849462509,0.0,1.794142484664917,0.0,0.0,0.1672362983226776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8077117204666138,0.0,0.0,0.0,0.0
8,key,9,0.0,0.0,0.0,0.0,0.0,1.095558762550354,0.4593084156513214,0.0,1.6861847639083862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260799884796143,0.27811524271965027,0.0,0.0,0.3373570144176483,0.0,0.0,0.0,0.26567259430885315,0.0,0.0,0.5048729777336121,0.0,0.12970760464668274,0.0,1.771700382232666,0.0,0.0,0.055009182542562485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7497470378875732,0.0,0.0,0.0,0.0
9,value,9,0.0,0.0,0.0,0.0,0.0,1.0893197059631348,0.444722980260849,0.0,1.674975872039795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.268890857696533,0.2982328236103058,0.0,0.0,0.27006179094314575,0.0,0.0,0.0,0.28051912784576416,0.0,0.0,0.5209622383117676,0.0,0.12277700752019882,0.0,1.796622395515442,0.0,0.0,0.03268803656101227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7440840005874634,0.0,0.0,0.0,0.0
10,wait,-1,0.0,0.0,0.0,0.0,0.0,1.0992892980575562,0.45449453592300415,0.0,1.6429712772369385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.291958808898926,0.3189086318016052,0.0,0.0,0.2273690104484558,0.0,0.0,0.0,0.30282697081565857,0.0,0.0,0.5421158075332642,0.0,0.1310918927192688,0.0,1.7705751657485962,0.0,0.0,0.03418808802962303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7147321701049805,0.0,0.0,0.0,0.0
11,wait,-1,0.0,0.0,0.0,0.0,0.0,1.1015526056289673,0.45292791724205017,0.0,1.6236941814422607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.304684162139893,0.3363070785999298,0.0,0.0,0.18241077661514282,0.0,0.0,0.0,0.31989794969558716,0.0,0.0,0.5582200288772583,0.0,0.1313380002975464,0.0,1.7671138048171997,0.0,0.0,0.026721671223640442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.698242425918579,0.0,0.0,0.0,0.0
12,query,1,0.0,0.0,0.0,0.0,0.0,1.110608458518982,0.46969324350357056,0.0,1.6372864246368408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.292984485626221,0.3450760245323181,0.0,0.0,0.20517243444919586,0.0,0.0,0.0,0.3469502627849579,0.0,0.0,0.573003351688385,0.0,0.15024927258491516,0.0,1.7668272256851196,0.0,0.0,0.05106088146567345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.706602931022644,0.0,0.0,0.0,0.0
