t,s,vec_type,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49]
0,-1,base,key,9,-2.0504605770111084,0.3281062841415405,6.10569429397583,5.939497947692871,-11.561639785766602,10.82314395904541,-2.427708387374878,-0.0015048980712890625,4.991929054260254,-0.2885814309120178,0.5713951587677002,0.7202349901199341,0.39041033387184143,-0.15436893701553345,-1.768894910812378,0.6223013997077942,5.686246395111084,0.09190595149993896,0.911099910736084,3.068472146987915,11.223941802978516,0.5750025510787964,-1.9145402908325195,-7.609155178070068,-6.102001190185547,6.292877197265625,2.032032012939453,-0.593522310256958,-2.2446060180664062,0.576217770576477,0.4868844747543335,-10.088780403137207,-1.8734430074691772,2.158529758453369,-3.388063430786133,10.636856079101562,4.333669662475586,9.826031684875488,8.56714916229248,6.21666955947876,4.332670211791992,-1.7738285064697266,-0.10832774639129639,-0.5472559928894043,1.881120204925537,0.12631499767303467,2.2823147773742676,0.7778128385543823,-12.271734237670898,3.741731643676758
0,0,hs,key,9,0.0,0.0,0.0,0.7995737791061401,0.0,0.0,0.0,0.1192590519785881,0.0,0.0,0.0,0.0,0.0,0.021653084084391594,0.0,0.0,0.6673946976661682,0.09049332141876221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2529774904251099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13380113244056702,0.0,0.0,0.0,0.0,0.0,0.0,0.40338313579559326,0.0,0.0,0.0,0.0,0.10748359560966492,0.0,0.0,0.0,0.21423977613449097
0,1,hs,key,9,0.0,0.0,0.0,0.7995737791061401,0.0,0.0,0.0,0.1192590519785881,0.0,0.0,0.0,0.0,0.0,0.021653084084391594,0.0,0.0,0.6673946976661682,0.09049332141876221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2529774904251099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13380113244056702,0.0,0.0,0.0,0.0,0.0,0.0,0.40338313579559326,0.0,0.0,0.0,0.0,0.10748359560966492,0.0,0.0,0.0,0.21423977613449097
1,-1,base,value,9,-2.8143398761749268,-9.952634811401367,-7.426596164703369,-9.157151222229004,-14.866631507873535,9.256848335266113,2.5739316940307617,-1.4105738401412964,11.311782836914062,12.81429386138916,-8.244179725646973,5.422647476196289,-3.0377917289733887,11.486262321472168,-11.364547729492188,4.748047828674316,0.8242073059082031,-2.041642189025879,-3.468179225921631,4.0430145263671875,18.099868774414062,4.909563064575195,-12.734413146972656,-5.407503128051758,-10.560171127319336,-3.209852933883667,-15.67680835723877,3.990896463394165,-4.3472161293029785,4.932979106903076,-1.7868553400039673,-18.299789428710938,-7.703774929046631,-1.806762933731079,-1.055446743965149,15.80060863494873,-0.782588005065918,10.91324234008789,14.010601997375488,-5.166014671325684,-9.085664749145508,-4.351720809936523,-8.597043991088867,1.2860862016677856,-9.18912124633789,-1.624924898147583,-16.519495010375977,4.723947525024414,-18.149105072021484,7.62061071395874
1,0,hs,value,9,0.0,0.0,0.0,0.0,0.0,0.0,0.06393491476774216,0.4169570505619049,0.0,1.2501931190490723,0.0,0.8060416579246521,0.0,2.2812440395355225,0.0,0.7452976703643799,0.0,0.27262142300605774,0.0,0.0,0.0,0.7245696187019348,0.0,0.0,0.0,0.0,0.0,0.25855275988578796,0.0,0.7748091816902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33507469296455383,0.0,0.7275062203407288,0.0,1.1360089778900146
1,1,hs,value,9,0.0,0.0,0.0,0.0,0.0,0.0,0.06207732483744621,0.4177503287792206,0.0,1.2491496801376343,0.0,0.8049344420433044,0.0,2.280668020248413,0.0,0.7441393136978149,0.0,0.2728758454322815,0.0,0.0,0.0,0.7235139608383179,0.0,0.0,0.0,0.0,0.0,0.2569085955619812,0.0,0.7736647129058838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3356374204158783,0.0,0.7263927459716797,0.0,1.1399450302124023
2,-1,base,key,4,17.097885131835938,15.36830997467041,20.19351577758789,15.793412208557129,8.311477661132812,27.4609375,7.667587757110596,7.243961334228516,20.54010772705078,8.071305274963379,14.230806350708008,10.827245712280273,11.631058692932129,-2.9273571968078613,17.733734130859375,6.022578239440918,15.274906158447266,6.5963358879089355,19.413997650146484,20.351999282836914,24.20682144165039,8.852622985839844,11.051905632019043,-1.79115891456604,-1.6182806491851807,12.062638282775879,16.281795501708984,13.451915740966797,7.366116046905518,5.868364334106445,19.7654972076416,-3.603738307952881,6.113019943237305,13.212739944458008,5.29782247543335,24.071659088134766,20.859203338623047,26.70368194580078,22.98660659790039,25.57229232788086,15.34957504272461,10.777634620666504,19.26761817932129,16.02704429626465,21.327077865600586,8.069658279418945,16.091650009155273,6.964193820953369,7.050986289978027,4.738860130310059
2,0,hs,key,4,0.05836335942149162,0.0,0.0,0.4675043523311615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809709370136261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660867214202881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,hs,key,4,0.05629488080739975,0.0,0.0,0.4730716049671173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8080617785453796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8647405505180359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1,base,value,4,12.495017051696777,0.11153888702392578,-1.5266003608703613,1.619067668914795,-12.168848037719727,9.805252075195312,2.466168165206909,-5.455210208892822,9.807577133178711,-7.205348491668701,3.051783323287964,5.384191513061523,0.02763897180557251,-4.717723369598389,-1.564558506011963,5.510948181152344,2.1862525939941406,-4.701295375823975,-2.676394462585449,-0.5112121105194092,16.117143630981445,-4.19207763671875,-0.5131514072418213,2.0636489391326904,4.607665061950684,0.3168379068374634,-4.7439680099487305,2.0552659034729004,-3.762974739074707,5.276846885681152,-12.091156005859375,-2.2802248001098633,-3.3658535480499268,4.35661506652832,-6.287246227264404,12.83817195892334,8.038070678710938,5.003931522369385,13.688491821289062,-9.257726669311523,2.0136375427246094,0.5863199830055237,-1.12417471408844,5.758750915527344,1.8321616649627686,-4.980618476867676,-6.203159332275391,5.216145992279053,-13.6296968460083,1.3713390827178955
