t,s,h_norm,Ah_norm,cos_h0
0,0,31.003034591674805,0.0,0.9999998807907104
1,0,15.077242851257324,0.0,1.0000001192092896
2,0,77.25588989257812,4.161574363708496,0.9999999403953552
3,0,19.14384651184082,0.9813218116760254,1.0000001192092896
4,0,67.72066497802734,7.157502174377441,1.0000001192092896
5,0,12.700201988220215,6.763376235961914,1.0
6,0,95.61209106445312,38.57756042480469,1.0
7,0,42.394561767578125,22.73719024658203,0.9999998807907104
8,0,82.05946350097656,45.33302688598633,1.0
9,0,47.66522216796875,48.467220306396484,1.0
10,0,92.26142883300781,96.38093566894531,0.9999999403953552
