epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,fw,0,1,0,0.0,0.0,12,4,0,0.8509369717493653,0.3964258586738375,0.7654258447121829,0.47778090234624687,0.0,0.0,0.0,0.0
2,0,fw,0,1,0,0.0,0.0,12,4,0,0.754189304983057,0.4935569505821797,0.8075306455399841,0.4692771228926722,0.0,0.0,0.0,0.0
3,0,fw,0,1,0,0.0,0.0,12,4,0,0.7222916106266901,0.5233978355822736,0.702199997539632,0.5358934081281768,0.0,0.0,0.0,0.0
4,0,fw,0,1,0,0.0,0.0,12,4,0,0.6989417396616191,0.5423144105733256,0.696453177921474,0.5471571311400039,0.0,0.0,0.0,0.0
5,0,fw,0,1,0,0.0,0.0,12,4,0,0.6842889243762941,0.5544786893436568,0.6718403828684241,0.5594719008344691,0.0,0.0,0.0,0.0
6,0,fw,0,1,0,0.0,0.0,12,4,0,0.6685945206714794,0.5668723536116653,0.6507745178760961,0.5819240514059784,0.0,0.0,0.0,0.0
7,0,fw,0,1,0,0.0,0.0,12,4,0,0.6535364015547559,0.5800419937676051,0.6159344409080222,0.6101539881874342,0.0,0.0,0.0,0.0
8,0,fw,0,1,0,0.0,0.0,12,4,0,0.6472391906611621,0.5845245133442106,0.6578779481807724,0.5710459955356783,0.0,0.0,0.0,0.0
9,0,fw,0,1,0,0.0,0.0,12,4,0,0.636439929228276,0.5930652879927774,0.6457450900878757,0.586759060005541,0.0,0.0,0.0,0.0
10,0,fw,0,1,0,0.0,0.0,12,4,0,0.6349986035871319,0.5969740664307843,0.6258578036352992,0.6092175547346705,0.0,0.0,0.0,0.0
11,0,fw,0,1,0,0.0,0.0,12,4,0,0.6226020375337452,0.6052599870261504,0.6143932289136573,0.6122360761419404,0.0,0.0,0.0,0.0
12,0,fw,0,1,0,0.0,0.0,12,4,0,0.6237888854037039,0.603781687832647,0.6564006208255887,0.5768746774853207,0.0,0.0,0.0,0.0
13,0,fw,0,1,0,0.0,0.0,12,4,0,0.6146041552739218,0.6108595063747605,0.6168834339538589,0.604188278260408,0.0,0.0,0.0,0.0
14,0,fw,0,1,0,0.0,0.0,12,4,0,0.5986728170173242,0.6243475959756528,0.59877981152758,0.6207558193355799,0.0,0.0,0.0,0.0
15,0,fw,0,1,0,0.0,0.0,12,4,0,0.6059079663242214,0.6181426288388786,0.5985142266033218,0.6164368064338341,0.0,0.0,0.0,0.0
16,0,fw,0,1,0,0.0,0.0,12,4,0,0.5907437400971539,0.6267320467679994,0.5982934403354302,0.6234065686737885,0.0,0.0,0.0,0.0
17,0,fw,0,1,0,0.0,0.0,12,4,0,0.6015119957116433,0.6198946024988662,0.6034434545361437,0.6215932863495546,0.0,0.0,0.0,0.0
18,0,fw,0,1,0,0.0,0.0,12,4,0,0.5975111256509088,0.6245149454459548,0.5691289082886651,0.6465769571114797,0.0,0.0,0.0,0.0
19,0,fw,0,1,0,0.0,0.0,12,4,0,0.5895493844920769,0.6301641197537072,0.5717832511756569,0.6444696354886983,0.0,0.0,0.0,0.0
20,0,fw,0,1,0,0.0,0.0,12,4,0,0.5803228414264507,0.6384289645019453,0.6002644497789442,0.6211280966461054,0.0,0.0,0.0,0.0
21,0,fw,0,1,0,0.0,0.0,12,4,0,0.5842303740295581,0.6343024349595536,0.5890126215228811,0.6324305383878527,0.0,0.0,0.0,0.0
22,0,fw,0,1,0,0.0,0.0,12,4,0,0.5828428734114394,0.6341583116100635,0.5609182305000723,0.6520587471229956,0.0,0.0,0.0,0.0
23,0,fw,0,1,0,0.0,0.0,12,4,0,0.5785000485887751,0.6383281719829654,0.5822930448623375,0.6367881417999742,0.0,0.0,0.0,0.0
24,0,fw,0,1,0,0.0,0.0,12,4,0,0.5802628441707232,0.635478738862183,0.5735415916675701,0.636163043775945,0.0,0.0,0.0,0.0
25,0,fw,0,1,0,0.0,0.0,12,4,0,0.5806606059017592,0.6371418602554826,0.5982616318790243,0.6278143302847166,0.0,0.0,0.0,0.0
26,0,fw,0,1,0,0.0,0.0,12,4,0,0.5712905179140157,0.6439477756783599,0.5620682805860415,0.6524059361364926,0.0,0.0,0.0,0.0
27,0,fw,0,1,0,0.0,0.0,12,4,0,0.5750718863250688,0.6423474410642288,0.5545208640601486,0.6547400329369121,0.0,0.0,0.0,0.0
28,0,fw,0,1,0,0.0,0.0,12,4,0,0.5672311031658203,0.6473153428567108,0.5885251617347822,0.6281864480702206,0.0,0.0,0.0,0.0
29,0,fw,0,1,0,0.0,0.0,12,4,0,0.5646366772438399,0.6488035541883088,0.5559677636125125,0.6536569671311881,0.0,0.0,0.0,0.0
30,0,fw,0,1,0,0.0,0.0,12,4,0,0.5647538893276826,0.6487650167176034,0.5600214655799791,0.6533048342175316,0.0,0.0,0.0,0.0
31,0,fw,0,1,0,0.0,0.0,12,4,0,0.5678105725997128,0.6477333525153692,0.5691871638279408,0.6461490955284098,0.0,0.0,0.0,0.0
32,0,fw,0,1,0,0.0,0.0,12,4,0,0.5542035988418386,0.6597337241050787,0.5612302179187536,0.65299989435717,0.0,0.0,0.0,0.0
33,0,fw,0,1,0,0.0,0.0,12,4,0,0.5539793805510737,0.657860679172934,0.5441782710384577,0.6664059852831997,0.0,0.0,0.0,0.0
34,0,fw,0,1,0,0.0,0.0,12,4,0,0.5580485530713573,0.6532010133836419,0.5687380173616111,0.6554643936200301,0.0,0.0,0.0,0.0
35,0,fw,0,1,0,0.0,0.0,12,4,0,0.5610080362877808,0.6545029317814508,0.5665964997326955,0.6442907097763382,0.0,0.0,0.0,0.0
36,0,fw,0,1,0,0.0,0.0,12,4,0,0.5601278304205276,0.6523182091598398,0.5711695050280541,0.6448247080040165,0.0,0.0,0.0,0.0
37,0,fw,0,1,0,0.0,0.0,12,4,0,0.5564373374426738,0.6560626290044281,0.5661283522574231,0.6496181688000215,0.0,0.0,0.0,0.0
38,0,fw,0,1,0,0.0,0.0,12,4,0,0.5608558506011962,0.6532468547509052,0.552752816493623,0.6572959216494346,0.0,0.0,0.0,0.0
39,0,fw,0,1,0,0.0,0.0,12,4,0,0.5507952331139706,0.6605689875693294,0.5658962701344863,0.6482371958984295,0.0,0.0,0.0,0.0
40,0,fw,0,1,0,0.0,0.0,12,4,0,0.5429859109862708,0.6676609229342546,0.5671950252763927,0.6464134709603386,0.0,0.0,0.0,0.0
41,0,fw,0,1,0,0.0,0.0,12,4,0,0.555090223590564,0.6580429885341553,0.578250545151066,0.6402232898371294,0.0,0.0,0.0,0.0
42,0,fw,0,1,0,0.0,0.0,12,4,0,0.5479379245378077,0.6619462011185475,0.5220853882799856,0.6767962469568011,0.0,0.0,0.0,0.0
43,0,fw,0,1,0,0.0,0.0,12,4,0,0.5495220394970849,0.6606600202754955,0.5643587584383786,0.6488970583925256,0.0,0.0,0.0,0.0
44,0,fw,0,1,0,0.0,0.0,12,4,0,0.5425128405988217,0.666235141543299,0.5359848858118057,0.6707342081981478,0.0,0.0,0.0,0.0
45,0,fw,0,1,0,0.0,0.0,12,4,0,0.5414341013257392,0.6692496271754499,0.5553278468148782,0.6623418318558252,0.0,0.0,0.0,0.0
46,0,fw,0,1,0,0.0,0.0,12,4,0,0.5416716491022148,0.6666795070091844,0.5374374115765095,0.6680234597477829,0.0,0.0,0.0,0.0
47,0,fw,0,1,0,0.0,0.0,12,4,0,0.5506176429766231,0.6620583520326647,0.5188607544247061,0.6792390273569617,0.0,0.0,0.0,0.0
48,0,fw,0,1,0,0.0,0.0,12,4,0,0.5400728144223802,0.6681245632468723,0.538277306212578,0.6730506804998149,0.0,0.0,0.0,0.0
49,0,fw,0,1,0,0.0,0.0,12,4,0,0.5430064714855515,0.6672431882109958,0.5398165247510187,0.6720994694732363,0.0,0.0,0.0,0.0
50,0,fw,0,1,0,0.0,0.0,12,4,0,0.5365009301079438,0.6717375106044113,0.5309973253309727,0.6761085060687038,0.0,0.0,0.0,0.0
51,0,fw,0,1,0,0.0,0.0,12,4,0,0.5410071110100485,0.6685490710952203,0.543502244703006,0.6630103860113304,0.0,0.0,0.0,0.0
52,0,fw,0,1,0,0.0,0.0,12,4,0,0.5465977833279408,0.6644362739856355,0.5571157347057014,0.6606639929021476,0.0,0.0,0.0,0.0
53,0,fw,0,1,0,0.0,0.0,12,4,0,0.5383494362776168,0.6701833411584376,0.5458338813092559,0.6622061064093141,0.0,0.0,0.0,0.0
54,0,fw,0,1,0,0.0,0.0,12,4,0,0.539468848465383,0.6689835056351265,0.5685362124824896,0.6548070407544728,0.0,0.0,0.0,0.0
55,0,fw,0,1,0,0.0,0.0,12,4,0,0.5391224661379121,0.6710395310716587,0.5249215114908293,0.6793747562668286,0.0,0.0,0.0,0.0
56,0,fw,0,1,0,0.0,0.0,12,4,0,0.5389493382557295,0.6689268523259787,0.5323248404813931,0.6740516125836875,0.0,0.0,0.0,0.0
57,0,fw,0,1,0,0.0,0.0,12,4,0,0.538426379351411,0.671081803360174,0.547600587466266,0.6622727197537898,0.0,0.0,0.0,0.0
58,0,fw,0,1,0,0.0,0.0,12,4,0,0.5360228059163317,0.6715553559981985,0.5383874015752226,0.6740019750966457,0.0,0.0,0.0,0.0
59,0,fw,0,1,0,0.0,0.0,12,4,0,0.5286747507895343,0.6764958816421218,0.53279944614321,0.6732097580826376,0.0,0.0,0.0,0.0
60,0,fw,0,1,0,0.0,0.0,12,4,0,0.5378996744832956,0.6705539479904808,0.5115493175284938,0.6874077251195558,0.0,0.0,0.0,0.0
61,0,fw,0,1,0,0.0,0.0,12,4,0,0.5339363840380683,0.6732796934019541,0.5270561343245208,0.6794169317001942,0.0,0.0,0.0,0.0
62,0,fw,0,1,0,0.0,0.0,12,4,0,0.5337418426122517,0.6753088581103948,0.5524891992085613,0.6630412672685925,0.0,0.0,0.0,0.0
63,0,fw,0,1,0,0.0,0.0,12,4,0,0.5427528298499062,0.6664973456540844,0.5422505896976217,0.6680947133251466,0.0,0.0,0.0,0.0
