epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,fw,1,1,1,0.95,0.3,12,3,2,0.9960694768182934,0.2703319343115203,0.9202945993542672,0.291400653604418,98.08224645501375,1.01683127912879,0.0,0.0
2,0,fw,1,1,1,0.95,0.3,12,3,2,0.9067726155906916,0.3111332103465684,0.9055755081474781,0.3137812918946147,1.1431802661955357,0.6652593215256929,0.0,0.0
3,0,fw,1,1,1,0.95,0.3,12,3,2,0.9048594588577747,0.3114170734334737,0.8989662593007087,0.31799738320708276,1.048834173619747,1.2314252176582814,0.0,0.0
4,0,fw,1,1,1,0.95,0.3,12,3,2,0.9036612387478351,0.3122500250510871,0.903883790910244,0.31222770865261557,1.089448913192749,0.9103135727047921,0.0,0.0
5,0,fw,1,1,1,0.95,0.3,12,3,2,0.9036324698209762,0.3123053157966584,0.8976257254779338,0.3203622687757015,0.8916554314076901,0.8754589624404907,0.0,0.0
6,0,fw,1,1,1,0.95,0.3,12,3,2,0.9038572710216045,0.3118475094364956,0.9029778926074505,0.31394108817353844,0.8631475541174412,0.8467843360006809,0.0,0.0
7,0,fw,1,1,1,0.95,0.3,12,3,2,0.9025448150157929,0.31419834738224744,0.8948118830025196,0.32464674713462593,0.8350441501379013,0.821804819315672,0.0,0.0
8,0,fw,1,1,1,0.95,0.3,12,3,2,0.9020191470265388,0.3150722736693919,0.9093444267809391,0.30652012495696546,0.8097736161708832,0.796538275629282,0.0,0.0
9,0,fw,1,1,1,0.95,0.3,12,3,2,0.9041858082652092,0.311552651312761,0.9062229221463204,0.3069955436438322,0.7822666782379151,0.7681250567734241,0.0,0.0
10,0,fw,1,1,1,0.95,0.3,12,3,2,0.9035250594913959,0.31251827634349466,0.9012862575352192,0.31578927773609755,0.7571472983777523,0.7470636372864247,0.0,0.0
