epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,fw,0,1,0,0.0,0.0,12,3,2,0.9281443545877933,0.2937260616932064,0.9224714860916138,0.3005546109974384,0.0,0.0,0.0,0.0
2,0,fw,0,1,0,0.0,0.0,12,3,2,0.9085632916688919,0.3097454496245831,0.9010144911408424,0.3257516523078084,0.0,0.0,0.0,0.0
3,0,fw,0,1,0,0.0,0.0,12,3,2,0.9037868943452835,0.3154047261747532,0.9005944297909737,0.31636919256299734,0.0,0.0,0.0,0.0
4,0,fw,0,1,0,0.0,0.0,12,3,2,0.9026739267379046,0.31481127198934555,0.8922336409687996,0.3282463280931115,0.0,0.0,0.0,0.0
5,0,fw,0,1,0,0.0,0.0,12,3,2,0.8974579999059439,0.3248969569166191,0.9083206336498261,0.3142533344449475,0.0,0.0,0.0,0.0
6,0,fw,0,1,0,0.0,0.0,12,3,2,0.896953173699975,0.32716256068954247,0.885418027445674,0.3471037542717531,0.0,0.0,0.0,0.0
7,0,fw,0,1,0,0.0,0.0,12,3,2,0.8895661405217834,0.33733189498661087,0.8813725356459617,0.34267691148351875,0.0,0.0,0.0,0.0
8,0,fw,0,1,0,0.0,0.0,12,3,2,0.8833069416414946,0.34740980499032886,0.9025085966424086,0.35184292634250597,0.0,0.0,0.0,0.0
9,0,fw,0,1,0,0.0,0.0,12,3,2,0.8815926642632111,0.34745590602029114,0.8765704153757542,0.34643229987286034,0.0,0.0,0.0,0.0
10,0,fw,0,1,0,0.0,0.0,12,3,2,0.8817174184654839,0.34990769018037243,0.8716521042268723,0.35680284816771746,0.0,0.0,0.0,0.0
11,0,fw,0,1,0,0.0,0.0,12,3,2,0.8786276899604126,0.3518396705897525,0.8739899563798681,0.34962160539254544,0.0,0.0,0.0,0.0
12,0,fw,0,1,0,0.0,0.0,12,3,2,0.8775415098713711,0.3547440418435261,0.8609472930612974,0.373690453028772,0.0,0.0,0.0,0.0
13,0,fw,0,1,0,0.0,0.0,12,3,2,0.8803187537615188,0.3501775167237036,0.883168226910755,0.3418431559987366,0.0,0.0,0.0,0.0
14,0,fw,0,1,0,0.0,0.0,12,3,2,0.8768787508654409,0.35442141301482916,0.8636319844378159,0.36877868764754385,0.0,0.0,0.0,0.0
15,0,fw,0,1,0,0.0,0.0,12,3,2,0.8771569642407354,0.35483246972505006,0.880780831694603,0.35141543500870465,0.0,0.0,0.0,0.0
16,0,fw,0,1,0,0.0,0.0,12,3,2,0.8743085848806426,0.3564114062895067,0.8727289116564206,0.3582152380752377,0.0,0.0,0.0,0.0
17,0,fw,0,1,0,0.0,0.0,12,3,2,0.8741004850277212,0.3571315028704703,0.8869202329581604,0.34434515541046856,0.0,0.0,0.0,0.0
18,0,fw,0,1,0,0.0,0.0,12,3,2,0.8778416780715809,0.35474290497237815,0.8746019726498052,0.3535880046151578,0.0,0.0,0.0,0.0
19,0,fw,0,1,0,0.0,0.0,12,3,2,0.8766117152558174,0.3569076325956732,0.8733946205852553,0.3658228964563459,0.0,0.0,0.0,0.0
20,0,fw,0,1,0,0.0,0.0,12,3,2,0.8810878451357596,0.35093303929269315,0.8899584823157638,0.3367203743024729,0.0,0.0,0.0,0.0
21,0,fw,0,1,0,0.0,0.0,12,3,2,0.8818035050265491,0.3495782963735983,0.8687797135328874,0.35626948599889874,0.0,0.0,0.0,0.0
22,0,fw,0,1,0,0.0,0.0,12,3,2,0.8742976915939711,0.3599416839055717,0.8779095932040364,0.3478864595321938,0.0,0.0,0.0,0.0
23,0,fw,0,1,0,0.0,0.0,12,3,2,0.875841028324794,0.356463706342224,0.8795430424218066,0.35453624272160233,0.0,0.0,0.0,0.0
24,0,fw,0,1,0,0.0,0.0,12,3,2,0.8728562235509977,0.3589467649806291,0.8653997499211691,0.3615280029028654,0.0,0.0,0.0,0.0
25,0,fw,0,1,0,0.0,0.0,12,3,2,0.867814474667213,0.36540563351102173,0.8512277942642104,0.37744634250970555,0.0,0.0,0.0,0.0
26,0,fw,0,1,0,0.0,0.0,12,3,2,0.865848758063186,0.36575261508002876,0.8559022734086029,0.37377258319593964,0.0,0.0,0.0,0.0
27,0,fw,0,1,0,0.0,0.0,12,3,2,0.8639787705054507,0.36778533754269593,0.8765179816726595,0.367375807470642,0.0,0.0,0.0,0.0
28,0,fw,0,1,0,0.0,0.0,12,3,2,0.8704456335072871,0.361773090414051,0.8747467021141201,0.36102884845994415,0.0,0.0,0.0,0.0
29,0,fw,0,1,0,0.0,0.0,12,3,2,0.87667612265395,0.35582671191329135,0.871321281296201,0.3594734332775697,0.0,0.0,0.0,0.0
30,0,fw,0,1,0,0.0,0.0,12,3,2,0.8684400576120243,0.36360455027054994,0.8568304397240281,0.3791023366199806,0.0,0.0,0.0,0.0
31,0,fw,0,1,0,0.0,0.0,12,3,2,0.8674289546984947,0.3649547510257922,0.8553215113002807,0.3795150862876326,0.0,0.0,0.0,0.0
32,0,fw,0,1,0,0.0,0.0,12,3,2,0.8625028539998224,0.36865179167855533,0.8625866057818639,0.3792700629318133,0.0,0.0,0.0,0.0
33,0,fw,0,1,0,0.0,0.0,12,3,2,0.8613659445687896,0.3715430365083739,0.8532745432839147,0.37601916964491827,0.0,0.0,0.0,0.0
34,0,fw,0,1,0,0.0,0.0,12,3,2,0.8610165098132566,0.3707722128342837,0.8662235700879246,0.3646461428757757,0.0,0.0,0.0,0.0
35,0,fw,0,1,0,0.0,0.0,12,3,2,0.8603276178326923,0.37154381702262906,0.8523879730207845,0.37964131955616176,0.0,0.0,0.0,0.0
36,0,fw,0,1,0,0.0,0.0,12,3,2,0.8610983393950155,0.37065391956688837,0.8499490926265717,0.3778577651595697,0.0,0.0,0.0,0.0
37,0,fw,0,1,0,0.0,0.0,12,3,2,0.8580795114803593,0.37439262777473775,0.8545755106532015,0.37052586244605484,0.0,0.0,0.0,0.0
38,0,fw,0,1,0,0.0,0.0,12,3,2,0.8514645515093348,0.3806993530601263,0.8542743308325298,0.3679346228772774,0.0,0.0,0.0,0.0
39,0,fw,0,1,0,0.0,0.0,12,3,2,0.8567693227605195,0.3747362643010914,0.8651591994501651,0.3605886491304263,0.0,0.0,0.0,0.0
40,0,fw,0,1,0,0.0,0.0,12,3,2,0.863553185179364,0.3682516654594801,0.8506357356384396,0.3774693414866924,0.0,0.0,0.0,0.0
41,0,fw,0,1,0,0.0,0.0,12,3,2,0.8602457757708617,0.37238603235986084,0.8583294957950711,0.3740405962523073,0.0,0.0,0.0,0.0
42,0,fw,0,1,0,0.0,0.0,12,3,2,0.8595861324760131,0.37216142143914477,0.844130893105641,0.38938090984057633,0.0,0.0,0.0,0.0
43,0,fw,0,1,0,0.0,0.0,12,3,2,0.8567166319196112,0.3770486515416298,0.8590419695302844,0.3747393674198538,0.0,0.0,0.0,0.0
44,0,fw,0,1,0,0.0,0.0,12,3,2,0.8525137746958993,0.3819148242901079,0.850458014103584,0.3777230222998187,0.0,0.0,0.0,0.0
45,0,fw,0,1,0,0.0,0.0,12,3,2,0.8535157919082325,0.38122570085898044,0.8757442134134471,0.3606211296301335,0.0,0.0,0.0,0.0
46,0,fw,0,1,0,0.0,0.0,12,3,2,0.8480787109755212,0.38539840791057794,0.8629305024244822,0.37666278140433135,0.0,0.0,0.0,0.0
47,0,fw,0,1,0,0.0,0.0,12,3,2,0.8597240545322886,0.37337067975429816,0.8603006740119308,0.3751965644415468,0.0,0.0,0.0,0.0
48,0,fw,0,1,0,0.0,0.0,12,3,2,0.8518178321002516,0.3803607769174501,0.8345297996308655,0.3901332195913419,0.0,0.0,0.0,0.0
49,0,fw,0,1,0,0.0,0.0,12,3,2,0.8528613429258578,0.3800334568904713,0.8572994894552975,0.36817484549526125,0.0,0.0,0.0,0.0
50,0,fw,0,1,0,0.0,0.0,12,3,2,0.8521933728531701,0.3802951649528928,0.8498779133036732,0.3870165747180581,0.0,0.0,0.0,0.0
51,0,fw,0,1,0,0.0,0.0,12,3,2,0.8497921025333112,0.3842159038785845,0.8622150843208656,0.37263738993555307,0.0,0.0,0.0,0.0
52,0,fw,0,1,0,0.0,0.0,12,3,2,0.8538110584832262,0.37966047572707756,0.8470634727077558,0.3909829681403935,0.0,0.0,0.0,0.0
53,0,fw,0,1,0,0.0,0.0,12,3,2,0.8521705348371994,0.38176833123681136,0.841816586327739,0.3904279293809086,0.0,0.0,0.0,0.0
54,0,fw,0,1,0,0.0,0.0,12,3,2,0.8454350787541829,0.3883967885568738,0.8392963368594647,0.396018004309386,0.0,0.0,0.0,0.0
55,0,fw,0,1,0,0.0,0.0,12,3,2,0.8490546589245321,0.3852453250974417,0.8714345611929893,0.38237736047431825,0.0,0.0,0.0,0.0
56,0,fw,0,1,0,0.0,0.0,12,3,2,0.8472294254499022,0.3853308368255384,0.8393793068579398,0.39000869914982467,0.0,0.0,0.0,0.0
57,0,fw,0,1,0,0.0,0.0,12,3,2,0.8489210809414275,0.3851966587470844,0.8648230134150945,0.37603493440896274,0.0,0.0,0.0,0.0
58,0,fw,0,1,0,0.0,0.0,12,3,2,0.8463524131191894,0.38729808742068705,0.8530799997774884,0.374999801623635,0.0,0.0,0.0,0.0
59,0,fw,0,1,0,0.0,0.0,12,3,2,0.8512477891299641,0.3808408600283787,0.8443657483607531,0.38805253319628535,0.0,0.0,0.0,0.0
60,0,fw,0,1,0,0.0,0.0,12,3,2,0.8525002948470647,0.3813946580003947,0.8604169520756696,0.37276197265647354,0.0,0.0,0.0,0.0
61,0,fw,0,1,0,0.0,0.0,12,3,2,0.8427611350829597,0.388424718895182,0.8409559209914877,0.3864795066425577,0.0,0.0,0.0,0.0
62,0,fw,0,1,0,0.0,0.0,12,3,2,0.8456579175320686,0.3854247216696851,0.8505377656696365,0.3784660934219137,0.0,0.0,0.0,0.0
63,0,fw,0,1,0,0.0,0.0,12,3,2,0.8468983047907473,0.3858759762474336,0.8522780081368982,0.3775682973586954,0.0,0.0,0.0,0.0
64,0,fw,0,1,0,0.0,0.0,12,3,2,0.850312059402233,0.3815003093934618,0.8562483835089951,0.37088730119075625,0.0,0.0,0.0,0.0
65,0,fw,0,1,0,0.0,0.0,12,3,2,0.851901244250522,0.3806967204368673,0.8630177034344524,0.37724508581403643,0.0,0.0,0.0,0.0
66,0,fw,0,1,0,0.0,0.0,12,3,2,0.8492796513843816,0.3842431496243924,0.8441616011392326,0.38860471747256814,0.0,0.0,0.0,0.0
67,0,fw,0,1,0,0.0,0.0,12,3,2,0.848420105015277,0.3842453735189512,0.8541082419413142,0.3777063435567543,0.0,0.0,0.0,0.0
68,0,fw,0,1,0,0.0,0.0,12,3,2,0.8483674550657393,0.3847386186542921,0.8499268992263824,0.3829464491941035,0.0,0.0,0.0,0.0
69,0,fw,0,1,0,0.0,0.0,12,3,2,0.853645207500644,0.3786875992739573,0.836722137584351,0.397618341027759,0.0,0.0,0.0,0.0
70,0,fw,0,1,0,0.0,0.0,12,3,2,0.8496666785954964,0.38404110711030665,0.8501494525652379,0.38062447619996964,0.0,0.0,0.0,0.0
71,0,fw,0,1,0,0.0,0.0,12,3,2,0.8525681762754918,0.38073243584288285,0.8639269626026508,0.36345095621049406,0.0,0.0,0.0,0.0
72,0,fw,0,1,0,0.0,0.0,12,3,2,0.8531279478546232,0.3799837342022918,0.8455030240761117,0.39364876099163665,0.0,0.0,0.0,0.0
73,0,fw,0,1,0,0.0,0.0,12,3,2,0.8535821433221455,0.3785619689369574,0.8379071245007217,0.39163252301700413,0.0,0.0,0.0,0.0
74,0,fw,0,1,0,0.0,0.0,12,3,2,0.8480525677253143,0.385677918133419,0.8458073398023844,0.38567722221743317,0.0,0.0,0.0,0.0
75,0,fw,0,1,0,0.0,0.0,12,3,2,0.853434950338048,0.37963621875364334,0.8638932765889913,0.3699095134679228,0.0,0.0,0.0,0.0
76,0,fw,0,1,0,0.0,0.0,12,3,2,0.8515690797713585,0.3814625938558951,0.8721476664524526,0.3834150888165459,0.0,0.0,0.0,0.0
77,0,fw,0,1,0,0.0,0.0,12,3,2,0.8474857304528356,0.3866802463381551,0.8377288261228241,0.39782351529970766,0.0,0.0,0.0,0.0
78,0,fw,0,1,0,0.0,0.0,12,3,2,0.8478536944840336,0.38658559459624814,0.8403703290894627,0.3915327774193138,0.0,0.0,0.0,0.0
79,0,fw,0,1,0,0.0,0.0,12,3,2,0.8475860071528004,0.38678473239475863,0.8545381312500685,0.3798160277120769,0.0,0.0,0.0,0.0
80,0,fw,0,1,0,0.0,0.0,12,3,2,0.8491680979103782,0.3846578604903072,0.8567610313971527,0.3880382855562493,0.0,0.0,0.0,0.0
81,0,fw,0,1,0,0.0,0.0,12,3,2,0.8459042159138713,0.3883319860619493,0.8470848154574633,0.38311107442248615,0.0,0.0,0.0,0.0
82,0,fw,0,1,0,0.0,0.0,12,3,2,0.8472535866456107,0.38851383619681,0.8449830064233392,0.38946357629820705,0.0,0.0,0.0,0.0
83,0,fw,0,1,0,0.0,0.0,12,3,2,0.8560400083453394,0.3789926354363561,0.8294221557173878,0.4044858613824472,0.0,0.0,0.0,0.0
84,0,fw,0,1,0,0.0,0.0,12,3,2,0.8501081589855719,0.3837792877570726,0.8357651631729678,0.3970654407320544,0.0,0.0,0.0,0.0
85,0,fw,0,1,0,0.0,0.0,12,3,2,0.8518825951193226,0.38426582812704146,0.8322504835035652,0.4055362849510275,0.0,0.0,0.0,0.0
86,0,fw,0,1,0,0.0,0.0,12,3,2,0.8434208696718793,0.39352802640139123,0.8418269490678795,0.38985111376550047,0.0,0.0,0.0,0.0
87,0,fw,0,1,0,0.0,0.0,12,3,2,0.8508490159642883,0.38596302026472984,0.8589008120130748,0.3819820734970272,0.0,0.0,0.0,0.0
88,0,fw,0,1,0,0.0,0.0,12,3,2,0.8485337109538261,0.3895017198547721,0.8503500779957976,0.3802023689858615,0.0,0.0,0.0,0.0
89,0,fw,0,1,0,0.0,0.0,12,3,2,0.8488372795397415,0.389083995135501,0.8606941640330479,0.3707291288394481,0.0,0.0,0.0,0.0
90,0,fw,0,1,0,0.0,0.0,12,3,2,0.839970684070373,0.39739772507008164,0.8458157572615892,0.3924970760922879,0.0,0.0,0.0,0.0
91,0,fw,0,1,0,0.0,0.0,12,3,2,0.8469146041979082,0.39202900330424306,0.8539464951343835,0.39677264404296875,0.0,0.0,0.0,0.0
92,0,fw,0,1,0,0.0,0.0,12,3,2,0.84892415605532,0.38966914196908475,0.8514608687255532,0.3857635219078511,0.0,0.0,0.0,0.0
93,0,fw,0,1,0,0.0,0.0,12,3,2,0.8453598636781797,0.39246243025287986,0.8468878868110478,0.3855077510708943,0.0,0.0,0.0,0.0
94,0,fw,0,1,0,0.0,0.0,12,3,2,0.8502221693585627,0.3879189448347315,0.8331636174786836,0.40529349276516585,0.0,0.0,0.0,0.0
95,0,fw,0,1,0,0.0,0.0,12,3,2,0.8441776160932611,0.394117547385022,0.8438790479078889,0.396408830916509,0.0,0.0,0.0,0.0
96,0,fw,0,1,0,0.0,0.0,12,3,2,0.8473633954729652,0.39152522735744716,0.841371059793979,0.4000257721953094,0.0,0.0,0.0,0.0
97,0,fw,0,1,0,0.0,0.0,12,3,2,0.8435184005484451,0.39415883251316847,0.8512761611442548,0.3881509920861572,0.0,0.0,0.0,0.0
