epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,tanh,1,1,3,0.95,0.3,12,3,2,1.0702446137487889,0.1009467880464159,0.9907480950206519,0.2589351279279217,76.95785428301096,2.5147325731515884,0.523099023833729,0.3196651589920123
2,0,tanh,1,1,3,0.95,0.3,12,3,2,0.8421593341786414,0.40845377725074067,0.7393598162652925,0.517387722731568,3.276975035727024,3.528608844637871,0.2767129514065527,0.2114485464578583
3,0,tanh,1,1,3,0.95,0.3,12,3,2,0.7067419470891356,0.5527583090318366,0.6561442023068667,0.5930947789717466,4.017855257916451,4.2271489094495776,0.19499962764623618,0.1685835424810648
4,0,tanh,1,1,3,0.95,0.3,12,3,2,0.6253084242868238,0.6161694852828979,0.6120391605123877,0.6305140311494469,4.561427694606781,4.360336833715439,0.15560549420600847,0.14087062845840342
5,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5935646964554675,0.637893991077412,0.5620071623334661,0.6586105790520087,4.9405732914686205,4.768258682012558,0.13512572850783666,0.12537760101897377
6,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5791382595816628,0.650691147127375,0.5837646762430668,0.6672848916128278,4.98571444272995,5.446765416264534,0.1253538390589612,0.12291635283614907
7,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5640689694211818,0.6614480822145938,0.5643970941090957,0.6587146221287549,5.191389006257057,4.975079117059708,0.11946578670924618,0.11357511366336118
8,0,tanh,1,1,3,0.95,0.3,12,3,2,0.552772842606809,0.6674053761769086,0.5643114396212623,0.6511316138152033,5.305647466492653,4.9334381812810895,0.11652278041371278,0.11232694095798901
9,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5472406150346621,0.6716561602266505,0.5342817585431039,0.678253623560071,5.4175330567359925,5.267867518424988,0.11077672722254481,0.10727494120030176
10,0,tanh,1,1,3,0.95,0.3,12,3,2,0.547975645681005,0.6701466279210523,0.5609546464253217,0.6506636772304774,5.434703608608245,5.661780565857887,0.10624490526730106,0.11074542184670766
11,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5429598913013004,0.6736723659370094,0.5186728637909982,0.6966491095237434,5.613125207471848,5.616192640542984,0.10556455177537032,0.10367696548643567
12,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5400270425410941,0.6750273972976952,0.5133803582317196,0.7006949122408405,5.630971170806885,5.5068633950948715,0.10282923886619863,0.10037260766114509
13,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5367735300444066,0.6777828779553063,0.5198337697554379,0.6893551055975259,5.631524352788925,5.472593692183494,0.1003048743564458,0.09825386203044936
14,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5318721049595159,0.6812169299986214,0.5166427869684994,0.691296264871955,5.627331977558136,6.000701739549637,0.09883474709533509,0.09921265268041975
15,0,tanh,1,1,3,0.95,0.3,12,3,2,0.5266953586784191,0.6849034391636029,0.5261670413631946,0.6853864614572376,5.782290987038612,5.7481442022323606,0.0964739906372059,0.0957344873171477
