epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,fw,1,1,1,0.85,0.3,9,3,0,1.6852358699341614,0.10419396504119505,1.1069591662287712,0.09177045806543901,124.9933131535848,137.5131672668457,0.0,0.0
2,0,fw,1,1,1,0.85,0.3,9,3,0,1.0667128906647365,0.1266798984919054,1.0766951352357865,0.10622480838210321,138.3996931330363,136.95082008361817,0.0,0.0
3,0,fw,1,1,1,0.85,0.3,9,3,0,1.0612711228926976,0.12263016103495222,1.062145775258541,0.10687277794349939,130.81421199798584,132.0792041015625,0.0,0.0
4,0,fw,1,1,1,0.85,0.3,9,3,0,1.0545497672756512,0.14400808918871916,1.0813942776620389,0.12051931531401351,121.33634713490804,118.67546188354493,0.0,0.0
5,0,fw,1,1,1,0.85,0.3,9,3,0,1.0405793799708287,0.15270589724440167,1.0702085810899735,0.131067084382521,117.47078514099121,112.14887538909912,0.0,0.0
6,0,fw,1,1,1,0.85,0.3,9,3,0,1.0374966751535732,0.15296493695602598,1.0165589103102683,0.15500848705880343,106.29792828877767,106.0141647720337,0.0,0.0
7,0,fw,1,1,1,0.85,0.3,9,3,0,1.0343978189925354,0.17395013297791592,1.0659447139501572,0.1614765124290716,96.44942826588948,94.5284234237671,0.0,0.0
8,0,fw,1,1,1,0.85,0.3,9,3,0,1.0205296501517296,0.18192639417868728,1.0326881089806557,0.1983183933433611,88.05159152984619,80.06945106506348,0.0,0.0
9,0,fw,1,1,1,0.85,0.3,9,3,0,1.040303298383951,0.14786712474519542,0.9936368697881699,0.19145791072398424,81.41700326283772,76.5604404449463,0.0,0.0
10,0,fw,1,1,1,0.85,0.3,9,3,0,1.0363791359464327,0.14055718315027965,1.0012358201295137,0.17491202217992396,69.3395060412089,65.95535919189453,0.0,0.0
11,0,fw,1,1,1,0.85,0.3,9,3,0,1.0079662142818173,0.19773027569171972,1.339843703508377,0.14443721631309017,56.24574579238892,53.317323741912844,0.0,0.0
