epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,fw,1,1,1,0.95,0.3,12,4,2,1.0436920424923302,0.1614127534221974,0.9069764736443758,0.3152264030580409,70.96699176135063,2.8665190715789794,0.0,0.0
2,0,fw,1,1,1,0.95,0.3,12,4,2,0.8848939194351435,0.34288179321421774,0.8666260024383664,0.3611523885783972,3.2360291241526604,4.444543991088867,0.0,0.0
3,0,fw,1,1,1,0.95,0.3,12,4,2,0.8614933387607336,0.37688487882263727,0.8259222419299185,0.4151935306787491,3.5739552979588507,3.4609544900655744,0.0,0.0
4,0,fw,1,1,1,0.95,0.3,12,4,2,0.8440532731339335,0.39982462535584345,0.8423399737849832,0.4019603679582942,4.058904956543445,5.238391008138657,0.0,0.0
5,0,fw,1,1,1,0.95,0.3,12,4,2,0.8298498936951161,0.4161358986046631,0.8318968295156955,0.41511172406049446,3.896647544145584,2.4877751220464708,0.0,0.0
6,0,fw,1,1,1,0.95,0.3,12,4,2,0.8258932349689305,0.4208330601020716,0.8346302972659468,0.4129690199858742,3.8384952589035035,3.196641562640667,0.0,0.0
7,0,fw,1,1,1,0.95,0.3,12,4,2,0.8198654717050493,0.4288592117765453,0.8255442038252949,0.4236688846423058,3.731619144427776,2.957683724462986,0.0,0.0
8,0,fw,1,1,1,0.95,0.3,12,4,2,0.8156110073946417,0.43382239074879325,0.8155369319729507,0.4343406857016962,3.505357780086994,3.9526203239560127,0.0,0.0
9,0,fw,1,1,1,0.95,0.3,12,4,2,0.8181201539471745,0.43147003368987935,0.8084791542962193,0.43867106588359456,3.3953149209737776,3.319547380447388,0.0,0.0
10,0,fw,1,1,1,0.95,0.3,12,4,2,0.8116629854932428,0.4372659257943742,0.8285376006364822,0.4352796288300306,3.1117140364527702,2.8629300664067268,0.0,0.0
11,0,fw,1,1,1,0.95,0.3,12,4,2,0.8154119247972965,0.43377287710658274,0.8089976530224084,0.4334475374552421,2.9817331886172296,2.2905086387991904,0.0,0.0
12,0,fw,1,1,1,0.95,0.3,12,4,2,0.8145653249159456,0.4347526454017032,0.7928155322968959,0.448596891541034,2.7305496395230295,2.4731794365644455,0.0,0.0
13,0,fw,1,1,1,0.95,0.3,12,4,2,0.8106543310716748,0.4384347574938089,0.8411907909810543,0.4210715842221398,2.8062380156278612,2.1080904256403445,0.0,0.0
14,0,fw,1,1,1,0.95,0.3,12,4,2,0.8017986069515347,0.44694093157146125,0.8237276851087809,0.4273353647228796,2.5201009346842764,2.5902445726394654,0.0,0.0
15,0,fw,1,1,1,0.95,0.3,12,4,2,0.8122313869386911,0.43732315139995187,0.822331583879888,0.4222795147030847,2.1883331357240676,2.484236389517784,0.0,0.0
16,0,fw,1,1,1,0.95,0.3,12,4,2,0.8106112235985696,0.43814269853789595,0.8212951149120927,0.43072170943405946,2.2211827505350112,2.238929754167795,0.0,0.0
17,0,fw,1,1,1,0.95,0.3,12,4,2,0.8115073293223977,0.43764009691852845,0.7934593111649155,0.4549050127619412,2.1884549302637577,2.14886528095603,0.0,0.0
18,0,fw,1,1,1,0.95,0.3,12,4,2,0.8111753589533269,0.4385313141868799,0.7874999048933387,0.4659209343303228,1.9425267665088177,1.727966707020998,0.0,0.0
19,0,fw,1,1,1,0.95,0.3,12,4,2,0.8081745259083808,0.4419298350797966,0.7786794455945492,0.4728080076918704,1.801311484593153,1.7675264960080386,0.0,0.0
20,0,fw,1,1,1,0.95,0.3,12,4,2,0.81216713899374,0.43681113084940004,0.7996201267689467,0.45053665357199496,1.6061152299344539,1.4645365227758884,0.0,0.0
21,0,fw,1,1,1,0.95,0.3,12,4,2,0.8062182357117533,0.4421584338057553,0.8395659294575453,0.4130064017677214,1.5368403509706259,1.481532619431615,0.0,0.0
22,0,fw,1,1,1,0.95,0.3,12,4,2,0.8083138449147343,0.4392972233102773,0.8103662078827619,0.4408759587890236,1.5207956123620272,1.583749672293663,0.0,0.0
23,0,fw,1,1,1,0.95,0.3,12,4,2,0.8050823499053716,0.4433326653406373,0.8081699575334788,0.43828019213851077,1.4833525803506373,1.4121679081469773,0.0,0.0
24,0,fw,1,1,1,0.95,0.3,12,4,2,0.8036213580034673,0.4433869336354197,0.8313966638594866,0.42953627057082483,1.3983275421962142,1.6505896482020617,0.0,0.0
