epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,tanh,1,1,1,0.95,0.3,12,4,2,1.036578267559409,0.1395888134713634,0.9336911144554615,0.26931955698283855,51.49793994064331,6.490478883981705,0.2837234636232257,0.31805446973194684
2,0,tanh,1,1,1,0.95,0.3,12,4,2,0.8944422913327813,0.32646862663006176,0.9016073177680373,0.3367464211824117,7.175097333288193,9.503314058303832,0.307969693107903,0.29752194364865625
3,0,tanh,1,1,1,0.95,0.3,12,4,2,0.850493283213675,0.3869481348401634,0.7939098287150264,0.4444141423155088,8.404781567716599,9.432028993606567,0.2445977843120694,0.22202161093552908
4,0,tanh,1,1,1,0.95,0.3,12,4,2,0.8028894644491374,0.4432234444594011,0.7739819317832589,0.4668459084597416,9.89815902223587,10.927813024520875,0.19294988782852887,0.1694563852449258
5,0,tanh,1,1,1,0.95,0.3,12,4,2,0.7829137516885996,0.46432650096016004,0.7683235826976598,0.4693892800104804,10.859292795276643,11.265337678432465,0.15504340033282835,0.14507950429618358
6,0,tanh,1,1,1,0.95,0.3,12,4,2,0.762874077361077,0.4857688501261524,0.7561372807994485,0.48667358099203556,11.606216389751435,12.572441534996033,0.13191110752622284,0.12645424740513164
7,0,tanh,1,1,1,0.95,0.3,12,4,2,0.7547346488542854,0.49463420865261,0.7601586923711002,0.4914558485890739,12.237558471870422,12.274609065532685,0.11983638685643673,0.11377646134048701
8,0,tanh,1,1,1,0.95,0.3,12,4,2,0.751742384364456,0.49721236841601785,0.7406873946711421,0.5024739355205092,12.71901045742035,12.970139681339264,0.10774316867242255,0.10471602060149114
9,0,tanh,1,1,1,0.95,0.3,12,4,2,0.7389523943386972,0.50811306679626,0.757263159647584,0.4998746637899894,13.12691657590866,13.69156363916397,0.10052702128142119,0.09831976291785637
10,0,tanh,1,1,1,0.95,0.3,12,4,2,0.7405380060911179,0.509758356711152,0.7613351100161672,0.4959104097503005,13.264171696281434,12.983247952461243,0.09456158736844857,0.09250518211970726
11,0,tanh,1,1,1,0.95,0.3,12,4,2,0.7356105602785945,0.5146816364059691,0.7206163706183434,0.5304373991584871,13.198956629657745,13.353757126808166,0.08896880094756682,0.08647130643079677
12,0,tanh,1,1,1,0.95,0.3,12,4,2,0.7330743514925242,0.516688158128038,0.7128377459608018,0.5340848123482429,13.346291720104217,13.19485968875885,0.08469318522810936,0.08334102161973715
13,0,tanh,1,1,1,0.95,0.3,12,4,2,0.7200208562042564,0.5292345303264098,0.7361610426008701,0.5179087220641085,12.72376172246933,11.80663785123825,0.08058414324223995,0.08016990499695141
14,0,tanh,1,1,1,0.95,0.3,12,4,2,0.7071064029477536,0.5422369620431448,0.7083633359745145,0.5417937412962783,11.882287962722778,11.909687426567078,0.08201687539766232,0.0803168017293016
15,0,tanh,1,1,1,0.95,0.3,12,4,2,0.698661858072877,0.5486556921032956,0.68534618223086,0.5609886308130808,12.368845791053772,12.83344093132019,0.08023545145541429,0.08079475154230993
