epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,fw,0,1,1,0.85,0.3,12,4,0,1.1312566019097965,0.16159447184763848,0.9530095139145851,0.28519163486547766,0.0,0.0,0.0,0.0
2,0,fw,0,1,1,0.85,0.3,12,4,0,0.9533554087082545,0.2728162160345043,0.9065933105349541,0.3089676552359015,0.0,0.0,0.0,0.0
3,0,fw,0,1,1,0.85,0.3,12,4,0,0.9061906218032042,0.32375961961845556,0.8951325863599777,0.3358489208482206,0.0,0.0,0.0,0.0
4,0,fw,0,1,1,0.85,0.3,12,4,0,0.8817770344018936,0.3557018815446645,0.8463137193024158,0.3856308160815388,0.0,0.0,0.0,0.0
5,0,fw,0,1,1,0.85,0.3,12,4,0,0.8727816580981016,0.36538250694051383,0.8532469223439694,0.3804897262714803,0.0,0.0,0.0,0.0
6,0,fw,0,1,1,0.85,0.3,12,4,0,0.8421829815457265,0.40271750797207156,0.8471713229268789,0.40247208654880523,0.0,0.0,0.0,0.0
7,0,fw,0,1,1,0.85,0.3,12,4,0,0.8458987054228783,0.4010406300487618,0.7719184026494622,0.46494646111503246,0.0,0.0,0.0,0.0
8,0,fw,0,1,1,0.85,0.3,12,4,0,0.823843009819587,0.42262594123991826,0.8181665464490652,0.42929986068978904,0.0,0.0,0.0,0.0
9,0,fw,0,1,1,0.85,0.3,12,4,0,0.7961090886592865,0.4531122802818815,0.7830281506478787,0.4623466791398823,0.0,0.0,0.0,0.0
10,0,fw,0,1,1,0.85,0.3,12,4,0,0.7875286896402637,0.46128514120665687,0.8357352816313505,0.4021864284016192,0.0,0.0,0.0,0.0
11,0,fw,0,1,1,0.85,0.3,12,4,0,0.8222009223947923,0.43161031040673453,0.8078275188803673,0.43461168398149314,0.0,0.0,0.0,0.0
12,0,fw,0,1,1,0.85,0.3,12,4,0,0.8182597012445331,0.43090838166574635,0.8552207368612289,0.3974663461744785,0.0,0.0,0.0,0.0
13,0,fw,0,1,1,0.85,0.3,12,4,0,0.7882053270936012,0.4549362630024552,0.7293289873749018,0.5112412257678807,0.0,0.0,0.0,0.0
14,0,fw,0,1,1,0.85,0.3,12,4,0,0.7817197660356761,0.4695338143842916,0.7702374468743801,0.47524228135123847,0.0,0.0,0.0,0.0
15,0,fw,0,1,1,0.85,0.3,12,4,0,0.7808118037258586,0.46873346992147463,0.7873840453848243,0.46644573444500564,0.0,0.0,0.0,0.0
16,0,fw,0,1,1,0.85,0.3,12,4,0,0.7671553761574129,0.4747801012033597,0.7428637970983982,0.49881543036550285,0.0,0.0,0.0,0.0
17,0,fw,0,1,1,0.85,0.3,12,4,0,0.7708321560546756,0.4786633566270272,0.7970751138776541,0.4613058989867568,0.0,0.0,0.0,0.0
18,0,fw,0,1,1,0.85,0.3,12,4,0,0.7640600259291629,0.48404126246459783,0.7155123773217201,0.5286474979296326,0.0,0.0,0.0,0.0
19,0,fw,0,1,1,0.85,0.3,12,4,0,0.784922124048074,0.4578990692148606,0.7697525978088379,0.4773263404984027,0.0,0.0,0.0,0.0
20,0,fw,0,1,1,0.85,0.3,12,4,0,0.7559212220211824,0.4981436930441608,0.7703146661445498,0.4722331441473216,0.0,0.0,0.0,0.0
21,0,fw,0,1,1,0.85,0.3,12,4,0,0.7555304370696346,0.489562490688016,0.7616412111744285,0.47539924799464645,0.0,0.0,0.0,0.0
22,0,fw,0,1,1,0.85,0.3,12,4,0,0.7664238297194242,0.4838620019486795,0.7339391727093607,0.49461226410232484,0.0,0.0,0.0,0.0
23,0,fw,0,1,1,0.85,0.3,12,4,0,0.7577298530687888,0.4947098135265211,0.7547703047841787,0.4856026845704764,0.0,0.0,0.0,0.0
24,0,fw,0,1,1,0.85,0.3,12,4,0,0.7562196587957442,0.4819553243306776,0.7291289084218442,0.5039915266633034,0.0,0.0,0.0,0.0
25,0,fw,0,1,1,0.85,0.3,12,4,0,0.7447270472347737,0.50548844042855,0.7719489142671228,0.4839580462686717,0.0,0.0,0.0,0.0
26,0,fw,0,1,1,0.85,0.3,12,4,0,0.7417373522557318,0.5043458823300898,0.7449042703211307,0.5027567518502474,0.0,0.0,0.0,0.0
27,0,fw,0,1,1,0.85,0.3,12,4,0,0.7239661292731762,0.5208432411123067,0.7317254672758281,0.4956413653865457,0.0,0.0,0.0,0.0
28,0,fw,0,1,1,0.85,0.3,12,4,0,0.7271573493195077,0.5231299617514015,0.7239829559996724,0.5170127321779728,0.0,0.0,0.0,0.0
29,0,fw,0,1,1,0.85,0.3,12,4,0,0.7426992165111005,0.49837964881987623,0.7149360933341086,0.5284384134970606,0.0,0.0,0.0,0.0
30,0,fw,0,1,1,0.85,0.3,12,4,0,0.727297015733396,0.513850443524619,0.7139658662304282,0.524127794355154,0.0,0.0,0.0,0.0
31,0,fw,0,1,1,0.85,0.3,12,4,0,0.7443674588700135,0.5109862550285955,0.7916184984520078,0.4770580480620265,0.0,0.0,0.0,0.0
32,0,fw,0,1,1,0.85,0.3,12,4,0,0.7010197898310919,0.5430005300821116,0.7185092881601304,0.5156342554837465,0.0,0.0,0.0,0.0
33,0,fw,0,1,1,0.85,0.3,12,4,0,0.7126845570343237,0.5308083184063435,0.7487009724602103,0.49901014875620603,0.0,0.0,0.0,0.0
34,0,fw,0,1,1,0.85,0.3,12,4,0,0.7119906167499721,0.5245510106657942,0.7485848266072571,0.4947227168083191,0.0,0.0,0.0,0.0
35,0,fw,0,1,1,0.85,0.3,12,4,0,0.726182283423841,0.515441734585911,0.7859438656270504,0.4914683053642511,0.0,0.0,0.0,0.0
36,0,fw,0,1,1,0.85,0.3,12,4,0,0.7066944093319277,0.5391400977224111,0.6704671652428806,0.5578152284026145,0.0,0.0,0.0,0.0
37,0,fw,0,1,1,0.85,0.3,12,4,0,0.7282201966581245,0.5034611595080545,0.7177846154849976,0.5350942016020417,0.0,0.0,0.0,0.0
38,0,fw,0,1,1,0.85,0.3,12,4,0,0.7598046680539846,0.491517723921376,0.7343931514769793,0.5021828269725666,0.0,0.0,0.0,0.0
39,0,fw,0,1,1,0.85,0.3,12,4,0,0.6862693585144977,0.5485632252600045,0.7499029114469886,0.4955892780609429,0.0,0.0,0.0,0.0
40,0,fw,0,1,1,0.85,0.3,12,4,0,0.7358060252293944,0.5166824529754619,0.7396301259472966,0.4947627009265125,0.0,0.0,0.0,0.0
41,0,fw,0,1,1,0.85,0.3,12,4,0,0.7016554809175432,0.5288038456998766,0.6743112597614527,0.5682409133482724,0.0,0.0,0.0,0.0
42,0,fw,0,1,1,0.85,0.3,12,4,0,0.7074681249307468,0.5296779979843026,0.7488580285385251,0.4954230511002243,0.0,0.0,0.0,0.0
