epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,tanh,1,1,1,0.85,0.3,9,3,0,1.199117692311605,0.09106977483878533,1.0009788462519646,0.18738629791419953,1.448445839881897,1.4338580214977263,0.3940255642682314,0.33992333722114565
2,0,tanh,1,1,1,0.85,0.3,9,3,0,0.9725767463445664,0.24459969012920435,0.9550636821985244,0.25775966737419365,1.389893426100413,1.3440231269598006,0.29164195313801367,0.27167069428414103
3,0,tanh,1,1,1,0.85,0.3,9,3,0,0.9294198095301787,0.29777528981911017,0.922084105014801,0.309385500936769,1.288976311882337,1.3160777693986894,0.2680646798958381,0.29267957150191065
4,0,tanh,1,1,1,0.85,0.3,9,3,0,0.8900964525341988,0.3481238401029259,0.9323029668629169,0.31078508388251064,1.2309071218967438,1.212159608900547,0.27495465067028996,0.2844331550374627
5,0,tanh,1,1,1,0.85,0.3,9,3,0,0.8807080298662185,0.3592292438695828,0.8554702351987362,0.38491141409147533,1.2084968158602714,1.213254755437374,0.28446141350393495,0.2870591524243355
6,0,tanh,1,1,1,0.85,0.3,9,3,0,0.8651150396217903,0.37436529256869105,0.8820567770302296,0.37620647554751485,1.2149929943680764,1.1138929453492166,0.2997607458656033,0.29400004760921
7,0,tanh,1,1,1,0.85,0.3,9,3,0,0.8605364263057709,0.38693987843968597,0.8648402871191502,0.38071873591048644,1.1841933253407477,1.2196597692370414,0.313648343389233,0.3229963731393218
8,0,tanh,1,1,1,0.85,0.3,9,3,0,0.8365353239576022,0.4085509028037389,0.786075768917799,0.45795817200094463,1.2271113625168801,1.2890011429786683,0.33127060846239326,0.35034148129075765
9,0,tanh,1,1,1,0.85,0.3,9,3,0,0.8341424612204233,0.41767009659825516,0.8086642363667488,0.444170908741653,1.178653929034869,1.1403702914714813,0.3173362307026982,0.3133007443621755
10,0,tanh,1,1,1,0.85,0.3,9,3,0,0.8281170458222429,0.4222347976639867,0.8319718369841576,0.4187676373042632,1.1664170494675636,1.1885840871930122,0.3193457591334979,0.33147382085025306
11,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7980754811813434,0.4483869753560672,0.810649153739214,0.44041488711722193,1.1905000894268354,1.1985801348090173,0.3293648514697949,0.3305983040630817
12,0,tanh,1,1,1,0.85,0.3,9,3,0,0.797323078935345,0.45472720767759406,0.7822577394545078,0.46968095008516686,1.2018368417024612,1.2411134362220764,0.3401377609098951,0.35077458089590074
13,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7895303034782409,0.46601800863592263,0.7826347174495458,0.47382952203159223,1.1850680275758108,1.1998792010545731,0.3335738767211636,0.3329793730303645
14,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7837956849485636,0.47058548947641005,0.7602829740196466,0.48884318872354926,1.2043605650464693,1.259566285610199,0.3445737738385796,0.3638221244364977
15,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7513795567552248,0.5018132527940906,0.7840066161006689,0.4814561341376975,1.1956257448593774,1.2037627336382866,0.3492554116100073,0.3517844962403178
16,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7436545062686006,0.5110912732644162,0.7869674777984619,0.47229483145289125,1.190668488939603,1.1348674383759498,0.35585703765849275,0.3403775472715497
17,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7615118013074,0.49756030771803733,0.7753226745128632,0.4770388513058424,1.1805622002482414,1.151851400732994,0.35066542007525764,0.33675092919170857
18,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7616223405425747,0.4932510125703023,0.7767506945133209,0.46959764931350945,1.207025151749452,1.2410005214810371,0.3550507259443403,0.37272253790497784
19,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7496468831474582,0.5035150423058076,0.7315047804266215,0.5142945028468966,1.1901497168342272,1.1784027671813966,0.3597057088315487,0.3620214611589908
20,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7176115366816521,0.5340059106410869,0.6965924993157386,0.5447469192091375,1.1962327126661936,1.2408530992269515,0.36628615673879783,0.37062702037394046
21,0,tanh,1,1,1,0.85,0.3,9,3,0,0.7407669741412004,0.5119439860782586,0.7579004842042923,0.49814567050896585,1.187081103225549,1.1583422541618347,0.3548837902545929,0.3582790872454643
