epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,tanh,1,1,1,0.95,0.3,12,3,2,0.9973729435790331,0.20449014670592733,0.8493151076231151,0.3698528733560815,67.9840369714737,7.018725305557251,0.2690950549219336,0.31747190794135843
2,0,tanh,1,1,1,0.95,0.3,12,3,2,0.7553375338982791,0.48495119948498905,0.6900638571726159,0.5626171496305614,5.027702082300186,4.311394592761993,0.26427987393013075,0.21320427132930075
3,0,tanh,1,1,1,0.95,0.3,12,3,2,0.6384429300634656,0.5941361071223393,0.5790646349526942,0.6293585427645594,4.668969853997231,5.097325793743133,0.20452663808720453,0.18694800635107928
4,0,tanh,1,1,1,0.95,0.3,12,3,2,0.5961202206546441,0.6287548359907232,0.5486028318274766,0.6533926191767677,4.917144699072838,5.186438393473625,0.16657183659545013,0.1520597879184144
5,0,tanh,1,1,1,0.95,0.3,12,3,2,0.5739241834614426,0.6415026711080223,0.5553987770252861,0.6615353462928906,4.928177896094322,4.80136358165741,0.13942275396968637,0.12455060030732835
6,0,tanh,1,1,1,0.95,0.3,12,3,2,0.544386874542199,0.6622143482577055,0.5327232321836054,0.6595645416285842,5.053701208138466,5.004445977091789,0.12200394046391759,0.11656395643736636
7,0,tanh,1,1,1,0.95,0.3,12,3,2,0.5314028743305709,0.6741721896994859,0.5158068741294556,0.6832446805499494,5.259060465192795,5.372946047306061,0.10808108226486615,0.10377276367374828
8,0,tanh,1,1,1,0.95,0.3,12,3,2,0.5144691564456094,0.6829697327777743,0.5421312569398433,0.6684890652741305,5.395087387847901,5.118196756839752,0.0982612816120897,0.09110313586890698
9,0,tanh,1,1,1,0.95,0.3,12,3,2,0.5091255381472409,0.6829306058523246,0.5213183329980821,0.6795019920850173,5.493912804889679,5.6098742094039915,0.08931509591979639,0.08461831889195102
10,0,tanh,1,1,1,0.95,0.3,12,3,2,0.5024854281165172,0.6883090054036118,0.4679376764870249,0.7105325550436974,5.657911105465889,5.717054080963135,0.08176681318283081,0.0793465137971299
11,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4896830216695089,0.7002463348960504,0.5093875348381698,0.6863928489359096,5.698881145167351,5.776670567750931,0.0750500225348132,0.07271944149264267
12,0,tanh,1,1,1,0.95,0.3,12,3,2,0.48851036056298763,0.7043790793030523,0.5053528139363043,0.7068397325761616,5.7310011590480805,5.631809137105941,0.06972564206080778,0.06582429444151265
13,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4891030274824705,0.7017244378756732,0.4955151960020885,0.7057149351201951,5.683654507422447,5.595868278265,0.06568695143759251,0.06289452922131335
14,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4808650389817543,0.7104947419932112,0.45386138440063223,0.7219530096631497,5.687093897485733,6.022631031751633,0.06184138101552214,0.06135894593596458
15,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4757662722711917,0.709374529982172,0.47184479563683274,0.7203080249764026,5.818542078828812,5.928848025560379,0.0589892182712044,0.057584566018411096
16,0,tanh,1,1,1,0.95,0.3,12,3,2,0.48286164462482556,0.7062134304186329,0.501993579977192,0.7032702911272645,5.664342241191864,5.813299519062042,0.055011337158083914,0.05340584836687361
17,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4813063868515659,0.7076640644147992,0.5078838034747168,0.7018155313692988,5.6456870599985125,5.632115552663803,0.05202429781854152,0.04849371971828597
18,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4711343911862001,0.7140879211486317,0.46091515039931985,0.7197002551760524,5.598045123910904,5.380215539455413,0.04950792721978256,0.0482535337294851
19,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4743363360008225,0.7139432517348788,0.5084840129748918,0.683234322533477,5.562567154121399,5.717808066129685,0.04704866478954043,0.046824367314577106
20,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4679495976609411,0.7188776324247942,0.49778691433556377,0.6928540764395148,5.481523257350922,5.5725417754650115,0.044888787408385956,0.044911179391401164
21,0,tanh,1,1,1,0.95,0.3,12,3,2,0.46973606990724803,0.7128573424421251,0.46041039732564243,0.7177336463211105,5.436556056809425,5.165828281283378,0.042970733875461985,0.04198817111977509
22,0,tanh,1,1,1,0.95,0.3,12,3,2,0.47069036812419074,0.7114207909619435,0.44959571947297083,0.7243630802407861,5.45128267762661,5.58319242811203,0.041781998269472806,0.042663307196327625
23,0,tanh,1,1,1,0.95,0.3,12,3,2,0.46339895214880816,0.7172310194568708,0.45815016093291344,0.7164436980644241,5.505776886081695,5.690746712803841,0.04097924269778388,0.04236872304337365
24,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4632079748162534,0.7159760479975492,0.46079461043467745,0.7174896731860936,5.511650865912437,5.576020560741425,0.039936304237161366,0.03878019878268242
25,0,tanh,1,1,1,0.95,0.3,12,3,2,0.46654350617164747,0.7149324976887554,0.4507341532446444,0.7219605432255194,5.460193201375008,5.485609769105912,0.038880977447543826,0.038547977690185815
26,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4614006198827643,0.7184004897307604,0.45295854151889214,0.7260048736725002,5.472076174235344,5.293608060956001,0.03747401024614061,0.03619168484210968
27,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4623618448664201,0.7160493841841817,0.4956759151262231,0.7059086384410038,5.544280146718025,6.01305387878418,0.03657322654638972,0.036811032356960434
28,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4620382812981028,0.718182762272656,0.5372203928604722,0.7073054429292679,5.592791605806351,6.046219489574432,0.035813376075880865,0.03440777158311435
29,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4583603574610781,0.7199553390614688,0.4500230055816937,0.7219125313796103,5.638914497375488,5.745378845453263,0.035078161799481936,0.035155521429010794
30,0,tanh,1,1,1,0.95,0.3,12,3,2,0.45727533860015684,0.7257279897575266,0.45359281745366753,0.7249960558265448,5.590952239012718,5.326146360397339,0.033797458790455544,0.03337133582362107
31,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4479004753287416,0.7315155760055407,0.4344354017120786,0.7361219796966761,5.5263450801372525,5.52876881814003,0.0334173172720841,0.03314102350388255
32,0,tanh,1,1,1,0.95,0.3,12,3,2,0.44793275421289724,0.7328231181787327,0.4650841894475743,0.720228043179959,5.577678732085228,5.845242047309876,0.03333366421546255,0.03395800664808069
