step,kind,class_id,froA,specA,h_norm,Ah_norm
0,bind,1,0.0012313153129070997,0.001231315196491778,0.06406547129154205,7.888479740358889e-05
1,bind,1,0.001199223450385034,0.0011943757999688387,0.0189488735049963,2.0411337118275696e-06
2,bind,0,0.0028027428779751062,0.002740632975474,0.08472045511007309,0.00022414537670556456
3,bind,3,0.00313802738673985,0.003083528485149145,0.04241713508963585,0.00011832529708044603
4,bind,0,0.0031612541060894728,0.003107613418251276,0.027417436242103577,6.243240204639733e-05
5,bind,2,0.0036286732647567987,0.0031955153681337833,0.07617910206317902,0.000156701251398772
6,bind,3,0.0035198309924453497,0.0030996676068753004,0.0002870778553187847,7.732614335509425e-07
7,bind,3,0.0034142357762902975,0.003006677608937025,0.0,0.0
8,bind,1,0.003314996138215065,0.0029196403920650482,0.005741103086620569,9.823736036196351e-06
9,bind,2,0.00553097715601325,0.005300461780279875,0.09567967057228088,0.000494633917696774
10,bind,0,0.006441512610763311,0.006126233376562595,0.07870899140834808,0.0003885303740389645
11,bind,2,0.006720423232764006,0.006278869695961475,0.06010964885354042,0.0002446634171064943
12,wait,-1,0.009743448346853256,0.007860749959945679,0.14705894887447357,0.0010866677621379495
13,wait,-1,0.014683068729937077,0.013452602550387383,0.14350661635398865,0.0019168411381542683
14,query,3,0.014683068729937077,0.013452602550387383,0.0,0.0
