step,kind,class_id,froA,specA,h_norm,Ah_norm
0,bind,0,0.22945550084114075,0.22945551574230194,0.8745579719543457,0.20067213475704193
1,bind,1,0.4266698956489563,0.42612189054489136,0.8663505911827087,0.36028218269348145
2,bind,0,1.433890461921692,1.432687759399414,1.8788368701934814,2.6787421703338623
3,bind,2,2.1218044757843018,2.111818313598633,1.732236385345459,3.4276933670043945
4,bind,2,2.5103814601898193,2.495361566543579,1.3198126554489136,3.099428415298462
5,bind,3,3.037487506866455,2.994624614715576,1.6738179922103882,4.376472473144531
6,bind,0,4.298738956451416,4.269564628601074,2.152226448059082,9.13414478302002
7,bind,1,4.825374603271484,4.79892635345459,1.5462391376495361,7.150903701782227
8,bind,1,5.4732890129089355,5.448359489440918,1.6927390098571777,8.918084144592285
9,bind,3,5.781928539276123,5.759437084197998,1.2716928720474243,7.250474452972412
10,bind,3,6.195273399353027,6.174037456512451,1.4221938848495483,8.654640197753906
11,bind,2,7.653796195983887,7.63264799118042,2.4166259765625,18.001420974731445
12,wait,-1,9.59183406829834,9.242831230163574,3.800825357437134,27.487327575683594
13,wait,-1,9.595372200012207,9.048301696777344,1.6828469038009644,7.014636516571045
14,query,1,9.595372200012207,9.048301696777344,0.17743435502052307,0.07871223986148834
