step,kind,cid,froA,specA,h_norm,Ah_norm
0,bind,4,0.7832589149475098,0.48052507638931274,1.6158164739608765,1.2656025886535645
1,bind_noise,-1,0.6870072484016418,0.3020237982273102,0.7139066457748413,0.1434570848941803
2,bind,2,0.5844361782073975,0.18575835227966309,0.21576553583145142,0.018373891711235046
3,bind_noise,-1,0.7632406949996948,0.41922521591186523,1.1061776876449585,0.7571071982383728
4,bind,1,0.7584969997406006,0.2672404944896698,1.1261245012283325,0.4483538269996643
5,bind,0,0.746571958065033,0.16735564172267914,1.077561855316162,0.4119347035884857
6,bind,0,0.7781829237937927,0.180289626121521,1.1326191425323486,0.5394465923309326
7,bind,1,0.6650818586349487,0.11094141006469727,0.44496479630470276,0.039840247482061386
8,bind,3,0.6663384437561035,0.09527730941772461,0.9253026843070984,0.3615966737270355
9,bind_noise,-1,0.5671054124832153,0.05869784206151962,0.1729888617992401,0.017050208523869514
10,bind,5,0.6446137428283691,0.13134531676769257,1.0310182571411133,0.48146337270736694
11,bind_noise,-1,0.5896898508071899,0.10788621008396149,0.5793232917785645,0.2007376253604889
12,bind_noise,-1,0.6367036700248718,0.11380660533905029,0.9421014785766602,0.40969470143318176
13,bind,3,0.6275816559791565,0.10355018079280853,0.802132248878479,0.30962398648262024
14,bind,5,0.5400223135948181,0.06492415070533752,0.4806104302406311,0.05483264476060867
15,bind,2,0.6963905096054077,0.1832711398601532,1.1725833415985107,0.6423359513282776
16,bind_noise,-1,0.631939172744751,0.14387483894824982,0.5926690101623535,0.21320700645446777
17,bind,4,0.8144516944885254,0.33999934792518616,1.2241953611373901,0.8046874403953552
18,query,4,0.8144516944885254,0.33999937772750854,0.5219524502754211,0.18773344159126282
