step,kind,class_id,froA,specA,h_norm,Ah_norm
0,bind,0,0.0,0.0,0.06227315217256546,0.0
1,bind,1,0.0,0.0,0.0,0.0
2,bind,0,0.0,0.0,0.19932711124420166,0.0
3,bind,2,0.0,0.0,0.029484059661626816,0.0
4,bind,2,0.0,0.0,0.0,0.0
5,bind,3,0.0,0.0,0.2920358180999756,0.0
6,bind,0,0.0,0.0,0.1527349054813385,0.0
7,bind,1,0.0,0.0,1.3025734424591064,0.0
8,bind,1,0.0,0.0,0.9634817838668823,0.0
9,bind,3,0.0,0.0,0.6740135550498962,0.0
10,bind,3,0.0,0.0,0.7366353869438171,0.0
11,bind,2,0.0,0.0,0.6299259662628174,0.0
12,wait,-1,0.0,0.0,5.427016735076904,0.0
13,wait,-1,0.0,0.0,1.2851955890655518,0.0
14,query,1,0.0,0.0,0.13173508644104004,0.0
