step,kind,class_id,froA,specA,h_norm,Ah_norm
0,bind,0,2.602924346923828,2.602924346923828,2.945575475692749,7.667109966278076
1,bind,1,2.8562419414520264,2.6498982906341553,1.9924596548080444,2.9351587295532227
2,bind,0,4.663348197937012,4.544920921325684,2.5993478298187256,11.73198413848877
3,bind,2,4.727809906005859,4.533580303192139,1.6683396100997925,3.52809476852417
4,bind,2,4.954068660736084,4.60480260848999,1.714560627937317,4.8265533447265625
5,bind,3,5.0492048263549805,4.657461643218994,1.29303777217865,4.147312641143799
6,bind,0,6.1164870262146,5.81068229675293,2.101693868637085,12.111166954040527
7,bind,1,6.489014148712158,5.969144344329834,2.095249891281128,7.950085639953613
8,bind,1,6.989749908447266,6.278358459472656,2.049348831176758,9.67920207977295
9,bind,3,7.036784648895264,6.340870380401611,1.237620234489441,6.048396110534668
10,bind,3,7.07995080947876,6.4005513191223145,1.1925640106201172,6.060433387756348
11,bind,2,7.31718635559082,6.590608596801758,1.7726589441299438,8.18603515625
12,wait,-1,7.358804225921631,6.660121917724609,1.1437054872512817,6.43818473815918
13,wait,-1,7.366034507751465,6.694344520568848,1.0477319955825806,6.029908180236816
14,query,1,7.366034507751465,6.694344520568848,1.5052372217178345,9.020816802978516
