step,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49],h[50],h[51],h[52],h[53],h[54],h[55],h[56],h[57],h[58],h[59]
0,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8906287550926208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03961963206529617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353440761566162,0.0,0.0,0.0,0.0,0.0,0.05100175738334656,0.0
1,bind,1,0.3022564947605133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1035048961639404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1996903270483017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1956626176834106,0.0,0.0,0.0,0.0,0.0,0.0056953285820782185,0.0
2,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3058141469955444,0.031429316848516464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.349279761314392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021886572241783142,0.0,0.0,0.0,0.0,0.0,1.071916103363037,0.616676926612854,0.0,0.0,0.0,0.0,0.0,0.0
4,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2039424329996109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028068091720342636,0.0,0.0,0.0,0.9975746870040894,0.0,0.0,0.0,0.0,0.0,0.0009301003883592784,0.0,0.0,0.21522767841815948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1674214601516724,0.5165959596633911,0.0,0.0,0.0,0.0,0.0,0.0
5,bind,3,0.0,0.0,0.0,0.0,0.0,0.3562479615211487,0.0,0.0,0.02121727354824543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43218064308166504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2380552291870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3392068147659302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46540606021881104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3351728916168213,0.0,0.0,0.0,0.0,0.0,0.025651047006249428,0.0
7,bind,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3968373537063599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5574585199356079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2368993759155273,0.2219689041376114,0.0,0.0,0.0,0.0,0.0,0.0
8,bind,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08853602409362793,0.8171094059944153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030894163995981216,0.0,0.0,0.0,0.0,0.1469331979751587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5466076135635376,0.0,0.0,0.0,0.0,0.0,1.301279067993164,0.0,0.0,0.0,0.0,0.0,0.1546393483877182,0.0
9,bind,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37012165784835815,0.0,1.0383037328720093,0.0,0.0,0.0,0.0,0.2161092460155487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7490971088409424,0.0,0.0,0.0,0.0,1.2218049764633179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,bind,3,0.0,0.0,0.0,0.0,0.0,0.5967134833335876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599754810333252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003954295534640551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2198925018310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07956482470035553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22768163681030273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16285744309425354,0.0,0.0,0.0,0.0,0.0,0.06481277197599411,0.0,0.0,0.0,0.0,1.1343873739242554,0.6989691257476807,0.0,0.0,0.0,0.0,0.0,0.0
12,wait,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1608704924583435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002811312675476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27156028151512146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.128063678741455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,wait,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031438444275408983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10125674307346344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0137213468551636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,query,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088494837284088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4095369577407837,0.3857360780239105,0.0,0.0,0.0,0.0,0.0,0.0
