step,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49],h[50],h[51],h[52],h[53],h[54],h[55],h[56],h[57],h[58],h[59]
0,bind,0,0.0,0.20432211458683014,0.0,0.0,0.6037759184837341,0.0,0.12600088119506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04180550575256348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6749996542930603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,bind,1,0.0,0.22710375487804413,0.0,0.0,0.3340931236743927,0.23776796460151672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621589183807373,0.0,0.0,0.0,0.0,0.0,0.36980417370796204,0.0,0.0,0.0,1.5084741115570068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,bind,0,0.0,0.0,0.0,0.0,0.042888253927230835,0.0,0.28039801120758057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6053147912025452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3374937772750854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,bind,2,0.0,0.0,0.0,0.0,0.18863952159881592,0.0,0.0,0.0,0.10951846837997437,0.0,0.0,0.0,0.0,0.021579453721642494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11038066446781158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7476834654808044,0.0,0.0,0.8547124862670898,0.0,0.017884552478790283,0.0,0.0,0.0,0.0,0.0
4,bind,2,0.0,0.015133893117308617,0.0,0.0,0.34707286953926086,0.5078626871109009,0.010524562560021877,0.0,0.25311222672462463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03412584587931633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6457562446594238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,bind,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014782086946070194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07309654355049133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637401282787323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8963574171066284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,bind,0,0.0,0.1758245825767517,0.0,0.0,0.22753645479679108,0.0,0.30689841508865356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3310214579105377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4114920198917389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.002380609512329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,bind,1,0.0,0.0,0.0,0.0,0.0,0.473859965801239,0.0,0.0,0.2032245248556137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5581663250923157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46010833978652954,0.03485790640115738,0.0,0.0,1.4050158262252808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,bind,1,0.0,0.0,0.0,0.0,0.21175464987754822,0.0,0.0,0.0,0.011659828014671803,0.0,0.5523461103439331,0.0,0.0,0.0,0.8858784437179565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.143637776374817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,bind,3,0.006806505378335714,0.0,0.0,0.01790321059525013,0.04883718863129616,0.12897349894046783,0.0,0.0,0.6117799878120422,0.0,0.0,0.0,0.0,0.0,0.0,0.6902363896369934,0.0,0.0,0.0,0.0,0.6136684417724609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044670794159173965,0.0,1.1245440244674683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0216236114501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
