t,s,vec_type,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49],h[50],h[51],h[52],h[53],h[54],h[55],h[56],h[57],h[58],h[59]
0,-1,base,bind,1,0.12983746826648712,0.12414348125457764,0.10916133224964142,-0.014879248104989529,0.08493387699127197,0.020962342619895935,0.07831542193889618,0.007646985352039337,0.12055380642414093,0.004753107205033302,-0.053322188556194305,0.0980752632021904,0.06714345514774323,0.11613358557224274,0.08466038107872009,0.0693196952342987,0.1197231262922287,0.03673738241195679,0.09982715547084808,0.06372042000293732,0.049584873020648956,0.051039934158325195,-0.10965406894683838,0.07235512137413025,0.10239199548959732,0.046910591423511505,0.0788470134139061,-0.02724245935678482,0.07187724113464355,0.07615552097558975,0.10050554573535919,-0.0712825283408165,-0.08911280333995819,0.1435869187116623,-0.10962802916765213,-0.025362923741340637,0.012414542958140373,-0.32958218455314636,0.006967850029468536,-0.003960162401199341,-0.07460431009531021,0.03201109170913696,0.009758085012435913,0.03506370633840561,0.1284814178943634,-0.1431339681148529,0.05767897889018059,0.1464429795742035,0.0778731256723404,-0.028967998921871185,0.10981728136539459,0.013341296464204788,0.2875044345855713,0.13024337589740753,0.12650920450687408,-0.0699438601732254,0.07796363532543182,0.06624341756105423,-0.06151594966650009,-0.021591708064079285
0,0,hs,bind,1,0.0,0.0,0.046069055795669556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010025069117546082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042571090161800385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008320242166519165,0.0,0.0,0.0
0,1,hs,bind,1,0.0,0.0,0.046069055795669556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010025069117546082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042571090161800385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008320242166519165,0.0,0.0,0.0
1,-1,base,bind,1,0.09361894428730011,0.16210567951202393,0.06951598823070526,0.016520846635103226,0.16222873330116272,0.03362532705068588,0.18599066138267517,0.08368486166000366,0.10336753726005554,0.05959850177168846,0.046389140188694,0.05419960618019104,0.09217631071805954,0.14495685696601868,0.15262898802757263,0.06168017163872719,0.10997981578111649,0.14238899946212769,0.16434387862682343,0.05079345405101776,0.04646202176809311,0.1149015724658966,-0.08001495897769928,0.09610886871814728,0.053595446050167084,0.06387817114591599,0.10080286860466003,0.14087443053722382,0.03366736322641373,-0.02283639833331108,-0.05025636404752731,0.04507836699485779,-0.01482188981026411,0.13051366806030273,-0.06829443573951721,-0.039343349635601044,-0.014310192316770554,-0.2688101828098297,0.09775598347187042,0.06537213176488876,-0.040830738842487335,0.10086175799369812,0.07016924023628235,0.11707844585180283,0.10998168587684631,-0.035977281630039215,0.05403314530849457,0.03161567449569702,0.14674583077430725,0.14946475625038147,0.05530353635549545,-0.0046527571976184845,0.3032535910606384,0.1550856977701187,0.12192867696285248,0.05965186655521393,0.01807018555700779,0.059009283781051636,0.005978026892989874,0.06453657150268555
1,0,hs,bind,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007084969896823168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017574498429894447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,hs,bind,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007084969896823168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017574498429894447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-1,base,bind,0,0.11238189786672592,0.17147397994995117,0.18198509514331818,0.036111146211624146,0.13993078470230103,0.0687033012509346,0.16695323586463928,0.10095641016960144,0.20238274335861206,0.05656428635120392,0.047908324748277664,0.057949915528297424,0.06722410023212433,0.2057444006204605,0.1563432812690735,0.04510825499892235,0.139859139919281,0.08718009293079376,0.18010294437408447,-0.01887086033821106,0.06731650978326797,0.07122541218996048,-0.07807981967926025,0.10163269937038422,0.16615809500217438,0.014211921021342278,0.07070952653884888,0.09069118648767471,0.020600857213139534,0.06720396876335144,0.03220667690038681,0.03847600519657135,0.004104699939489365,0.13482283055782318,-0.02408798411488533,0.04782124608755112,0.011004431173205376,-0.3794288635253906,0.15675212442874908,-0.07632647454738617,0.03204634040594101,0.12850821018218994,0.04481827840209007,0.09281539916992188,0.15912827849388123,-0.049975115805864334,0.1033148244023323,0.03692314773797989,0.13609257340431213,0.02891438454389572,0.15394185483455658,0.06423452496528625,0.3824889063835144,0.11051870137453079,0.10233952850103378,0.1077364981174469,0.0758669376373291,0.043392717838287354,0.00837075524032116,0.031352922320365906
2,0,hs,bind,0,0.0,0.0,0.0716652125120163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451325848698616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,hs,bind,0,0.0,0.0,0.07169882208108902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04513130336999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1,base,bind,3,0.07637453824281693,0.20801874995231628,0.1532926857471466,-0.09391428530216217,0.1347140520811081,0.053747642785310745,0.1918177455663681,0.08027073740959167,0.1334647685289383,-0.10846278071403503,0.03376508504152298,0.09787117689847946,0.09471417963504791,0.18273389339447021,0.16738855838775635,0.04475675895810127,0.12566199898719788,0.1434781849384308,0.1372908353805542,0.1136709600687027,0.1091659814119339,0.11278681457042694,-0.055777017027139664,0.10540461540222168,0.15161453187465668,0.024318300187587738,0.13439732789993286,0.10233821719884872,0.035178519785404205,0.03265684098005295,0.08713258802890778,0.076378233730793,0.018686560913920403,0.16532444953918457,-0.0773954764008522,-0.010922897607088089,-0.024698778986930847,-0.45158809423446655,0.07305452227592468,0.021899938583374023,-0.03707696124911308,0.06695294380187988,0.11559440195560455,0.1399356722831726,0.1274336874485016,-0.014490591362118721,0.13147494196891785,0.07962304353713989,0.1521432250738144,0.1414584517478943,0.06704327464103699,0.07044407725334167,0.4445762038230896,0.055019788444042206,0.13099223375320435,0.06297437846660614,0.06630925089120865,0.08474564552307129,-0.15204155445098877,0.0631629154086113
