t,s,vec_type,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49],h[50],h[51],h[52],h[53],h[54],h[55],h[56],h[57],h[58],h[59]
0,-1,base,bind,0,-0.5277858972549438,3.598557472229004,-0.805621862411499,8.527729988098145,3.5293374061584473,-1.7739343643188477,4.984344482421875,4.2967610359191895,1.1624972820281982,-1.0628297328948975,5.022356033325195,-0.4672527313232422,-0.4489905834197998,8.195674896240234,8.185574531555176,5.716456413269043,5.262537002563477,-1.2825987339019775,-3.143278121948242,0.37366560101509094,-0.4449220895767212,10.976572036743164,1.0716710090637207,7.34232234954834,0.22211921215057373,4.680833339691162,1.9145550727844238,0.7354354858398438,0.02581465244293213,1.6471014022827148,0.1830453872680664,-2.7140417098999023,5.937695503234863,1.1506984233856201,7.26988410949707,-4.331695556640625,7.1102213859558105,2.8931527137756348,8.41360855102539,10.580931663513184,9.24376392364502,-2.147663116455078,4.933743476867676,7.455722808837891,-2.685661792755127,4.28992223739624,0.7627792954444885,-0.16640788316726685,-1.6043751239776611,4.438386917114258,10.81573486328125,7.174646854400635,22.492984771728516,1.2620738744735718,4.007640838623047,-1.454695701599121,7.02833890914917,-0.4446764290332794,1.812551498413086,7.227669715881348
0,0,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8906287550926208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03961963206529617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353440761566162,0.0,0.0,0.0,0.0,0.0,0.05100175738334656,0.0
0,1,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8906287550926208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03961963206529617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353440761566162,0.0,0.0,0.0,0.0,0.0,0.05100175738334656,0.0
1,-1,base,bind,1,4.557128429412842,5.0880560874938965,5.759802341461182,6.955369472503662,8.268721580505371,3.1480822563171387,8.060157775878906,4.664777755737305,2.210660457611084,6.873945236206055,-0.4795148968696594,-2.4294848442077637,2.2545626163482666,4.408808708190918,14.023053169250488,6.537571430206299,9.751370429992676,2.4423649311065674,-0.4364279806613922,1.2244590520858765,-3.141489028930664,8.650619506835938,1.4893876314163208,10.009073257446289,-2.90427827835083,5.542613983154297,-0.47572988271713257,-2.549402952194214,0.8934433460235596,4.549383640289307,-0.733191192150116,3.4402616024017334,10.346004486083984,-1.5677707195281982,6.642163276672363,1.877114176750183,11.22676944732666,6.014785289764404,12.734941482543945,4.879335403442383,10.397603988647461,-0.22074425220489502,7.747698783874512,7.410695552825928,0.11385607719421387,7.510290145874023,1.4837177991867065,0.3503275513648987,-0.3316219449043274,7.9903106689453125,9.65434455871582,8.146012306213379,14.380417823791504,2.595531940460205,0.6804255247116089,-0.27861857414245605,7.896966457366943,-2.6709141731262207,2.4422550201416016,5.80405330657959
1,0,hs,bind,1,0.30691805481910706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1122606992721558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20472842454910278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1835126876831055,0.0,0.0,0.0,0.0,0.0,0.0044199153780937195,0.0
1,1,hs,bind,1,0.3022564947605133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1035048961639404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1996903270483017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1956626176834106,0.0,0.0,0.0,0.0,0.0,0.0056953285820782185,0.0
2,-1,base,bind,0,-4.0402984619140625,6.647624969482422,-1.1280725002288818,12.525053024291992,5.841144561767578,2.8358943462371826,7.186576843261719,5.175880432128906,-0.3421400189399719,-1.40392005443573,7.621364593505859,3.37058687210083,-0.9526647329330444,9.470733642578125,8.482065200805664,6.119102478027344,6.40655517578125,0.05755138397216797,-2.006925582885742,-0.482665091753006,2.795013904571533,12.53232192993164,0.8330303430557251,9.705318450927734,0.38218504190444946,7.574494361877441,2.587817668914795,1.9362516403198242,0.8120722770690918,1.2652356624603271,2.389592409133911,-2.543015241622925,7.318740367889404,0.7727134823799133,11.639862060546875,-3.8823447227478027,9.218209266662598,3.720294713973999,9.555516242980957,11.994338035583496,8.319707870483398,0.34038496017456055,8.057747840881348,9.866313934326172,0.5995137691497803,6.122844219207764,2.0221033096313477,1.151986837387085,-0.9432452321052551,6.397685527801514,13.684066772460938,9.232486724853516,25.065505981445312,1.029829978942871,8.24640941619873,-0.5562495589256287,10.087684631347656,1.4086735248565674,0.5382120609283447,8.95801067352295
2,0,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1464725732803345,0.03764260187745094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3283934593200684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3058141469955444,0.031429316848516464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.349279761314392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1,base,bind,2,-0.7761410474777222,9.756265640258789,6.47238826751709,8.619741439819336,9.870773315429688,2.0031909942626953,8.57460880279541,7.352001667022705,1.3164114952087402,2.699617862701416,0.7969547510147095,2.3095579147338867,-0.7521923780441284,5.745250225067139,8.959814071655273,7.0592193603515625,8.856772422790527,1.9238848686218262,3.2367208003997803,-0.9739348888397217,1.4464536905288696,7.856318473815918,2.3555057048797607,9.147130012512207,3.5935091972351074,8.406240463256836,-3.1081831455230713,0.6326726675033569,1.7560151815414429,5.2831315994262695,-1.5960447788238525,1.224772572517395,8.652730941772461,1.4473936557769775,9.512701034545898,-1.9697216749191284,10.1697416305542,10.142610549926758,10.151592254638672,7.054166316986084,6.681478023529053,3.527716636657715,8.979080200195312,7.995262145996094,-0.8209155797958374,7.918876647949219,4.247527599334717,1.7525136470794678,1.2820568084716797,9.388799667358398,9.402915000915527,8.272839546203613,7.636460304260254,11.189986228942871,6.70828104019165,1.0834293365478516,9.415613174438477,1.1860921382904053,-3.6217257976531982,6.594559669494629
