t,s,vec_type,kind,class_id,h[0],h[1],h[2],h[3],h[4],h[5],h[6],h[7],h[8],h[9],h[10],h[11],h[12],h[13],h[14],h[15],h[16],h[17],h[18],h[19],h[20],h[21],h[22],h[23],h[24],h[25],h[26],h[27],h[28],h[29],h[30],h[31],h[32],h[33],h[34],h[35],h[36],h[37],h[38],h[39],h[40],h[41],h[42],h[43],h[44],h[45],h[46],h[47],h[48],h[49],h[50],h[51],h[52],h[53],h[54],h[55],h[56],h[57],h[58],h[59]
0,-1,base,bind,0,7.270570278167725,-1.5235531330108643,1.5704494714736938,6.71945333480835,0.4349258542060852,3.8903815746307373,6.226827621459961,-3.0203793048858643,-1.4441863298416138,2.6588022708892822,2.0489439964294434,-2.5232911109924316,8.107728958129883,3.217042922973633,3.6687350273132324,-1.7791889905929565,4.82145881652832,7.918307304382324,-0.9356061220169067,5.879106521606445,1.534574270248413,4.598047733306885,2.1597900390625,-0.014070689678192139,1.8748574256896973,6.390161514282227,-1.890397548675537,-2.6023261547088623,1.348059892654419,4.639328956604004,0.13433420658111572,0.12407942116260529,7.237188816070557,4.81504487991333,-3.556314468383789,-1.5557372570037842,2.3448824882507324,3.190737009048462,-1.1266788244247437,6.512574195861816,0.369991660118103,-0.07494159042835236,5.114058971405029,6.577849864959717,5.5474395751953125,3.2585644721984863,3.5359079837799072,3.329031467437744,-1.2144358158111572,-2.074986457824707,0.2509089410305023,4.590169906616211,7.4156880378723145,6.313120365142822,-1.5815399885177612,0.27230390906333923,0.1958712339401245,3.4365615844726562,9.177726745605469,7.12449836730957
0,0,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15951895713806152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12524668872356415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7292027473449707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893728733062744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15951895713806152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12524668872356415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7292027473449707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893728733062744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1,base,bind,1,7.768824577331543,-0.7461252212524414,-2.824662685394287,10.571044921875,1.6679425239562988,9.476153373718262,9.368694305419922,-0.15358345210552216,1.212087869644165,0.2528266906738281,-0.42556607723236084,-2.3257062435150146,12.315526962280273,-0.33343493938446045,-8.160476684570312,-1.8664937019348145,8.954070091247559,11.120689392089844,2.255113363265991,4.176474571228027,0.6375164985656738,5.284553050994873,8.47796630859375,1.6263519525527954,-0.8257564902305603,12.045530319213867,2.2131404876708984,1.4760394096374512,-1.4476908445358276,1.817300796508789,-2.5178945064544678,2.5857341289520264,7.223001003265381,10.013530731201172,-0.024836987257003784,2.263488531112671,9.180593490600586,9.958026885986328,-0.5619529485702515,13.089761734008789,-0.6764507293701172,-2.34592866897583,10.29751205444336,7.254093170166016,0.3985784649848938,5.4344482421875,7.814728260040283,7.644901275634766,6.74851131439209,2.1394436359405518,-3.1644785404205322,8.712268829345703,25.03860855102539,10.758397102355957,-1.3474045991897583,4.942070960998535,-1.0736215114593506,9.114017486572266,6.334810733795166,8.542236328125
1,0,hs,bind,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4228112697601318,0.0,0.0,0.0,1.3270511627197266,0.0,0.0,0.4295583963394165,0.0,0.0,0.0,0.0
1,1,hs,bind,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42276930809021,0.0,0.0,0.0,1.3270742893218994,0.0,0.0,0.42953088879585266,0.0,0.0,0.0,0.0
2,-1,base,bind,0,9.204654693603516,-1.0623445510864258,-0.21848614513874054,10.845593452453613,3.4060850143432617,10.27025318145752,10.174894332885742,-1.4729876518249512,-2.9570438861846924,6.059378623962402,3.9079062938690186,3.4005579948425293,12.54256820678711,4.996771812438965,1.082949161529541,-2.682605028152466,6.206273078918457,9.038015365600586,-2.125584840774536,4.00250768661499,2.4848849773406982,7.087353229522705,5.496272087097168,1.7829296588897705,2.736823081970215,11.337804794311523,0.6513957977294922,1.647646427154541,1.5230226516723633,5.724148750305176,4.771082878112793,1.411603569984436,8.352882385253906,8.507932662963867,-2.020455837249756,-0.9110586643218994,7.467041015625,7.137133598327637,-1.5336745977401733,10.435653686523438,-0.14594559371471405,0.6624634861946106,9.143839836120605,9.203320503234863,7.863548278808594,7.290759563446045,8.967326164245605,7.759530544281006,-1.0575929880142212,-1.2147225141525269,1.0498794317245483,7.605401992797852,18.348587036132812,11.236433029174805,-0.9332248568534851,-1.9421024322509766,-0.9568440318107605,8.891199111938477,9.97059440612793,10.38824462890625
2,0,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31558656692504883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38924866914749146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1168298721313477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2356772422790527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31618767976760864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872581422328949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2304320335388184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2376744747161865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1,base,bind,2,9.015022277832031,-0.3075431287288666,-1.973470687866211,6.508347511291504,0.07453864812850952,6.316472053527832,7.7961320877075195,2.545238733291626,1.837876558303833,3.0518345832824707,-0.10423901677131653,-3.062872886657715,8.607917785644531,3.9905502796173096,3.2239387035369873,-0.10238192975521088,11.652894973754883,10.420801162719727,-0.82675701379776,8.924081802368164,1.740623950958252,8.283652305603027,9.314414024353027,1.80367112159729,-2.5567286014556885,7.13869571685791,1.7096009254455566,-0.36295101046562195,1.1885896921157837,9.235422134399414,2.8097896575927734,-0.12351082265377045,8.320887565612793,9.652088165283203,-0.884896993637085,-1.189349889755249,7.294130802154541,8.267593383789062,0.44707295298576355,7.884204864501953,-2.508840799331665,1.0876599550247192,8.64322280883789,7.696916580200195,-0.41855889558792114,8.825155258178711,8.20464038848877,7.570350646972656,1.3590573072433472,-0.04821072146296501,2.4848556518554688,7.891666412353516,17.74295425415039,7.0114288330078125,7.043815612792969,-1.2423628568649292,3.135795831680298,7.55988883972168,7.461697578430176,9.030930519104004
3,0,hs,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2522931098937988,0.0,1.102262020111084,0.0,0.0,0.0,0.0,0.0
3,1,hs,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2525198459625244,0.0,1.1020667552947998,0.0,0.0,0.0,0.0,0.0
4,-1,base,bind,2,7.17924690246582,-0.5723969340324402,-1.5426956415176392,7.121480464935303,-0.7958440184593201,5.3159661293029785,7.994955062866211,2.3751564025878906,0.05527627468109131,2.2457008361816406,-0.5794194936752319,-1.3334014415740967,8.484380722045898,6.620863914489746,12.044389724731445,-0.28280165791511536,11.15325927734375,8.427818298339844,0.34357377886772156,10.949572563171387,1.72560715675354,6.501754283905029,9.496969223022461,1.8637216091156006,-1.5250943899154663,8.495391845703125,0.6601937413215637,0.07124495506286621,1.2083369493484497,5.72526741027832,2.0160024166107178,-0.15505339205265045,7.3975138664245605,8.776687622070312,-0.6583462357521057,0.23360326886177063,6.587636947631836,8.549797058105469,-1.905666708946228,9.389007568359375,-2.65527081489563,0.6228109002113342,7.419196128845215,6.192434310913086,-1.8152751922607422,6.000141143798828,5.403377532958984,5.640549659729004,2.5382745265960693,2.6334080696105957,0.26807156205177307,7.787101745605469,21.141319274902344,7.025766372680664,6.802315711975098,-0.2962668836116791,-0.277976393699646,6.16619873046875,6.418146133422852,6.711215496063232
4,0,hs,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3304036855697632,0.0,1.0773651599884033,0.0,0.0,0.0,0.0,0.0
4,1,hs,bind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3311551809310913,0.0,1.0806220769882202,0.0,0.0,0.0,0.0,0.0
5,-1,base,bind,3,8.102542877197266,1.3526136875152588,2.6168673038482666,9.986855506896973,4.1711859703063965,8.080522537231445,9.213900566101074,-2.9340169429779053,-1.4632771015167236,-2.3777883052825928,-0.1618202030658722,4.020402908325195,9.971439361572266,5.602967262268066,6.166581153869629,1.2002909183502197,8.532264709472656,9.434285163879395,2.6858906745910645,9.453521728515625,2.8209211826324463,7.044190406799316,8.09290599822998,2.157447576522827,1.7766218185424805,10.246902465820312,2.4136061668395996,1.0336036682128906,-1.3459392786026,5.384713172912598,1.5589513778686523,-0.08917264640331268,8.497919082641602,8.397120475769043,0.14758604764938354,0.9390989542007446,8.026213645935059,8.574630737304688,2.7715327739715576,11.005002975463867,0.6823636293411255,0.8470796346664429,8.759366989135742,7.9959588050842285,0.8314146399497986,6.208398818969727,6.705775260925293,7.129369735717773,-1.430715560913086,-0.9108362197875977,1.7753629684448242,8.836898803710938,19.456052780151367,9.265359878540039,-1.0415616035461426,0.10517695546150208,1.318958044052124,8.085440635681152,8.66152286529541,8.15707778930664
5,0,hs,bind,3,0.0,0.0,0.0,0.0,0.035983823239803314,0.0,0.0,0.0,0.0,0.0,0.0,0.06884614378213882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.289813756942749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,hs,bind,3,0.0,0.0,0.0,0.0,0.03554760292172432,0.0,0.0,0.0,0.0,0.0,0.0,0.068050317466259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2907564640045166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-1,base,bind,0,9.256269454956055,-1.3371608257293701,-0.03339313715696335,8.683212280273438,-0.21330231428146362,5.645439147949219,8.59304141998291,-1.1141964197158813,-4.231339931488037,4.203824996948242,2.960801362991333,-0.4524918794631958,10.343862533569336,4.18907356262207,7.843822002410889,-2.6401875019073486,8.575752258300781,10.249924659729004,-2.1793081760406494,8.728686332702637,0.8715214729309082,7.114554405212402,6.345541954040527,0.5576950907707214,0.663138747215271,8.71387004852295,0.9159547090530396,-1.561008334159851,1.219157338142395,6.542047500610352,2.505692958831787,1.2208340167999268,9.45687198638916,8.205674171447754,-1.8127139806747437,-2.088322877883911,5.594122886657715,6.6415228843688965,-1.2882611751556396,9.110727310180664,-0.03192976117134094,1.6175023317337036,7.545342922210693,8.697318077087402,5.937763214111328,6.050416946411133,5.682011604309082,6.031820297241211,-1.8677033185958862,-0.7816610932350159,1.7405531406402588,7.333412170410156,17.300182342529297,8.143087387084961,0.02520410716533661,-1.659686803817749,-1.4820607900619507,5.14572286605835,10.621131896972656,9.058428764343262
6,0,hs,bind,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15803839266300201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5107905864715576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2423253059387207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
