t,s,h_norm,Ah_norm,cos_h0
0,0,0.06406547129154205,0.0,0.9999998807907104
1,0,0.0189488735049963,0.0,1.0
2,0,0.08469269424676895,6.157777534099296e-05,1.0
3,0,0.042359545826911926,0.00010077121260110289,1.0
4,0,0.027391020208597183,5.957345274509862e-05,0.9999999403953552
5,0,0.07616668194532394,5.363965101423673e-05,1.0
6,0,0.000286601745756343,7.958478818181902e-07,1.0
7,0,0.0,0.0,0.0
8,0,0.005736359395086765,1.0072021723317448e-05,0.9999999403953552
9,0,0.09551533311605453,0.0002504731819499284,1.0
10,0,0.07855187356472015,0.0002762773947324604,1.0
11,0,0.06000984460115433,0.00019957497715950012,1.0000001192092896
12,0,0.14701735973358154,0.00022247832384891808,0.9999999403953552
13,0,0.1431450992822647,0.0010654560755938292,0.9999998807907104
14,0,0.0,0.0,0.0
