t,s,h_norm,Ah_norm,cos_h0
0,0,1.6214784383773804,0.0,1.0
1,0,1.6655203104019165,0.7793018817901611,1.0000001192092896
2,0,1.7551196813583374,1.9145362377166748,1.0000001192092896
3,0,1.210998773574829,1.83067786693573,0.9999999403953552
4,0,1.6185567378997803,2.418175458908081,1.0
5,0,1.9022263288497925,3.2340569496154785,1.0
6,0,1.3014166355133057,3.8823671340942383,1.0
7,0,1.7537637948989868,4.55037784576416,1.0
8,0,1.450020670890808,5.155521869659424,0.9999999403953552
9,0,1.7147037982940674,5.220693111419678,1.0
10,0,1.7226296663284302,6.2997283935546875,0.9999998807907104
11,0,1.2705293893814087,5.5337700843811035,1.0
12,0,1.3736437559127808,5.888309955596924,1.0
13,0,0.9152512550354004,5.021050453186035,1.0
14,0,1.359735369682312,7.569952011108398,1.0
