t,s,h_norm,Ah_norm,cos_h0,cos_value
0,0,6.272735118865967,0.0,0.9999999403953552,
0,1,1.6158164739608765,0.0,0.496737539768219,
0,2,1.6158164739608765,0.0,0.496737539768219,
1,0,9.370747566223145,0.9457327723503113,0.9999998807907104,
1,1,0.7747381925582886,0.21456308662891388,0.3503401577472687,
1,2,0.71824049949646,0.10527089238166809,0.3591001331806183,
2,0,8.13767147064209,0.3183651566505432,0.9999998807907104,
2,1,0.2241397649049759,0.024391306564211845,0.23845906555652618,
2,2,0.21585381031036377,0.02081339992582798,0.23454739153385162,
3,0,6.602112770080566,0.9336125254631042,0.9999998807907104,
3,1,1.3281728029251099,0.6078994274139404,0.3358893096446991,
3,2,1.1576794385910034,0.5062143802642822,0.3505200445652008,
4,0,8.349011421203613,0.3822489082813263,1.0,
4,1,1.1395585536956787,0.09421371668577194,0.4092094898223877,
4,2,1.1265287399291992,0.08497016131877899,0.4088033139705658,
5,0,8.648283004760742,0.4433943033218384,0.9999998807907104,
5,1,1.1132915019989014,0.09464669972658157,0.431724488735199,
5,2,1.0790696144104004,0.08491019159555435,0.4369933009147644,
6,0,8.39999771118164,0.77015221118927,0.9999999403953552,
6,1,1.2313218116760254,0.23275117576122284,0.36689329147338867,
6,2,1.1378586292266846,0.20770452916622162,0.3748055696487427,
7,0,8.711277961730957,0.5546411275863647,1.0000001192092896,
7,1,0.49473467469215393,0.0658169761300087,0.335723340511322,
7,2,0.4475356936454773,0.031273990869522095,0.33127665519714355,
8,0,7.440073013305664,0.6000206470489502,1.0,
8,1,1.0902585983276367,0.2377375215291977,0.35522881150245667,
8,2,0.9474378228187561,0.19076071679592133,0.3686896562576294,
9,0,8.691265106201172,0.3598368465900421,1.0,
9,1,0.2088748663663864,0.02306722290813923,0.12421385198831558,
9,2,0.17360711097717285,0.019267015159130096,0.1278771311044693,
10,0,5.940967559814453,0.6718146800994873,1.0000001192092896,
10,1,1.2089933156967163,0.29700157046318054,0.45819994807243347,
10,2,1.0553200244903564,0.2367558628320694,0.4682629108428955,
11,0,9.026707649230957,1.3779854774475098,1.0000001192092896,
11,1,0.8736364245414734,0.3413831889629364,0.34432971477508545,
11,2,0.6102182865142822,0.20207153260707855,0.3531850576400757,
12,0,8.436993598937988,0.8288337588310242,1.0,
12,1,1.1548044681549072,0.2745193839073181,0.3507067859172821,
12,2,0.9648840427398682,0.2137378454208374,0.35431864857673645,
13,0,9.009861946105957,1.061441421508789,1.0,
13,1,1.0274691581726074,0.2919628322124481,0.3699796199798584,
13,2,0.8233889937400818,0.2150246649980545,0.38791465759277344,
14,0,6.081860542297363,0.48942893743515015,0.9999998807907104,
14,1,0.5286387205123901,0.10740920156240463,0.3491467535495758,
14,2,0.48407411575317383,0.05251257121562958,0.34693169593811035,
15,0,6.657610893249512,0.6527824997901917,0.9999999403953552,
15,1,1.3458006381988525,0.2630467116832733,0.3388536870479584,
15,2,1.1893738508224487,0.22566072642803192,0.3324640393257141,
16,0,7.145324230194092,0.8566181063652039,1.0000001192092896,
16,1,0.7528023719787598,0.2631847560405731,0.2689336836338043,
16,2,0.6069885492324829,0.2034899890422821,0.26105448603630066,
17,0,8.454760551452637,1.1357700824737549,0.9999998807907104,
17,1,1.4969415664672852,0.5052680373191833,0.33855360746383667,
17,2,1.2630149126052856,0.3757554292678833,0.3431777358055115,
18,0,9.679520606994629,0.9122862219810486,0.9999999403953552,0.05335429683327675
18,1,0.7677285075187683,0.3201674818992615,0.24976538121700287,0.21198366582393646
18,2,0.5593565106391907,0.20923884212970734,0.26977837085723877,0.18307863175868988
