t,s,h_norm,Ah_norm,cos_h0
0,0,2.945575475692749,0.0,1.0000001192092896
1,0,1.9924801588058472,1.27748441696167,1.0
2,0,2.5017945766448975,6.4607110023498535,1.0000001192092896
3,0,1.668298363685608,2.762930154800415,1.0000001192092896
4,0,1.711925745010376,3.709961175918579,0.9999999403953552
5,0,1.2921509742736816,3.7405343055725098,1.0
6,0,1.9623547792434692,9.014904022216797,1.0000001192092896
7,0,2.089233636856079,5.903491973876953,0.9999997615814209
8,0,2.0286672115325928,7.5911173820495605,1.0000001192092896
9,0,1.2359416484832764,5.744994163513184,1.0
10,0,1.1906601190567017,5.793403625488281,0.9999998807907104
11,0,1.7670891284942627,7.049746513366699,1.0
12,0,1.1408780813217163,6.214014530181885,1.0
13,0,1.044785499572754,5.881340980529785,1.0
14,0,1.2867776155471802,7.405663967132568,1.0
